Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿隆索 ;3400;SPA;1930;1990;1990;1990;3;4;1;0;0;5;0;L3400;1930;1938;x
阿隆索 维加 ;3401;SPA;1930;1940;1945;1990;3;7;16;3;0;5;0;L3401;1930;1960;x
阿尔瓦雷兹 阿雷纳斯 ;3402;SPA;1930;1937;1990;1990;2;4;0;1;0;5;0;L3402;1930;1945;x
阿兰达 马塔 ;3403;SPA;1930;1930;1990;1990;2;6;32;1;0;3;0;L3403;1930;1941;x
阿雷斯 马格拉 ;3404;SPA;1941;1943;1990;1990;2;4;0;1;0;5;0;L3404;1941;1960;x
阿森西奥 卡瓦尼利亚斯 ;3405;SPA;1930;1937;1942;1990;2;6;0;2;0;5;0;L3405;1930;1960;x
阿兹纳尔 格尔纳 ;3406;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3406;1930;1940;x
包蒂斯塔 桑谢斯 ;3407;SPA;1930;1990;1990;1990;3;7;64;0;0;5;0;L3407;1930;1960;x
巴雷拉 ;3408;SPA;1930;1930;1990;1990;2;4;0;0;0;5;0;L3408;1930;1938;x
巴龙 奥尔蒂斯 ;3409;SPA;1937;1941;1990;1990;3;5;2;1;0;5;0;L3409;1937;1943;x
巴罗索 桑切斯-格拉 ;3410;SPA;1938;1990;1990;1990;3;4;0;0;0;5;0;L3410;1938;1946;x
贝格韦德尔 阿蒂恩萨 ;3411;SPA;1930;1939;1942;1990;3;6;1;3;0;5;0;L3411;1930;1960;x
本胡梅亚 ;3412;SPA;1937;1942;1990;1990;3;5;256;1;0;5;0;L3412;1937;1960;x
贝尔贡佐利 ;3413;SPA;1930;1930;1990;1990;2;5;4;1;0;3;0;L3413;1930;1960;x
卡瓦内利亚斯 费雷尔 ;3414;SPA;1930;1930;1930;1990;1;6;514;1;0;4;0;L3414;1930;1938;x
卡斯特容 埃斯皮诺萨 ;3415;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3415;1930;1960;x
卡瓦尔坎蒂 ;3416;SPA;1930;1930;1930;1990;1;4;513;1;0;5;0;L3416;1930;1938;x
奎斯塔 莫内雷奥 ;3417;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3417;1930;1937;x
戴维拉 阿隆多 ;3418;SPA;1930;1937;1942;1990;2;5;0;2;0;5;0;L3418;1930;1960;x
德 拉达 ;3419;SPA;1937;1990;1990;1990;3;5;16;0;0;5;0;L3419;1937;1940;x
德 博尔邦 y 德 拉 托雷 ;3420;SPA;1930;1990;1990;1990;3;4;0;0;0;4;0;L3420;1930;1939;x
d'哈考特 ;3421;SPA;1930;1990;1990;1990;3;4;2;0;0;4;0;L3421;1930;1939;x
埃尔 米齐安 ;3422;SPA;1930;1990;1990;1990;3;5;4;1;0;4;0;L3422;1930;1939;x
凡胡尔 戈尼 ;3423;SPA;1930;1990;1990;1990;3;5;32;0;0;5;0;L3423;1930;1937;x
费尔南德斯 布列尔 ;3424;SPA;1930;1990;1990;1990;3;5;0;0;0;5;0;L3424;1930;1937;x
费尔南德斯 奎斯塔 ;3425;SPA;1937;1940;1990;1990;2;4;0;1;0;5;0;L3425;1937;1960;x
弗朗哥 巴哈蒙德 ;3426;SPA;1930;1930;1930;1937;0;7;2;3;0;5;0;L3426;1930;1960;x
