Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
巴尔克森托 拉莫斯 ;230000;NIC;1930;1930;1990;1990;2;5;513;1;0;5;0;L230000;1930;1939;x
卡拉瓦尔 安东尼奥 ;230001;NIC;1930;1930;1938;1990;1;4;1;1;0;2;0;L230001;1930;1941;x
卡里翁 麦克多诺 ;230002;NIC;1945;1990;1990;1990;3;3;32;0;0;4;0;L230002;1945;1960;x
科罗维尔 基尔施 ;230003;NIC;1938;1941;1990;1990;2;4;0;1;0;4;0;L230003;1938;1946;x
埃斯特拉萨 y 胡安 ;230004;NIC;1939;1943;1946;1990;2;4;16;3;0;5;0;L230004;1939;1960;x
加西亚 扎尔达纳 ;230005;NIC;1939;1990;1990;1990;3;3;0;0;0;4;0;L230005;1939;1960;x
哈勒斯列文斯 阿塞韦多 ;230006;NIC;1943;1946;1990;1990;3;4;128;1;0;4;0;L230006;1943;1960;x
蒙特雷 ;230007;NIC;1939;1990;1990;1990;3;3;128;0;0;4;0;L230007;1939;1943;x
尼尼奥 米兰达 ;230008;NIC;1945;1990;1990;1990;3;3;256;0;0;5;0;L230008;1945;1960;x
雷耶斯 帕洛米诺 ;230009;NIC;1938;1942;1990;1990;2;3;2;1;0;5;0;L230009;1938;1960;x
里瓦斯 夸德拉 ;230010;NIC;1942;1944;1990;1990;2;3;0;1;0;5;0;L230010;1942;1960;x
罗克 加西亚 ;230011;NIC;1944;1990;1990;1990;3;3;0;0;0;4;0;L230011;1944;1960;x
萨尔瓦铁拉 里韦拉 ;230012;NIC;1944;1990;1990;1990;3;3;64;0;0;3;0;L230012;1944;1960;x
索拉尔 y 赫尔曼希洛 ;230013;NIC;1930;1930;1990;1990;2;5;516;1;0;4;0;L230013;1930;1942;x
索摩查 ;230014;NIC;1930;1930;1930;1930;0;2;0;0;0;5;0;L230014;1930;1960;x
弗洛雷斯 门迭恩塔 ;230015;NIC;1939;1941;1990;1990;2;3;0;1;0;5;1;L230015;1939;1960;x
尼尼奥 米兰达 ;230016;NIC;1945;1990;1990;1990;3;3;0;0;0;5;1;L230016;1945;1960;x
索摩查 ;230017;NIC;1930;1930;1930;1990;1;2;0;0;0;5;1;L230017;1930;1960;x
埃斯皮诺萨 阿尔塔米拉诺 ;230018;NIC;1930;1990;1990;1990;3;3;0;0;0;4;2;L230018;1938;1945;x
加西亚 扎尔达纳 ;230019;NIC;1939;1990;1990;1990;3;3;0;0;0;4;2;L230019;1939;1960;x
马伦科 ;230020;NIC;1945;1990;1990;1990;3;3;0;0;0;4;2;L230020;1945;1960;x
佩雷达 昆塔斯 ;230021;NIC;1930;1990;1990;1990;3;3;0;0;0;4;2;L230021;1930;1942;x
里瓦斯 夸德拉 ;230022;NIC;1942;1944;1990;1990;2;3;0;1;0;5;2;L230022;1942;1960;x
