Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
奥瓦茨马克 ;9600;NOR;1930;1990;1990;1990;3;4;514;1;0;5;0;L9600;1930;1939;x
比奇曼 ;9601;NOR;1942;1945;1990;1990;3;3;1;1;0;5;0;L9601;1942;1960;x
贝格 ;9602;NOR;1944;1990;1990;1990;3;3;128;0;0;5;0;L9602;1944;1960;x
达尔 ;9603;NOR;1941;1990;1990;1990;3;3;12;0;0;5;0;L9603;1941;1960;x
埃里克森  B. ;9604;NOR;1930;1990;1990;1990;3;3;576;1;0;5;0;L9604;1930;1960;x
埃里克森  C. ;9605;NOR;1930;1930;1990;1990;2;3;8;0;0;5;0;L9605;1930;1960;x
费林 ;9606;NOR;1938;1990;1990;1990;3;4;0;0;0;5;0;L9606;1938;1960;x
弗莱舍尔 ;9607;NOR;1930;1930;1990;1990;2;6;12;3;0;5;0;L9607;1930;1960;x
格拉夫-旺 ;9608;NOR;1930;1990;1990;1990;3;5;520;0;0;5;0;L9608;1930;1941;x
格利克森 ;9609;NOR;1938;1943;1990;1990;3;3;8;1;0;5;0;L9609;1938;1960;x
汉松 ;9610;NOR;1930;1960;1960;1960;3;3;0;0;0;5;0;L9610;1930;1960;x
哈特维格-格利克森 ;9611;NOR;1930;1990;1990;1990;3;3;8;0;0;5;0;L9611;1930;1941;x
哈特莱达尔 ;9612;NOR;1937;1941;1990;1990;3;4;0;1;0;5;0;L9612;1937;1960;x
赫尔塞特 ;9613;NOR;1943;1945;1990;1990;3;5;4;1;0;5;0;L9613;1943;1960;x
霍尔特曼 ;9614;NOR;1939;1945;1990;1990;3;3;256;1;0;5;0;L9614;1939;1960;x
文登-豪格 ;9615;NOR;1930;1930;1990;1990;2;3;8;0;0;5;0;L9615;1930;1960;x
克林根贝格 ;9616;NOR;1930;1990;1990;1990;3;3;32;0;0;5;0;L9616;1930;1960;x
拉克 ;9617;NOR;1930;1930;1930;1990;1;2;520;1;0;5;0;L9617;1930;1960;x
劳兰茨森 ;9618;NOR;1930;1930;1990;1990;2;3;8;0;0;5;0;L9618;1930;1960;x
利耶达尔 ;9619;NOR;1930;1990;1990;1990;3;3;8;0;0;5;0;L9619;1930;1960;x
永贝里 ;9620;NOR;1939;1944;1946;1990;2;4;2;2;0;5;0;L9620;1939;1960;x
诺比 ;9621;NOR;1930;1990;1990;1990;3;3;8;0;0;5;0;L9621;1930;1960;x
