Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尤布 汗 ;564000;PAK;1936;1945;1946;1990;1;5;1;2;0;5;0;L505005;1942;1960;x
德 亚伯勒-贝特森 ;564001;PAK;1930;1930;1990;1990;2;6;528;1;0;5;0;L564001;1930;1943;x
达菲尔德 赖特 ;564002;PAK;1930;1930;1990;1990;2;5;514;1;0;5;0;M564007;1930;1945;x
戴尔 ;564003;PAK;1930;1930;1990;1990;2;5;515;1;0;5;0;M564008;1930;1942;x
克拉特巴克 ;564004;PAK;1941;1990;1990;1990;3;4;0;0;0;5;0;L1078;1941;1960;x
希泰 汗 ;564005;PAK;1930;1939;1990;1990;2;3;16;1;0;5;0;L505046;1930;1960;x
亚纽 汗 ;564006;PAK;1941;1990;1990;1990;3;5;64;0;0;5;0;L564006;1941;1960;x
纳瓦卜 汉吉 ;564007;PAK;1930;1990;1990;1990;3;3;8;0;0;5;0;L564007;1930;1960;x
纳瓦卜 马诺瓦尔 ;564008;PAK;1930;1930;1990;1990;2;2;0;0;0;5;0;M564014;1930;1943;x
纳瓦卜 乌德-杜阿拉 ;564009;PAK;1930;1940;1942;1990;1;5;4;2;0;5;0;M564034;1930;1960;x
纳瓦兹 汗 ;564010;PAK;1943;1947;1990;1990;3;4;16;0;0;5;0;L505065;1943;1960;x
加尧姆 汗 ;564011;PAK;1930;1990;1990;1990;3;3;1;0;0;5;0;L505067;1930;1943;x
拉克沙克 ;564012;PAK;1940;1990;1990;1990;3;4;128;0;0;5;0;L564012;1940;1960;x
谢里夫 汗 ;564013;PAK;1941;1990;1990;1990;3;4;16;0;0;2;0;L505070;1941;1960;x
什里曼八世 ;564014;PAK;1930;1930;1930;1990;1;4;0;1;0;5;0;M564031;1930;1960;x
舒亚 乌尔-穆尔克 ;564015;PAK;1930;1930;1990;1990;2;3;2;0;0;5;0;M564012;1930;1940;x
韦尔德-福里斯特 ;564016;PAK;1930;1990;1990;1990;3;4;1;0;0;5;0;L564016;1930;1945;x
叶海亚 汗 ;564017;PAK;1940;1944;1945;1990;1;5;128;3;0;5;0;L505086;1940;1960;x
卡利穆拉 ;564018;PAK;1943;1945;1990;1990;2;4;4096;1;0;5;1;L564018;1943;1960;x
纳瓦卜 汉吉 ;564019;PAK;1930;1930;1990;1990;2;4;2048;0;0;5;1;L564007;1930;1960;x
雷曼 汗 ;564020;PAK;1941;1944;1990;1990;2;3;0;1;0;5;1;L505113;1941;1960;x
塔尔博特-萨维尼亚克-哈尔 ;564021;PAK;1936;1945;1946;1990;1;6;1024;3;0;5;1;L1394;1936;1960;x
阿里 米尔 ;564022;PAK;1944;1947;1990;1990;2;4;4096;1;0;5;2;L564022;1944;1960;x
阿斯加尔 汗 ;564023;PAK;1938;1944;1946;1990;1;4;0;2;0;5;2;L505127;1938;1960;x
亨德里克森 ;564024;PAK;1930;1990;1990;1990;3;4;131072;0;0;5;2;M564010;1930;1960;x
柯克布赖德 ;564025;PAK;1936;1946;1990;1990;3;5;16384;2;0;5;2;L1454;1936;1960;x
纳瓦卜 马诺瓦尔 ;564026;PAK;1930;1930;1990;1990;2;2;4096;0;0;5;2;M564014;1930;1941;x
里甘 ;564027;PAK;1930;1990;1990;1990;3;4;131072;1;0;5;2;L1472;1930;1944;x
艾哈迈德 乌尔-穆尔克 ;564028;PAK;1940;1945;1990;1990;2;3;0;1;0;5;2;M564038;1940;1960;x
瓦哈卜 汗 ;564029;PAK;1945;1947;1951;1990;1;5;0;2;0;5;2;M564047;1945;1960;x
