Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尔迪托 巴莱塔 ;420000;PAN;1945;1990;1990;1990;3;3;0;0;0;5;0;L420000;1945;1960;x
阿维拉 ;420001;PAN;1941;1990;1990;1990;3;4;16;0;0;4;0;L420001;1941;1960;x
克劳尔 德尔 里奥 ;420002;PAN;1944;1990;1990;1990;3;3;256;0;0;5;0;L420002;1944;1960;x
埃斯特韦雷兹 门多萨 ;420003;PAN;1930;1939;1990;1990;2;3;0;1;0;4;0;L420003;1930;1943;x
法布雷古 帕斯 ;420004;PAN;1930;1930;1990;1990;2;3;32;0;0;4;0;L420004;1930;1943;x
戈梅 阿扬 ;420005;PAN;1940;1990;1990;1990;3;3;1;0;0;4;0;L420005;1940;1960;x
戈麦斯 y 蒙塔尔巴内斯 ;420006;PAN;1930;1930;1930;1990;1;4;513;1;0;4;0;L420006;1930;1939;x
普罗尔 埃尔南斯 ;420007;PAN;1937;1939;1941;1990;1;4;0;2;0;5;0;L420007;1937;1946;x
托里霍斯 ;420008;PAN;1944;1990;1990;1990;3;4;256;1;0;5;0;L420008;1944;1960;x
马西亚加 ;420009;PAN;1941;1944;1990;1990;3;4;0;1;0;3;0;L420009;1941;1944;x
雷蒙 坎特拉 ;420010;PAN;1930;1939;1941;1990;1;5;0;2;0;5;0;L420010;1930;1960;x
维拉 阿亚拉 ;420011;PAN;1930;1990;1990;1990;3;3;16;0;0;3;0;L420011;1930;1939;x
比利亚里诺 ;420012;PAN;1940;1943;1990;1990;2;4;0;0;0;5;0;L420012;1940;1960;x
阿里亚斯 埃尔南斯 ;420013;PAN;1942;1945;1990;1990;2;3;0;1;0;4;1;L420013;1942;1960;x
迪亚兹 埃尔南斯 ;420014;PAN;1939;1990;1990;1990;3;3;0;0;0;4;1;L420014;1939;1945;x
纳瓦罗 托罗 ;420015;PAN;1930;1990;1990;1990;3;3;1024;0;0;5;1;L420015;1930;1943;x
奥斯本 伊拉加 ;420016;PAN;1930;1930;1990;1990;2;3;0;0;0;5;1;L420016;1930;1942;x
里卡尔迪 萨尔瓦雷斯 ;420017;PAN;1941;1990;1990;1990;3;3;0;0;0;4;1;L420017;1941;1960;x
加夫里亚 德尔 里奥 ;420018;PAN;1940;1990;1990;1990;3;3;0;0;0;4;2;L420018;1940;1960;x
赫拉韦特 ;420019;PAN;1930;1930;1990;1990;2;4;16384;0;0;5;2;L420019;1930;1941;x
帕拉达 ;420020;PAN;1942;1990;1990;1990;3;3;4096;0;0;3;2;L420020;1942;1947;x
雷蒙 坎特拉 ;420021;PAN;1930;1939;1941;1990;1;4;0;2;0;4;2;L420021;1930;1960;x
圣 西里奥 ;420022;PAN;1943;1990;1990;1990;3;3;0;0;0;5;2;L420022;1943;1960;x
德 奥瓦里奥 ;420023;PAN;1947;1952;1990;1990;2;3;0;1;0;5;0;M95093;1947;1960;x
