Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
贝纳维德 拉雷亚 ;260000;PRU;1930;1930;1930;1930;0;4;2;1;0;3;0;L260000;1930;1939;x
卡罗 康斯坦丁尼 ;260001;PRU;1944;1990;1990;1990;3;4;32;0;0;5;0;L260001;1944;1960;x
恰夫拉 莱昂 ;260002;PRU;1945;1990;1990;1990;3;4;256;0;0;3;0;L260002;1945;1960;x
达维拉 苏马埃塔 ;260003;PRU;1939;1943;1990;1990;3;5;0;1;0;3;0;L260003;1939;1945;x
德 拉 芬特 ;260004;PRU;1930;1990;1990;1990;3;4;1;0;0;4;0;L260004;1930;1941;x
吉拉尔迪 ;260005;PRU;1930;1990;1990;1990;3;4;0;0;0;5;0;L260005;1930;1940;x
冈萨雷斯 y 利昂 ;260006;PRU;1930;1990;1990;1990;3;5;2;0;0;5;0;L260006;1930;1941;x
瓜夫洛切 罗德里格斯 ;260007;PRU;1942;1945;1990;1990;2;5;1;1;0;5;0;L260007;1942;1960;x
埃雷迪亚 蒙塔涅 ;260008;PRU;1930;1990;1990;1990;3;5;514;1;0;5;0;L260008;1930;1939;x
韦尔塔 帕凯科 ;260009;PRU;1930;1990;1990;1990;3;4;1;0;0;4;0;L260009;1930;1938;x
伊格莱西亚斯 ;260010;PRU;1942;1990;1990;1990;3;5;128;0;0;4;0;L260010;1942;1960;x
希门尼斯 托里巴内 ;260011;PRU;1940;1942;1990;1990;2;5;2;1;0;3;0;L260011;1940;1946;x
洛佩斯 特里戈索 ;260012;PRU;1943;1990;1990;1990;3;6;256;0;0;3;0;L260012;1943;1960;x
蒙塔涅 桑切斯 ;260013;PRU;1937;1941;1990;1990;2;5;0;1;0;4;0;L260013;1937;1944;x
蒙特罗 罗雅斯 ;260014;PRU;1938;1990;1990;1990;3;5;128;0;0;5;0;L260014;1938;1946;x
穆尼奥斯 迪亚兹 ;260015;PRU;1945;1990;1990;1990;3;4;128;0;0;4;0;L260015;1945;1960;x
诺里亚加 阿圭罗 ;260016;PRU;1939;1941;1944;1990;2;5;0;2;0;3;0;L260016;1939;1960;x
奥德里亚 阿莫雷蒂 ;260017;PRU;1940;1941;1943;1946;1;6;1;3;0;4;0;L260017;1940;1960;x
帕拉西奥斯 y 蒙特西诺斯 ;260018;PRU;1930;1930;1990;1990;2;4;4;0;0;4;0;L260018;1930;1940;x
佩雷斯 多库梅蒂斯 ;260019;PRU;1944;1946;1990;1990;2;5;256;1;0;4;0;L260019;1944;1960;x
佩雷斯 戈多伊 ;260020;PRU;1943;1946;1950;1990;1;5;256;2;0;3;0;L260020;1943;1960;x
克萨达 拉雷亚 ;260021;PRU;1940;1990;1990;1990;3;4;2;0;0;5;0;L260021;1940;1946;x
拉米雷斯 奥尔蒂斯 ;260022;PRU;1944;1990;1990;1990;3;4;0;0;0;3;0;L260022;1944;1960;x
拉蒙 卡斯蒂略 ;260023;PRU;1930;1930;1930;1990;1;6;513;1;0;4;0;L260023;1930;1938;x
罗德里格斯 萨瓦尔维亚斯科亚 ;260024;PRU;1946;1990;1990;1990;3;4;1;0;0;2;0;L260024;1946;1960;x
雷耶斯 塔韦拉 ;260025;PRU;1945;1990;1990;1990;3;4;4;0;0;4;0;L260025;1945;1960;x
萨恩斯 迪亚兹 ;260026;PRU;1939;1942;1990;1990;2;5;4;1;0;5;0;L260026;1939;1944;x
桑切斯 塞罗 ;260027;PRU;1930;1930;1990;1990;2;4;2;1;0;2;0;L260027;1930;1937;x
塔马约 德 拉 弗洛尔 ;260028;PRU;1942;1990;1990;1990;3;4;1;0;0;5;0;L260028;1942;1947;x
