Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿尔瓦雷兹 阿莱格里亚 ;3000;SPR;1930;1941;1990;1990;3;5;128;1;0;5;0;L3000;1930;1960;x
阿尔瓦雷兹 圣地亚哥 ;3001;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3001;1937;1940;x
阿朗古伦 罗尔丹 ;3002;SPR;1930;1930;1990;1990;2;4;0;0;0;5;0;L3002;1930;1939;x
阿斯卡索 阿瓦迪亚 ;3003;SPR;1930;1990;1990;1990;3;4;272;0;0;4;0;L3003;1930;1939;x
阿森西奥 托拉多 ;3004;SPR;1930;1937;1939;1990;2;5;0;2;0;3;0;L3004;1930;1960;x
巴尔塞洛 若维尔 ;3005;SPR;1930;1930;1990;1990;3;4;0;0;0;4;0;L3005;1930;1939;x
巴泰特 梅斯特雷 ;3006;SPR;1930;1930;1930;1990;1;5;0;1;0;5;0;L3006;1930;1937;x
巴托夫 ;3007;SPR;1930;1937;1990;1990;2;6;128;1;0;4;0;L3007;1930;1960;x
贝尔达雷恩 奥拉尔德 ;3008;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3008;1930;1938;x
贝尔特伦 ;3009;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3009;1930;1939;x
布里洛 斯托勒 ;3010;SPR;1930;1937;1990;1990;3;5;1;1;0;5;0;L3010;1930;1939;x
卡萨多 洛佩斯 ;3011;SPR;1930;1938;1990;1990;3;5;4;1;0;2;0;L3011;1930;1960;x
卡斯特略 曼扎诺 ;3012;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3012;1937;1940;x
卡斯特略 潘托雅 ;3013;SPR;1930;1930;1941;1990;2;6;2;1;0;5;0;L3013;1930;1960;x
卡斯特罗 德尔加多 ;3014;SPR;1930;1990;1990;1990;3;3;0;0;0;4;0;L3014;1930;1938;x
森塔尼奥 德 拉 帕斯 ;3015;SPR;1930;1990;1990;1990;3;4;64;0;0;1;0;L3015;1930;1938;x
孔特雷拉斯 ;3016;SPR;1930;1990;1990;1990;3;4;0;0;0;4;0;L3016;1930;1939;x
科皮克 ;3017;SPR;1930;1990;1990;1990;3;4;0;0;0;3;0;L3017;1930;1939;x
科尔东 加西亚 ;3018;SPR;1930;1937;1990;1990;2;6;4;1;0;5;0;L3018;1930;1960;x
科罗内尔 汉斯 ;3019;SPR;1937;1990;1990;1990;3;5;1;2;0;4;0;L3019;1937;1939;x
德 莱萨马 ;3020;SPR;1937;1990;1990;1990;3;4;260;0;0;5;0;L3020;1937;1941;x
德尔 巴里奥 纳瓦拉 ;3021;SPR;1937;1990;1990;1990;3;3;0;0;0;5;0;L3021;1937;1939;x
多兰 ;3022;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3022;1930;1939;x
杜兰 马丁内斯 ;3023;SPR;1930;1990;1990;1990;3;5;4;0;0;5;0;L3023;1930;1944;x
杜鲁蒂 迪芒热 ;3024;SPR;1930;1990;1990;1990;3;5;272;0;0;4;0;L3024;1930;1937;x
埃克赛亚 维拉尔 ;3025;SPR;1930;1938;1990;1990;3;6;1;1;0;5;0;L3025;1930;1960;x
埃尔 坎佩西诺 ;3026;SPR;1930;1939;1990;1990;3;5;0;1;0;4;0;L3026;1930;1960;x
埃斯科巴尔 韦尔塔斯 ;3027;SPR;1930;1930;1938;1990;2;4;1;1;0;5;0;L3027;1930;1940;x
埃斯科费 阿尔西纳 ;3028;SPR;1937;1990;1990;1990;3;3;0;0;0;3;0;L3028;1937;1939;x
埃斯特拉达 曼琼 ;3029;SPR;1930;1930;1990;1990;2;5;2;0;0;4;0;L3029;1930;1937;x
费尔南德斯 德 维拉 ;3030;SPR;1930;1930;1938;1990;1;4;514;1;0;5;0;L3030;1930;1938;x
费尔南德斯 奥索里奥 y 塔法利 ;3031;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3031;1930;1939;x
加兰 罗德里格斯  F. ;3032;SPR;1930;1990;1990;1990;3;4;8;0;0;5;0;L3032;1930;1943;x
加兰 罗德里格斯  J.M. ;3033;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3033;1930;1960;x
加洛 ;3034;SPR;1930;1990;1990;1990;3;3;0;0;0;3;0;L3034;1930;1939;x
加米尔 乌利瓦里 ;3035;SPR;1930;1930;1941;1990;2;5;0;1;0;5;0;L3035;1930;1960;x
加西亚 戈麦斯 卡米内罗 ;3036;SPR;1930;1930;1930;1990;1;6;513;1;0;5;0;L3036;1930;1938;x
加西亚 比万科斯 ;3037;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3037;1930;1946;x
杰纳勒尔 戈梅 ;3038;SPR;1937;1990;1990;1990;3;6;0;1;0;3;0;L3038;1937;1939;x
吉梅内斯 奥热 ;3039;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3039;1930;1960;x
戈麦斯 莫拉托 ;3040;SPR;1930;1930;1930;1990;1;5;0;1;0;5;0;L3040;1930;1960;x
瓜内尔 比万科斯 ;3041;SPR;1930;1937;1990;1990;3;5;0;1;0;5;0;L3041;1930;1960;x
埃尔南斯 萨拉维亚 ;3042;SPR;1930;1930;1938;1990;2;6;64;1;0;5;0;L3042;1930;1960;x
赫雷拉 利纳雷斯 ;3043;SPR;1930;1937;1990;1990;3;5;32;1;0;5;0;L3043;1930;1960;x
若维尔 科尔特斯 ;3044;SPR;1930;1990;1990;1990;3;3;16;0;0;5;0;L3044;1930;1943;x
尤拉多 巴里奥 ;3045;SPR;1930;1930;1938;1990;2;5;64;1;0;5;0;L3045;1930;1960;x
克勒贝尔 ;3046;SPR;1930;1990;1990;1990;3;5;0;0;0;5;0;L3046;1930;1938;x
劳 ;3047;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3047;1937;1939;x
利斯特 福里扬 ;3048;SPR;1930;1939;1990;1990;3;7;20;2;0;5;0;L3048;1930;1960;x
利亚诺 德 拉 恩科米恩达 ;3049;SPR;1930;1938;1990;1990;2;5;2;1;0;5;0;L3049;1930;1960;x
卢卡奇 ;3050;SPR;1930;1990;1990;1990;3;6;17;1;0;5;0;L3050;1930;1960;x
曼加达 罗泽霍恩 ;3051;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3051;1930;1946;x
梅尔廷 阿隆索 ;3052;SPR;1930;1990;1990;1990;3;5;0;0;0;5;0;L3052;1930;1943;x
马丁内斯 卡布雷拉 ;3053;SPR;1930;1930;1938;1990;2;5;1;1;0;5;0;L3053;1930;1939;x
马丁内斯 卡尔东 ;3054;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3054;1937;1960;x
马丁内斯 德 阿拉贡 ;3055;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3055;1930;1937;x
马丁内斯 蒙耶 ;3056;SPR;1930;1938;1990;1990;2;4;0;1;0;5;0;L3056;1930;1960;x
马斯克雷特 拉卡西 ;3057;SPR;1930;1930;1990;1990;2;6;96;0;0;5;0;L3057;1930;1960;x
马塔利亚纳 戈麦斯 ;3058;SPR;1930;1938;1990;1990;3;5;32;1;0;5;0;L3058;1930;1960;x
马特奥 梅里诺 ;3059;SPR;1938;1943;1946;1990;3;6;0;2;0;5;0;L3059;1938;1960;x
梅莱罗 布兰科 ;3060;SPR;1937;1942;1990;1990;3;5;0;1;0;5;0;L3060;1937;1960;x
梅纳 罗伊格 ;3061;SPR;1930;1990;1990;1990;3;5;2;0;0;5;0;L3061;1930;1946;x
梅嫩德斯 洛佩斯 ;3062;SPR;1937;1942;1990;1990;3;5;0;1;0;5;0;L3062;1937;1960;x
梅拉 桑斯 ;3063;SPR;1938;1990;1990;1990;3;5;16;0;0;5;0;L3063;1938;1942;x
梅里曼 ;3064;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3064;1937;1939;x
米亚哈 梅南 ;3065;SPR;1930;1930;1930;1938;0;8;3;4;0;5;0;L3065;1930;1945;x
米赫 ;3066;SPR;1930;1937;1990;1990;2;5;0;1;0;5;0;L3066;1930;1938;x
莫德斯托 吉约托 莱昂 ;3067;SPR;1938;1939;1990;1990;3;5;0;1;0;5;0;L3067;1938;1960;x
莫莱罗 洛博 ;3068;SPR;1930;1930;1940;1990;1;5;0;2;0;5;0;L3068;1930;1947;x
奥热 希门尼斯 ;3069;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3069;1930;1960;x
奥尔特加 古铁雷斯 ;3070;SPR;1937;1990;1990;1990;3;4;272;0;0;5;0;L3070;1937;1939;x
奥尔蒂斯 拉米雷斯 ;3071;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3071;1930;1939;x
佩雷亚 卡普利诺 ;3072;SPR;1937;1990;1990;1990;3;5;2;0;0;5;0;L3072;1937;1939;x
佩雷斯 法拉斯 ;3073;SPR;1938;1942;1990;1990;3;5;0;1;0;5;0;L3073;1938;1960;x
佩雷斯 萨拉斯 ;3074;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3074;1930;1960;x
波萨斯 佩雷亚 ;3075;SPR;1930;1937;1942;1990;2;6;3;2;0;5;0;L3075;1930;1960;x
普拉达 瓦克罗 ;3076;SPR;1937;1938;1990;1990;2;5;0;1;0;5;0;L3076;1937;1960;x
普伊格登戈拉斯 y 庞塞 德 利昂 ;3077;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3077;1930;1937;x
里克尔姆 y 洛佩斯 巴戈 ;3078;SPR;1930;1930;1990;1990;2;5;0;0;0;5;0;L3078;1930;1939;x
罗约 柳奇 ;3079;SPR;1930;1930;1937;1944;1;8;1;2;0;5;0;L3079;1930;1960;x
罗维拉 ;3080;SPR;1937;1990;1990;1990;3;4;0;0;0;4;0;L3080;1937;1939;x
瑞安 ;3081;SPR;1937;1990;1990;1990;3;5;0;0;0;4;0;L3081;1937;1941;x
萨比奥 迪图瓦 ;3082;SPR;1937;1990;1990;1990;3;4;0;0;0;5;0;L3082;1937;1941;x
桑斯 加西亚 ;3083;SPR;1930;1990;1990;1990;3;3;0;0;0;5;0;L3083;1930;1960;x
塞拉多尔 桑特斯 ;3084;SPR;1930;1939;1990;1990;3;5;0;1;0;5;0;L3084;1930;1944;x
塔格伊纳 拉科特 ;3085;SPR;1937;1990;1990;1990;3;6;48;1;0;5;0;L3085;1937;1944;x
特鲁埃瓦 米罗内斯 ;3086;SPR;1930;1990;1990;1990;3;4;0;0;0;5;0;L3086;1930;1940;x
乌尔赛斯 卡达瓦尔 ;3087;SPR;1930;1930;1990;1990;2;5;0;0;0;5;0;L3087;1930;1960;x
维加 马丁内斯 ;3088;SPR;1937;1990;1990;1990;3;5;128;0;0;5;0;L3088;1937;1939;x
比利亚尔瓦 鲁比奥 ;3089;SPR;1937;1990;1990;1990;3;4;0;0;0;4;0;L3089;1937;1944;x
瓦尔特 ;3090;SPR;1930;1990;1990;1990;3;6;20;1;0;5;0;L3090;1930;1939;x
阿尔米达 萨沃 ;3091;SPR;1938;1943;1990;1990;3;5;0;1;0;5;1;L3091;1938;1960;x
巴巴斯特罗 日默内 ;3092;SPR;1930;1990;1990;1990;3;5;0;0;0;5;1;L3092;1930;1939;x
巴约 吉劳德 ;3093;SPR;1930;1930;1942;1990;2;5;0;2;0;5;1;L3093;1930;1960;x
布伊萨 帕拉西奥斯 ;3094;SPR;1930;1937;1938;1990;1;5;0;2;0;3;1;L3094;1930;1960;x
卡尔德龙 马丁内斯 ;3095;SPR;1930;1990;1990;1990;3;5;0;0;0;5;1;L3095;1930;1939;x
