Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿布拉扎里安 ;500000;RUS;1930;1990;1990;1990;3;4;16;0;0;5;0;L500000;1930;1945;x
阿列克谢耶夫 ;500001;RUS;1930;1930;1930;1990;1;5;514;1;0;5;0;L500001;1930;1942;x
巴尔博维奇 ;500002;RUS;1930;1990;1990;1990;3;4;128;0;0;5;0;L500002;1930;1960;x
贝洛夫  I.P. ;500003;RUS;1930;1939;1942;1990;1;5;0;2;0;5;0;L9839;1930;1960;x
贝洛夫  S.I. ;500004;RUS;1930;1939;1946;1990;2;5;128;2;0;5;0;L9841;1930;1960;x
贝尔曼 ;500005;RUS;1930;1941;1990;1990;2;5;4;1;0;5;0;L9843;1930;1960;x
博盖夫斯基 ;500006;RUS;1930;1930;1990;1990;2;3;128;0;0;5;0;L500006;1930;1960;x
达斯克耶维奇 ;500007;RUS;1930;1990;1990;1990;3;4;256;0;0;5;0;L500007;1930;1960;x
迪弗 ;500008;RUS;1930;1939;1942;1990;2;4;256;2;0;5;0;L9884;1930;1960;x
邓尼金 ;500009;RUS;1930;1930;1930;1990;1;4;520;1;0;5;0;L500009;1930;1942;x
德拉戈米罗夫 ;500010;RUS;1930;1930;1930;1990;1;4;514;1;0;5;0;L500010;1930;1942;x
德罗兹多夫斯基 ;500011;RUS;1930;1930;1939;1943;1;6;128;3;0;5;0;L500011;1930;1960;x
杜托夫 ;500012;RUS;1930;1930;1940;1990;2;4;8;1;0;5;0;L500012;1930;1946;x
德边科 ;500013;RUS;1930;1939;1990;1990;2;5;513;1;0;5;0;L9894;1930;1942;x
叶戈罗夫 ;500014;RUS;1930;1930;1939;1941;0;7;514;2;0;5;0;L9896;1930;1946;x
叶罗金 ;500015;RUS;1930;1941;1990;1990;2;3;4;1;0;5;0;L500015;1930;1960;x
