Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
鲍尔弗 ;561000;SCO;1930;1941;1990;1990;2;5;0;1;0;5;0;L1018;1930;1944;x
布鲁斯 ;561001;SCO;1944;1990;1990;1990;3;5;264;1;0;5;0;L1054;1944;1960;x
布恩斯 ;561002;SCO;1940;1990;1990;1990;3;5;64;1;0;5;0;L1057;1940;1960;x
坎贝尔 A.D. ;561003;SCO;1943;1990;1990;1990;3;5;32;1;0;5;0;L1061;1943;1960;x
阿查拉德尔的 坎贝尔 ;561004;SCO;1941;1990;1990;1990;3;5;4;1;0;5;0;L1062;1941;1946;x
艾尔兹的 坎贝尔 ;561005;SCO;1941;1990;1990;1990;3;6;0;1;0;5;0;L1063;1941;1945;x
坎贝尔 J. ;561006;SCO;1938;1990;1990;1990;3;5;128;1;0;5;0;L1064;1938;1942;x
卡梅龙 ;561007;SCO;1942;1944;1990;1990;3;5;2;2;0;5;0;L1065;1942;1960;x
迪金森 ;561008;SCO;1930;1990;1990;1990;3;5;544;1;0;5;0;L1104;1930;1944;x
多比 ;561009;SCO;1943;1990;1990;1990;3;5;256;1;0;5;0;L1107;1943;1960;x
邓肯 ;561010;SCO;1943;1990;1990;1990;3;5;128;1;0;5;0;L1112;1943;1960;x
弗格森 ;561011;SCO;1938;1990;1990;1990;3;5;1;1;0;5;0;L1118;1938;1943;x
菲茨帕特里克 ;561012;SCO;1930;1941;1946;1990;2;5;2;3;0;5;0;L1122;1930;1960;x
富兰克林 ;561013;SCO;1930;1938;1990;1990;2;5;2;1;0;5;0;L1127;1930;1960;x
格雷 ;561014;SCO;1945;1990;1990;1990;3;6;4;1;0;5;0;L1146;1945;1960;x
哈克特 ;561015;SCO;1943;1946;1990;1990;3;6;256;2;0;5;0;L1150;1943;1960;x
黑克威尔 史密斯 ;561016;SCO;1941;1990;1990;1990;3;6;0;1;0;5;0;L1152;1941;1960;x
伊斯梅 ;561017;SCO;1939;1942;1944;1990;2;8;2;2;0;5;0;L1176;1939;1960;x
卡瓦纳 ;561018;SCO;1930;1930;1990;1990;2;5;513;1;0;5;0;L1178;1930;1944;x
柯克 ;561019;SCO;1930;1930;1930;1990;1;5;576;1;0;5;0;L1181;1930;1942;x
麦克唐纳 ;561020;SCO;1930;1990;1990;1990;3;5;513;1;0;5;0;L1203;1930;1943;x
麦克法兰 ;561021;SCO;1939;1942;1990;1990;2;4;0;2;0;5;0;L1204;1939;1945;x
麦肯齐 C.J. ;561022;SCO;1930;1990;1990;1990;3;5;256;1;0;5;0;L1205;1930;1940;x
麦肯齐 D.A.L. ;561023;SCO;1943;1990;1990;1990;3;5;0;1;0;5;0;L1206;1943;1960;x
麦克米伦 ;561024;SCO;1941;1943;1990;1990;3;6;0;2;0;5;0;L1208;1941;1960;x
曼瑟 ;561025;SCO;1940;1943;1990;1990;3;7;5;2;0;5;0;L1211;1940;1960;x
