Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿伦 ;522000;SIB;1930;1990;1990;1990;3;3;4;0;0;5;0;L522000;1930;1960;x
阿帕里尼杰 ;522001;SIB;1930;1990;1990;1990;3;2;0;0;0;5;0;L522001;1930;1960;x
别赫捷列夫 ;522002;SIB;1930;1990;1990;1990;3;2;513;1;0;5;0;L522002;1930;1960;x
贝内克 ;522003;SIB;1930;1941;1990;1990;2;3;32;1;0;5;0;L522003;1930;1960;x
贝兹梅尼金 ;522004;SIB;1930;1930;1990;1990;2;4;4;0;0;5;0;L522004;1930;1960;x
博加苏卡诺夫 ;522005;SIB;1930;1930;1990;1990;2;3;16;0;0;5;0;M522007;1930;1960;x
加万特卡 ;522006;SIB;1930;1990;1990;1990;3;3;256;0;0;5;0;L522006;1930;1960;x
戈鲁克 ;522007;SIB;1930;1930;1990;1990;2;4;136;1;0;5;0;L522007;1930;1960;x
格里梅 ;522008;SIB;1930;1940;1990;1990;2;2;64;1;0;5;0;L522008;1930;1960;x
京策尔曼 ;522009;SIB;1930;1930;1990;1990;2;2;512;1;0;5;0;L522009;1930;1960;x
豪博尔德 ;522010;SIB;1930;1938;1940;1990;2;3;64;2;0;5;0;L522010;1930;1960;x
高尔察克 ;522011;SIB;1930;1930;1930;1990;1;2;64;1;0;5;0;M522033;1930;1960;x
库泽维奇 ;522012;SIB;1930;1943;1990;1990;2;3;1;1;0;5;0;L522012;1930;1960;x
马丁尼 ;522013;SIB;1930;1930;1930;1990;1;2;0;1;0;5;0;L522013;1930;1960;x
米齐罗夫 ;522014;SIB;1930;1990;1990;1990;3;2;8;0;0;5;0;L522014;1930;1960;x
莫雷尔 ;522015;SIB;1930;1990;1990;1990;3;1;0;0;0;5;0;L522015;1930;1960;x
涅利多夫 ;522016;SIB;1930;1930;1990;1990;2;3;1;0;0;5;0;L522016;1930;1960;x
帕尔欣乔夫 ;522017;SIB;1930;1930;1990;1990;2;3;3;0;0;5;0;M522008;1930;1960;x
佩特卢拉 ;522018;SIB;1930;1930;1990;1990;2;3;4;0;0;5;0;L522018;1930;1960;x
普谢普 ;522019;SIB;1930;1990;1990;1990;3;2;0;0;0;5;0;L522019;1930;1960;x
鲁杰拉 ;522020;SIB;1930;1939;1940;1990;2;3;2;2;0;5;0;L522020;1930;1960;x
勒扎耶夫 ;522021;SIB;1930;1990;1990;1990;3;2;1;0;0;5;0;L522021;1930;1960;x
谢苗诺夫 ;522022;SIB;1930;1930;1930;1990;1;2;2;1;0;5;0;L522022;1930;1960;x
斯莫尔霍夫 ;522023;SIB;1930;1990;1990;1990;3;4;264;0;0;5;0;L522023;1930;1960;x
苏达科夫 ;522024;SIB;1930;1990;1990;1990;3;2;0;0;0;5;0;L522024;1930;1960;x
塔拉索维奇 ;522025;SIB;1930;1990;1990;1990;3;2;32;0;0;5;0;L522025;1930;1960;x
冯 库茨勒本 ;522026;SIB;1930;1990;1990;1990;3;3;0;0;0;5;0;L522026;1930;1960;x
弗雷登 ;522027;SIB;1930;1930;1930;1990;1;3;128;0;0;5;0;M522034;1930;1960;x
韦伯 ;522028;SIB;1930;1990;1990;1990;3;1;0;0;0;5;0;L522028;1930;1960;x
埃尔斯特尔 ;522029;SIB;1930;1990;1990;1990;3;3;0;0;0;5;1;L517033;1930;1960;x
高尔察克 ;522030;SIB;1930;1930;1930;1941;0;3;4096;1;0;5;1;M522035;1930;1960;x
库尔兹尔 ;522031;SIB;1930;1939;1990;1990;3;3;1024;1;0;5;1;M517050;1930;1960;x
莱西克 ;522032;SIB;1930;1938;1941;1990;1;4;0;2;0;5;1;M517009;1930;1960;x
鲁本 ;522033;SIB;1930;1990;1990;1990;3;2;0;0;0;5;1;L515013;1930;1960;x
维特赫夫特-埃姆登 ;522034;SIB;1930;1930;1990;1990;2;3;0;0;0;5;1;L515024;1930;1960;x
费多列茨 ;522035;SIB;1930;1990;1990;1990;3;3;0;0;0;5;2;L522035;1930;1960;x
库达耶夫 ;522036;SIB;1930;1940;1990;1990;2;3;4096;1;0;5;2;M522036;1930;1960;x
莱蒙捷夫 ;522037;SIB;1930;1990;1990;1990;3;2;0;0;0;5;2;L522037;1930;1960;x
林德纳 ;522038;SIB;1930;1941;1990;1990;3;3;131072;1;0;5;2;L522038;1930;1960;x
穆耶尔 ;522039;SIB;1930;1941;1990;1990;2;3;65536;1;0;5;2;L522039;1930;1960;x
佩佩利亚夫 ;522040;SIB;1930;1939;1943;1990;2;4;8192;2;0;5;2;L522040;1930;1960;x
舒尔金 ;522041;SIB;1930;1939;1990;1990;3;4;0;1;0;5;2;M522010;1930;1960;x
斯莫尔霍夫 ;522042;SIB;1930;1990;1990;1990;3;2;0;0;0;5;2;L522023;1930;1960;x
冯 阿尔诺 德 拉 佩里埃 ;522043;SIB;1930;1942;1990;1990;2;3;0;1;0;5;2;L522043;1930;1960;x
冯 比洛 ;522044;SIB;1930;1940;1990;1990;2;3;16384;1;0;5;2;L522044;1930;1960;x
