Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿卜杜热合曼 ;160000;SIK;1930;1930;1990;1990;2;2;0;0;0;4;0;L160000;1930;1943;x
张希良 ;160001;SIK;1930;1930;1938;1990;1;2;32;1;0;4;0;L160001;1930;1960;x
蒋有芬 ;160002;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160002;1930;1960;x
达列里汗 ;160003;SIK;1930;1941;1990;1990;3;3;0;1;0;4;0;L160003;1930;1942;x
费久宁斯基 ;160004;SIK;1938;1990;1990;1990;3;2;4;0;0;4;0;L160004;1938;1943;x
盖伊 ;160005;SIK;1940;1990;1990;1990;3;2;2;0;0;4;0;L160005;1940;1960;x
艾尼巴图鲁 ;160006;SIK;1930;1990;1990;1990;3;2;16;0;0;4;0;L160006;1930;1944;x
哈玉良 ;160007;SIK;1930;1941;1990;1990;3;2;0;1;0;4;0;L160007;1930;1960;x
徐有兴 ;160008;SIK;1930;1943;1990;1990;3;2;256;1;0;4;0;L160008;1930;1960;x
侯赛诺夫 ;160009;SIK;1930;1990;1990;1990;3;2;1;0;0;2;0;L160009;1930;1941;x
伊斯哈克江 穆那哈吉也夫 ;160010;SIK;1930;1938;1942;1990;2;3;4;2;0;4;0;L160010;1930;1960;x
卡扎良 ;160011;SIK;1930;1990;1990;1990;3;2;16;0;0;1;0;L160011;1930;1942;x
柳正欣 ;160012;SIK;1930;1990;1990;1990;3;2;1;0;0;5;0;L160012;1930;1960;x
刘斌 ;160013;SIK;1930;1990;1990;1990;3;2;4;0;0;4;0;L160013;1930;1960;x
马虎山 ;160014;SIK;1930;1930;1990;1990;2;3;4;0;0;1;0;L160014;1930;1941;x
麻木提 ;160015;SIK;1930;1930;1930;1990;1;3;2;1;0;1;0;L160015;1930;1944;x
乌斯满 巴图鲁 ;160016;SIK;1930;1930;1990;1990;2;3;20;01;0;1;0;L160016;1930;1941;x
巴品古特 ;160017;SIK;1930;1930;1990;1990;2;4;514;1;0;3;0;L160017;1930;1939;x
波里诺夫 ;160018;SIK;1930;1941;1990;1990;3;2;4;1;0;3;0;L160018;1930;1944;x
萨菲乌林 ;160019;SIK;1930;1930;1990;1990;2;2;4;0;0;4;0;L160019;1930;1942;x
祖农·太也夫 ;160020;SIK;1930;1990;1990;1990;3;2;16;0;0;4;0;L160020;1930;1942;x
赛福鼎·艾则孜 ;160021;SIK;1930;1939;1942;1990;2;3;1;2;0;4;0;L160021;1930;1960;x
沙里福汗 ;160022;SIK;1930;1930;1990;1990;2;3;64;0;0;2;0;L160022;1930;1943;x
艾力汗吐烈 ;160023;SIK;1930;1930;1930;1930;3;2;128;0;0;5;0;L52120;1930;1960;x
阿合买提江 ;160024;SIK;1930;1930;1930;1930;0;2;16;1;0;5;0;L52118;1930;1960;x
孙庆麟 ;160025;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160025;1930;1960;x
汤执权 ;160026;SIK;1930;1990;1990;1990;3;2;256;0;0;4;0;L160026;1930;1941;x
崔颖春 ;160027;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160027;1930;1960;x
吴熙志 ;160028;SIK;1930;1990;1990;1990;3;2;128;0;0;4;0;L160028;1930;1960;x
尤得胜 ;160029;SIK;1930;1990;1990;1990;3;2;0;0;0;4;0;L160029;1930;1943;x
苑凌云 ;160030;SIK;1930;1938;1942;1990;2;3;0;2;0;4;0;L160030;1930;1960;x
切列帕诺夫 ;160031;SIK;1930;1990;1990;1990;3;2;1024;0;0;4;1;L160031;1930;1942;x
亚罗什 ;160032;SIK;1930;1930;1990;1990;2;2;0;0;0;4;1;L160032;1930;1960;x
萨镇冰 ;160033;SIK;1930;1930;1930;1990;1;2;0;1;0;4;1;L160033;1930;1960;x
格里采韦茨 ;160034;SIK;1930;1990;1990;1990;3;2;0;0;0;4;2;L160034;1930;1942;x
奥尔洛夫 ;160035;SIK;1930;1930;1990;1990;2;3;0;0;0;3;2;L160035;1930;1960;x
拉霍夫 ;160036;SIK;1930;1990;1990;1990;3;2;0;0;0;4;2;L160036;1930;1941;x
里什基安诺夫 ;160037;SIK;1930;1939;1990;1990;3;3;0;1;0;4;2;L160037;1930;1960;x
谢多夫 ;160038;SIK;1939;1990;1990;1990;3;2;0;0;0;4;2;L160038;1939;1945;x
