Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿布德 ;555000;SUD;1940;1943;1990;1990;2;3;1;1;0;5;0;M555030;1940;1960;x
本内特 ;555001;SUD;1939;1943;1990;1990;2;4;128;1;0;5;0;M555032;1939;1960;x
坎贝尔 ;555002;SUD;1930;1990;1990;1990;3;3;2;0;0;5;0;L555002;1930;1960;x
科拉多克 ;555003;SUD;1930;1940;1943;1990;1;6;0;2;0;5;0;M555031;1930;1960;x
德鲁蒙德 伯顿 ;555004;SUD;1939;1942;1990;1990;2;4;4;1;0;5;0;M555029;1939;1960;x
达菲尔德 赖特 ;555005;SUD;1930;1990;1990;1990;3;3;0;0;0;5;0;L555005;1930;1942;x
菲茨克拉伦斯 ;555006;SUD;1930;1990;1990;1990;3;3;64;0;0;5;0;L555006;1930;1944;x
弗莱明-桑德斯 ;555007;SUD;1930;1990;1990;1990;3;4;128;0;0;5;0;L555007;1930;1945;x
哈里斯 ;555008;SUD;1930;1990;1990;1990;3;3;32;0;0;5;0;L555008;1930;1943;x
霍伍德 ;555009;SUD;1939;1990;1990;1990;3;4;256;0;0;5;0;L555009;1939;1960;x
林奇 ;555010;SUD;1930;1990;1990;1990;3;6;528;1;0;5;0;L555010;1930;1942;x
尼迈里 ;555011;SUD;1945;1990;1990;1990;3;3;64;0;0;5;0;L555011;1945;1960;x
诺曼 ;555012;SUD;1930;1940;1990;1990;2;4;64;1;0;5;0;M555007;1930;1960;x
普伦德加斯特 ;555013;SUD;1930;1990;1990;1990;3;4;1;0;0;5;0;L555013;1930;1945;x
西瓦尔 阿尔-扎布 ;555014;SUD;1945;1990;1990;1990;3;2;1;0;0;5;0;L555014;1945;1960;x
斯图尔特-赛姆斯 ;555015;SUD;1930;1930;1930;1990;1;4;2;1;0;5;0;M555001;1930;1943;x
克莱顿 ;555016;SUD;1939;1990;1990;1990;3;3;2048;0;0;5;1;L310014;1939;1960;x
柯林斯 ;555017;SUD;1930;1940;1990;1990;2;4;0;1;0;5;1;L410013;1930;1946;x
帕利泽 ;555018;SUD;1938;1990;1990;1990;3;5;1024;0;0;5;1;L1377;1938;1960;x
特里劳尼 ;555019;SUD;1930;1939;1990;1990;2;4;4096;1;0;5;1;L320016;1930;1960;x
布谢尔 ;555020;SUD;1938;1990;1990;1990;3;3;0;0;0;5;2;L555020;1938;1990;x
哈里斯 ;555021;SUD;1940;1990;1990;1990;3;3;131072;0;0;5;2;L555021;1940;1960;x
霍伍德 ;555022;SUD;1939;1990;1990;1990;3;3;4096;0;0;5;2;L555009;1939;1960;x
罗伯逊 ;555023;SUD;1930;1939;1990;1990;2;4;16384;1;0;5;2;M555010;1930;1960;x
罗兰-鲁佩尔 ;555024;SUD;1930;1940;1990;1990;2;4;0;1;0;5;2;L555024;1930;1960;x
朱玛 ;555025;SUD;1930;1990;1990;1990;3;2;0;1;0;5;0;Juma;1930;1990;x
尼迈里 ;555026;SUD;1954;1990;1990;1990;3;6;258;1;0;5;0;L_SUD_Gaafar_Nimeiry;1954;1990;x
