Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
°¢²¼À­Ê² ;528000;SYR;1942;1990;1990;1990;3;2;0;0;0;5;0;M528054;1942;1960;x
°¢¶û-°¢Ë¹À¼ ;528001;SYR;1943;1990;1990;1990;3;2;0;0;0;5;0;L528001;1943;1960;x
°¢¶û-·ÆÆõÀï ;528002;SYR;1943;1990;1990;1990;3;2;16;0;0;5;0;L528002;1943;1960;x
°¢¶û-¸ßÆë ;528003;SYR;1930;1930;1930;1990;1;3;576;1;0;5;0;M528024;1930;1946;x
°¢¶û-¿äÎä¼ª ;528004;SYR;1930;1943;1990;1990;2;2;2;1;0;5;0;M528049;1930;1960;x
°¢¶û-Ê©Éá¿ËÀï ;528005;SYR;1937;1942;1945;1990;2;3;0;2;0;5;0;M528051;1937;1960;x
°¢¶û-ÔúÒÁÄ· ;528006;SYR;1930;1942;1945;1990;2;3;0;2;0;5;0;M528047;1930;1949;x
°£Ã×¶û ;528007;SYR;1930;1941;1944;1990;2;5;128;2;0;5;0;M528007;1930;1960;x
°ÍÀ­ÁÖ ;528008;SYR;1930;1943;1990;1990;2;4;1;1;0;5;0;L528008;1930;1960;x
¿²°ÍË¹ ;528009;SYR;1941;1990;1990;1990;3;5;1;0;0;5;0;M528046;1941;1960;x
¿¨À× µÂ Â¬É£¿­ ;528010;SYR;1930;1939;1990;1990;2;5;1;1;0;5;0;M528009;1930;1960;x
¿¨ÌØÂ³ ;528011;SYR;1930;1930;1930;1990;1;4;4;1;0;5;0;L24029;1930;1945;x
É³¿â¶û ;528012;SYR;1939;1944;1990;1990;2;2;2;1;0;5;0;L528012;1939;1960;x
ÉáÄÉÒ® ;528013;SYR;1938;1942;1990;1990;2;4;256;1;0;5;0;L528013;1938;1960;x
µÏÅåÀïÒ® ;528014;SYR;1930;1944;1990;1990;2;3;32;1;0;5;0;M528052;1930;1960;x
¸ñÄþ ;528015;SYR;1930;1990;1990;1990;3;4;32;0;0;5;0;L528015;1930;1942;x
Èã¶ûµÏ¶û ;528016;SYR;1942;1990;1990;1990;3;3;0;0;0;5;0;L528016;1942;1960;x
Ã¢È» ;528017;SYR;1940;1990;1990;1990;3;3;4;0;0;5;0;L528017;1940;1960;x
ÄªÀ×¶û-µÂ¶ûÎ¬¶û ;528018;SYR;1939;1943;1990;1990;2;4;128;1;0;5;0;L528018;1939;1960;x
Æ¤°Â ;528019;SYR;1930;1930;1990;1990;2;2;128;0;0;5;0;M528008;1930;1945;x
Èø¶ûÍß ;528020;SYR;1938;1940;1943;1990;2;3;0;2;0;5;0;M528036;1938;1960;x
É³¶û°Í ;528021;SYR;1943;1990;1990;1990;3;2;1;0;0;5;0;L528021;1943;1960;x
Ë¹Ëþ¶û ;528022;SYR;1939;1990;1990;1990;3;4;256;0;0;5;0;L528022;1939;1960;x
ÌÕ¶û¿ËÂíÄá ;528023;SYR;1944;1990;1990;1990;3;2;128;0;0;5;0;L528023;1944;1960;x
·Ñ¶û»ôË¹ÌØ ;528024;SYR;1930;1990;1990;1990;3;5;257;0;0;5;0;L528024;1930;1960;x
°¢²¼À­Ê² ;528025;SYR;1942;1945;1990;1990;2;2;0;1;0;5;1;M528054;1942;1960;x
°¢¶û-¸ßÆë ;528026;SYR;1930;1930;1930;1990;1;1;8704;0;0;5;1;M528024;1930;1946;x
¿¨À× µÂ Â¬É£¿­ ;528027;SYR;1930;1990;1990;1990;3;2;0;0;0;5;1;M528009;1930;1960;x
°¢¶û-Ê©Éá¿ËÀï ;528028;SYR;1937;1942;1990;1990;2;2;0;1;0;5;2;M528051;1937;1960;x
°£Ã×¶û ;528029;SYR;1930;1941;1990;1990;2;2;16384;1;0;5;2;M528007;1930;1960;x
¿âµÂÀ× ;528030;SYR;1930;1990;1990;1990;3;3;131072;0;0;5;2;M528010;1930;1942;x
µÏÅåÀïÒ® ;528031;SYR;1930;1990;1990;1990;3;3;4096;0;0;5;2;M528052;1930;1960;x
ÈÃ ;528032;SYR;1941;1943;1946;1990;1;5;0;2;0;5;2;L528032;1941;1960;x
Ô¼º²Äá ;528033;SYR;1944;1990;1990;1990;3;2;0;0;0;5;2;L528033;1944;1960;x
Î÷Â¬ ;528034;SYR;1943;1946;1950;1990;1;4;2;2;0;5;0;M528061;1943;1960;x
ÐÀÄÉÎ¬ ;528035;SYR;1942;1944;1990;1990;2;3;1;1;0;5;0;M528076;1942;1950;x
°¢¶û À­Æë ;528036;SYR;1948;1951;1990;1990;2;2;0;1;0;5;2;M528077;1948;1960;x
