Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
安杰 ;524000;TAJ;1930;1990;1990;1990;3;3;128;0;0;5;0;L524000;1930;1960;x
鲍姆加特纳 ;524001;TAJ;1930;1990;1990;1990;3;3;256;0;0;5;0;L524001;1930;1960;x
埃布纳 ;524002;TAJ;1930;1990;1990;1990;3;3;32;0;0;5;0;L524002;1930;1960;x
弗里德里克斯 ;524003;TAJ;1939;1990;1990;1990;3;5;128;0;0;5;0;L524003;1939;1960;x
加富罗夫 ;524004;TAJ;1930;1930;1940;1990;1;3;64;1;0;5;0;M524007;1930;1960;x
霍夫曼 ;524005;TAJ;1930;1930;1941;1990;2;3;2;2;0;5;0;L524005;1930;1960;x
卡扎切斯特沃 ;524006;TAJ;1930;1939;1941;1990;2;4;9;2;0;5;0;M524041;1930;1960;x
科尔布 ;524007;TAJ;1930;1941;1990;1990;2;3;2;1;0;5;0;L524007;1930;1960;x
库蒂希 ;524008;TAJ;1930;1990;1990;1990;3;3;4;0;0;5;0;L524008;1930;1960;x
佩尔米诺夫 ;524009;TAJ;1930;1943;1990;1990;3;4;9;1;0;5;0;M524039;1930;1960;x
普罗斯库里亚科夫 ;524010;TAJ;1930;1930;1930;1990;1;3;8;1;0;5;0;M524042;1930;1960;x
普罗托波波夫 ;524011;TAJ;1930;1930;1941;1990;1;4;4;1;0;5;0;M524008;1930;1960;x
普罗沃特沃罗夫 ;524012;TAJ;1930;1930;1943;1990;2;3;8;1;0;5;0;M524038;1930;1960;x
里希特 ;524013;TAJ;1930;1941;1944;1990;2;3;2;3;0;5;0;L524013;1930;1960;x
什皮古恩 ;524014;TAJ;1930;1990;1990;1990;3;2;8;0;0;5;0;L524014;1930;1960;x
西奈斯基 ;524015;TAJ;1930;1990;1990;1990;3;3;256;0;0;5;0;M524044;1930;1960;x
斯塔里科维奇 ;524016;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524016;1930;1960;x
特施纳 ;524017;TAJ;1930;1990;1990;1990;3;3;32;0;0;5;0;L524017;1930;1960;x
冯 安蒙 ;524018;TAJ;1930;1990;1990;1990;3;4;32;0;0;5;0;L524018;1930;1960;x
冯 贝尔 ;524019;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524019;1930;1960;x
冯 德尔 舒伦堡 ;524020;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524020;1930;1960;x
冯 伦茨 ;524021;TAJ;1930;1939;1941;1990;1;3;2;2;0;5;0;L524021;1930;1960;x
伦坚科 ;524022;TAJ;1930;1941;1990;1990;3;2;1024;1;0;5;1;M524009;1930;1960;x
西奈斯基 ;524023;TAJ;1930;1990;1990;1990;3;2;4096;1;0;5;1;M524044;1930;1960;x
泰拉斯尼科夫 ;524024;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;1;L524024;1930;1960;x
乌绍罗夫 ;524025;TAJ;1930;1930;1942;1990;2;3;0;1;0;5;1;M524003;1930;1960;x
巴尔苏科夫 ;524026;TAJ;1930;1930;1942;1990;1;4;65536;1;0;5;2;M524010;1930;1960;x
伦坚科 ;524027;TAJ;1930;1943;1990;1990;2;3;8192;1;0;5;2;M524009;1930;1960;x
西斯 ;524028;TAJ;1930;1990;1990;1990;3;3;4096;0;0;5;2;L524028;1930;1960;x
施皮斯 ;524029;TAJ;1930;1939;1990;1990;2;3;0;1;0;5;2;L524029;1930;1960;x
苏伦 ;524030;TAJ;1930;1939;1941;1990;2;2;0;2;0;5;2;M524047;1930;1960;x
