Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
恩珠·贡布扎西 ;150000;TIB;1930;1990;1990;1990;3;2;256;0;0;4;0;L150000;1930;1942;x
巴巴益西 ;150001;TIB;1943;1945;1990;1990;3;3;16;1;0;4;0;L150001;1943;1999;x
查霍·南嘉多吉 ;150002;TIB;1930;1990;1990;1990;3;2;256;0;0;4;0;L150002;1930;1999;x
嘉玛桑佩 ;150003;TIB;1944;1946;1990;1990;3;3;16;1;0;4;0;L150003;1944;1999;x
甲多旺堆 ;150004;TIB;1942;1990;1990;1990;3;2;128;0;0;4;0;L150004;1942;1999;x
津巴嘉措 ;150005;TIB;1930;1930;1939;1990;1;2;0;1;0;4;0;L150005;1930;1999;x
格桑楚称 ;150006;TIB;1941;1990;1990;1990;3;2;32;0;0;4;0;L150006;1941;1999;x
哈米·索南旺堆 ;150007;TIB;1930;1930;1944;1990;2;3;1;1;0;4;0;L150007;1930;1999;x
拉鲁·才旺多吉 ;150008;TIB;1945;1990;1990;1990;3;2;4;0;0;4;0;L150008;1945;1999;x
阿沛·阿旺晋美 ;150009;TIB;1942;1944;1946;1990;2;3;2;2;0;4;0;L150009;1942;1999;x
桑颇·才旺仁增 ;150010;TIB;1944;1990;1990;1990;3;2;16;0;0;4;0;L150010;1944;1999;x
丹巴绛央 ;150011;TIB;1930;1930;1930;1990;1;4;576;1;0;4;0;L150011;1930;1999;x
旺曲塔钦 ;150012;TIB;1930;1990;1990;1990;3;2;16;0;0;4;0;L150012;1930;1943;x
查霍·南嘉多吉 ;150013;TIB;1930;1990;1990;1990;3;2;0;0;0;4;1;L150013;1930;1999;x
嘉玛桑佩 ;150014;TIB;1944;1946;1990;1990;2;2;0;1;0;4;1;L150014;1944;1999;x
拉鲁·才旺多吉 ;150015;TIB;1945;1990;1990;1990;3;2;0;0;0;4;1;L150015;1945;1999;x
巴巴益西 ;150016;TIB;1943;1990;1990;1990;3;1;0;0;0;4;2;L150016;1943;1999;x
甲多旺堆 ;150017;TIB;1942;1990;1990;1990;3;2;0;0;0;4;2;L150017;1942;1999;x
哈米·索南旺堆 ;150018;TIB;1930;1930;1990;1990;2;1;0;0;0;4;2;L150018;1930;1943;x
桑颇·才旺仁增 ;150019;TIB;1944;1946;1990;1990;2;2;0;1;0;4;2;L150019;1944;1999;x
