Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿姆斯特朗 ;450700;UAP;1936;1936;1936;1936;3;7;0;2;0;5;2;L450000;1936;1990;x
贝斯特尔 ;450701;UAP;1936;1936;1936;1936;3;7;0;1;0;5;1;L450001;1936;1990;x
拜尔斯 ;450702;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;L450002;1936;1990;x
博兰 ;450703;UAP;1936;1936;1990;1990;3;7;0;1;0;5;0;L450003;1936;1990;x
博塔 ;450704;UAP;1936;1936;1936;1990;3;7;0;1;0;5;0;L450004;1936;1990;x
布林克 A J E ;450705;UAP;1936;1936;1990;1990;3;7;0;0;0;5;0;L450005;1936;1990;x
德古戎 德蒂西 ;450706;UAP;1936;1936;1990;1990;3;7;0;0;0;5;2;L537011;1936;1990;x
布坎南 ;450707;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450007;1936;1990;x
库珀 ;450708;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450008;1936;1990;x
德 维利耶 ;450709;UAP;1936;1990;1990;1990;3;7;0;2;0;5;1;L450009;1936;1990;x
德 威恩堡 杜 托伊特 ;450710;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450010;1936;1990;x
富尔斯滕堡 ;450711;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450011;1936;1990;x
吉尔伯特 ;450712;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450012;1936;1990;x
哈茨霍恩 ;450713;UAP;1936;1990;1990;1990;3;7;0;2;0;5;0;L450013;1936;1990;x
海顿 ;450714;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;L450014;1936;1990;x
霍尔 ;450715;UAP;1936;1936;1990;1990;3;7;0;1;0;5;0;L450015;1936;1990;x
约翰斯顿-科利尔 ;450716;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450016;1936;1990;x
克勒珀 ;450717;UAP;1936;1936;1936;1936;3;7;0;1;0;5;0;L450017;1936;1990;x
克里格勒 ;450718;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450018;1936;1990;x
米切尔-贝克 ;450719;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450019;1936;1990;x
牛顿-金 ;450720;UAP;1936;1990;1990;1990;3;7;0;1;0;5;1;L450020;1936;1990;x
帕尔默 ;450721;UAP;1936;1936;1936;1990;3;7;0;0;0;5;0;L450021;1936;1990;x
皮纳尔 ;450722;UAP;1936;1936;1990;1990;3;7;0;0;0;5;0;L450022;1936;1990;x
普尔 ;450723;UAP;1936;1936;1936;1990;3;7;0;0;0;5;0;L450023;1936;1990;x
雷 ;450724;UAP;1936;1936;1936;1990;3;7;0;0;0;5;2;L450024;1936;1990;x
索托 ;450725;UAP;1936;1936;1936;1990;3;7;0;2;0;5;1;M535009;1936;1990;x
斯马茨 ;450726;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450026;1936;1990;x
西伦 ;450727;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450027;1936;1990;x
汤普森 ;450728;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450028;1936;1990;x
范 布兰肯罗德 ;450729;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450029;1936;1990;x
范 德尔 斯伯伊 ;450730;UAP;1936;1990;1990;1990;3;7;0;2;0;5;1;L450030;1936;1990;x
韦克菲尔德 ;450731;UAP;1936;1936;1990;1990;3;7;0;1;0;5;0;L450031;1936;1990;x
布里特 ;450732;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;L450032;1936;1990;x
戴维斯 ;450733;UAP;1936;1936;1936;1936;3;7;0;0;0;5;0;L450033;1936;1990;x
德 拉 托里埃尔 ;450734;UAP;1936;1936;1936;1936;3;7;0;1;0;5;1;L450034;1936;1990;x
格勒内瓦尔德 ;450735;UAP;1936;1936;1990;1990;3;7;0;0;0;5;0;L450035;1936;1990;x
奥利弗-克诺尔 ;450736;UAP;1936;1936;1936;1990;3;7;0;2;0;5;0;L450036;1936;1990;x
穆塔拉三世 ;450737;UAP;1936;1936;1936;1990;3;7;0;0;0;5;0;M574001;1936;1990;x
范 德恩 胡伊岑克洛佩 ;450738;UAP;1936;1936;1936;1990;3;7;0;1;0;5;0;L450038;1936;1990;x
范 祖伊根布罗格 ;450739;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;L450039;1936;1990;x
弗罗斯特 ;450740;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450040;1936;1990;x
拉森 ;450741;UAP;1936;1936;1990;1990;3;7;0;1;0;5;2;L450041;1936;1990;x
列 鲁 ;450742;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450042;1936;1990;x
马兰 ;450743;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L450043;1936;1990;x
雷诺兹 ;450744;UAP;1936;1936;1936;1990;3;7;0;1;0;5;1;L450044;1936;1990;x
圣约翰 帕特勒 ;450745;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450045;1936;1990;x
范 德尔 斯伯伊 ;450746;UAP;1936;1936;1990;1990;3;7;0;0;0;5;0;L450046;1936;1990;x
范 奥斯特坎普 ;450747;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;L450047;1936;1990;x
文特尔 ;450748;UAP;1936;1990;1990;1990;3;7;0;2;0;5;0;L450048;1936;1990;x
范 赖尼维尔德 ;450749;UAP;1936;1936;1990;1990;3;7;0;0;0;5;0;L450049;1936;1990;x
比尔施泰因 德 梅内塞斯 ;450750;UAP;1936;1936;1936;1936;3;7;0;1;0;5;0;L568000;1936;1990;x
卡瓦略 ;450751;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;M568032;1936;1990;x
德阿卢兹 里贝罗 ;450752;UAP;1936;1936;1990;1990;3;7;0;1;0;5;0;M568028;1936;1990;x
达 西尔韦拉 马列罗 ;450753;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L568003;1936;1990;x
德 弗赖塔斯 莫娜 ;450754;UAP;1936;1936;1936;1990;3;7;0;0;0;5;0;M568003;1936;1990;x
德 莫雷斯 萨尔门托 ;450755;UAP;1936;1936;1936;1990;3;7;0;1;0;5;0;M568027;1936;1990;x
德 保拉 皮涅多 ;450756;UAP;1936;1990;1990;1990;3;7;0;2;0;5;1;M568023;1936;1990;x
多曼格 ;450757;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L568007;1936;1990;x
弗拉戈萨 德 卡尔莫纳 ;450758;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L568008;1936;1990;x
范 奥斯特坎普 ;450759;UAP;1936;1936;1936;1990;3;7;0;2;0;5;1;L450037;1936;1990;x
洛佩斯 阿尔维斯 ;450760;UAP;1936;1936;1990;1990;3;7;0;0;0;5;2;M568004;1936;1990;x
洛佩斯 苏亚雷斯 布兰科 ;450761;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;L568011;1936;1990;x
马塞多-布里托 ;450762;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;M568007;1936;1990;x
佩雷拉 德 埃卡 ;450763;UAP;1936;1936;1990;1990;3;7;0;0;0;5;1;M568008;1936;1990;x 
普拉西多 杜兰特 ;450764;UAP;1936;1990;1990;1990;3;7;0;1;0;5;0;M568025;1936;1990;x
罗德里格斯 ;450765;UAP;1936;1990;1990;1990;3;7;0;0;0;5;2;L568015;1936;1990;x
达 科斯塔 安德拉德 ;450766;UAP;1936;1936;1936;1936;3;7;0;2;0;5;1;M568030;1936;1990;x
德 阿尔布开克 ;450767;UAP;1936;1936;1936;1990;3;7;0;0;0;5;1;M568009;1936;1990;x
里贝罗 ;450768;UAP;1936;1936;1936;1990;3;7;0;1;0;5;0;L568018;1936;1990;x
卡瓦略 ;450769;UAP;1936;1936;1936;1936;3;7;0;1;0;5;0;M568032;1936;1990;x
德阿卢兹 里贝罗 ;450770;UAP;1936;1990;1990;1990;3;7;0;0;0;5;1;M568028;1936;1990;x
布特勒 ;450771;UAP;1936;1990;1990;1990;3;7;0;0;0;5;0;M551006;1936;1990;x
凡盖罗 ;450772;UAP;1936;1990;1990;1990;3;7;0;0;0;5;1;M568010;1936;1990;x
