Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿夫罗西莫夫 ;11700;UER;1936;1936;1936;1936;3;7;0;2;0;5;2;L9802;1936;1990;x
阿尔留斯丁 ;11701;UER;1936;1936;1936;1936;3;7;0;1;0;5;1;L9803;1936;1990;x
阿马诺夫 ;11702;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9804;1936;1990;x
阿廖欣 ;11703;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9805;1936;1990;x
阿列克先科 ;11704;UER;1936;1936;1936;1990;3;7;0;1;0;5;0;L9807;1936;1990;x
安德烈耶夫 ;11705;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9809;1936;1990;x
阿尼西莫夫 ;11706;UER;1936;1936;1990;1990;3;7;0;0;0;5;2;L9810;1936;1990;x
阿尼库什金 ;11707;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9811;1936;1990;x
阿帕纳先科 ;11708;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9814;1936;1990;x
阿尔古诺夫 ;11709;UER;1936;1990;1990;1990;3;7;0;2;0;5;1;L9815;1936;1990;x
阿尔乔缅科 ;11710;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9816;1936;1990;x
阿塞乔夫 ;11711;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9818;1936;1990;x
阿斯拉诺夫 ;11712;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9819;1936;1990;x
巴巴贾尼扬 ;11713;UER;1936;1990;1990;1990;3;7;0;2;0;5;0;L9820;1936;1990;x
巴巴扬 ;11714;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9821;1936;1990;x
巴达诺夫 ;11715;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9822;1936;1990;x
巴拉米安 ;11716;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9823;1936;1990;x
巴哈洛夫 ;11717;UER;1936;1936;1936;1936;3;7;0;1;0;5;0;L9824;1936;1990;x
巴里诺夫 ;11718;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9829;1936;1990;x
巴季茨基 ;11719;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9830;1936;1990;x
巴蒂乌克 ;11720;UER;1936;1990;1990;1990;3;7;0;1;0;5;1;L9831;1936;1990;x
巴蒂乌纳 ;11721;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L9832;1936;1990;x
别列茨科 ;11722;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9834;1936;1990;x
别洛博罗多夫 ;11723;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L9836;1936;1990;x
贝洛斯 ;11724;UER;1936;1936;1936;1990;3;7;0;0;0;5;2;L9837;1936;1990;x
贝雷辛 ;11725;UER;1936;1936;1936;1990;3;7;0;2;0;5;1;L9842;1936;1990;x
贝尔曼 ;11726;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9843;1936;1990;x
比克扎诺夫 ;11727;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9845;1936;1990;x
比留佐夫 ;11728;UER;1936;1990;1990;1990;3;7;0;0;0;5;0;L9846;1936;1990;x
比留科夫 ;11729;UER;1936;1990;1990;1990;3;7;0;1;0;5;0;L9847;1936;1990;x
布拉戈达托夫 ;11730;UER;1936;1990;1990;1990;3;7;0;2;0;5;1;L9848;1936;1990;x
博尔金 ;11731;UER;1936;1936;1990;1990;3;7;0;1;0;5;0;L9853;1936;1990;x
博洛特尼科夫 ;11732;UER;1936;1936;1990;1990;3;7;0;0;0;5;1;L9854;1936;1990;x
博尔济科夫 ;11733;UER;1936;1936;1936;1936;3;7;0;0;0;5;0;L9857;1936;1990;x
博尔济洛夫 ;11734;UER;1936;1936;1936;1936;3;7;0;1;0;5;1;L9858;1936;1990;x
布留科夫 ;11735;UER;1936;1936;1990;1990;3;7;0;0;0;5;0;L9860;1936;1990;x
布拉托夫 ;11736;UER;1936;1936;1936;1990;3;7;0;2;0;5;0;L9863;1936;1990;x
布尼亚辛 ;11737;UER;1936;1936;1936;1990;3;7;0;0;0;5;0;L9865;1936;1990;x
布特科夫 ;11738;UER;1936;1936;1936;1990;3;7;0;1;0;5;0;L9867;1936;1990;x
