Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿代尔 ;77700;UES;1936;1936;1936;1936;3;7;0;2;0;5;2;L1000;1936;1990;x
亚当 ;77701;UES;1936;1936;1936;1936;3;7;0;1;0;5;1;L1001;1936;1990;x
艾肯赫德 ;77702;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1002;1936;1990;x
艾雷 ;77703;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1003;1936;1990;x
艾兹勒伍德 ;77704;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1004;1936;1990;x
阿兰布鲁克 ;77705;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1005;1936;1990;x
奥尔弗里 ;77706;UES;1936;1936;1990;1990;3;7;0;0;0;5;2;L1007;1936;1990;x
埃米亚特-赫尔 ;77707;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1009;1936;1990;x
阿巴恩诺特 ;77708;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1012;1936;1990;x
阿克莱特 霍尔 鲁思文 ;77709;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1013;1936;1990;x
拜利翁 ;77710;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1015;1936;1990;x
斯通黑文的 贝尔德 ;77711;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1016;1936;1990;x
居里的 巴莱尔诺 ;77712;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1017;1936;1990;x
鲍尔弗 ;77713;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1018;1936;1990;x
巴伦坦 ;77714;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1019;1936;1990;x
班克罗夫特-库克 ;77715;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1020;1936;1990;x
班克斯-麦克唐纳 ;77716;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1021;1936;1990;x
巴托洛梅乌 ;77717;UES;1936;1936;1936;1936;3;7;0;1;0;5;0;L1024;1936;1990;x
巴斯托 ;77718;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1025;1936;1990;x
巴斯琴 ;77719;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1026;1936;1990;x
贝特曼 ;77720;UES;1936;1990;1990;1990;3;7;0;1;0;5;1;L1027;1936;1990;x
比尔德 ;77721;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1028;1936;1990;x
博曼 ;77722;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1029;1936;1990;x
贝克 ;77723;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1030;1936;1990;x
贝克特 ;77724;UES;1936;1936;1936;1990;3;7;0;0;0;5;2;L1031;1936;1990;x
比洛 ;77725;UES;1936;1936;1936;1990;3;7;0;2;0;5;1;L1033;1936;1990;x
伯纳德 ;77726;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1034;1936;1990;x
伯尼-菲克林 ;77727;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1035;1936;1990;x
贝茨 ;77728;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1036;1936;1990;x
伯德 ;77729;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1037;1936;1990;x
伯克斯 ;77730;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1038;1936;1990;x
布莱基斯顿-休斯敦 ;77731;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1039;1936;1990;x
布拉克斯兰 ;77732;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1040;1936;1990;x
博丁顿 ;77733;UES;1936;1936;1936;1936;3;7;0;0;0;5;0;L1041;1936;1990;x
博尔斯 ;77734;UES;1936;1936;1936;1936;3;7;0;1;0;5;1;L1042;1936;1990;x
鲍彻 ;77735;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1043;1936;1990;x
布尔内 ，来自 阿瑟斯通 ;77736;UES;1936;1936;1936;1990;3;7;0;2;0;5;0;L1044;1936;1990;x
鲍尔 ;77737;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1045;1936;1990;x
布罗德 ;77738;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1049;1936;1990;x
布罗卡斯-伯罗斯 ;77739;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1050;1936;1990;x
布鲁克-波帕姆 ;77740;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1051;1936;1990;x
布朗 ;77741;UES;1936;1936;1990;1990;3;7;0;1;0;5;2;L1052;1936;1990;x
布鲁斯 ;77742;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1054;1936;1990;x
布伦-史密斯 ;77743;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1056;1936;1990;x
卡尔特罗普-索恩 ;77744;UES;1936;1936;1936;1990;3;7;0;1;0;5;1;L1059;1936;1990;x
卡尔弗特-琼斯 ;77745;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1060;1936;1990;x
阿查拉德尔的 坎贝尔 ;77746;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1062;1936;1990;x
艾尔兹的 坎贝尔 ;77747;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1063;1936;1990;x
卡梅龙 ;77748;UES;1936;1990;1990;1990;3;7;0;2;0;5;0;L1065;1936;1990;x
卡恩 ;77749;UES;1936;1936;1990;1990;3;7;0;0;0;5;0;L1066;1936;1990;x
卡尔-怀特 ;77750;UES;1936;1936;1936;1936;3;7;0;1;0;5;0;L1067;1936;1990;x
卡顿 德 维亚特 ;77751;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1068;1936;1990;x
卡弗 ;77752;UES;1936;1936;1990;1990;3;7;0;1;0;5;0;L1069;1936;1990;x
查林顿 ;77753;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1072;1936;1990;x
克里斯蒂安森 ;77754;UES;1936;1936;1936;1990;3;7;0;0;0;5;0;L1074;1936;1990;x
克拉克 ;77755;UES;1936;1936;1936;1990;3;7;0;1;0;5;0;L1076;1936;1990;x
克拉特巴克 ;77756;UES;1936;1990;1990;1990;3;7;0;2;0;5;1;L1078;1936;1990;x
科利特 ;77757;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1079;1936;1990;x
科利尔 ;77758;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1080;1936;1990;x
孔贝 ;77759;UES;1936;1936;1936;1990;3;7;0;2;0;5;1;L1081;1936;1990;x
科特雷尔-希尔 ;77760;UES;1936;1936;1990;1990;3;7;0;0;0;5;2;L1082;1936;1990;x
科克斯 ;77761;UES;1936;1990;1990;1990;3;7;0;0;0;5;0;L1083;1936;1990;x
克拉文 维卡里 布雷韦特 ;77762;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1084;1936;1990;x
克罗克 ;77763;UES;1936;1936;1990;1990;3;7;0;0;0;5;1;L1085;1936;1990;x
居里 ;77764;UES;1936;1990;1990;1990;3;7;0;1;0;5;0;L1087;1936;1990;x
卡斯坦斯 ;77765;UES;1936;1990;1990;1990;3;7;0;0;0;5;2;L1089;1936;1990;x
