Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
塞拉菲尼 ;411700;UIR;1936;1936;1936;1936;3;7;0;2;0;5;2;L280024;1936;1990;x
伯松 ;411701;UIR;1936;1936;1936;1936;3;7;0;1;0;5;1;L310013;1936;1990;x
派齐 ;411702;UIR;1936;1936;1990;1990;3;7;0;0;0;5;1;L505110;1936;1990;x
巴瓦拉普的 纳博布 库雷希 ;411703;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L505064;1936;1990;x
梅索尔的 沃代亚四世 ;411704;UIR;1936;1936;1936;1990;3;7;0;1;0;5;0;L505206;1936;1990;x
布巴普尔 ;411705;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L505015;1936;1990;x
特里普拉的 基肖尔 ;411706;UIR;1936;1936;1990;1990;3;7;0;0;0;5;2;L505212;1936;1990;x
巴夫纳加的 劳尔三世 ;411707;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L505210;1936;1990;x
津巴嘉措 ;411708;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L150005;1936;1990;x
图尔斯 ;411709;UIR;1936;1990;1990;1990;3;7;0;2;0;5;1;L1396;1936;1990;x
拉克沙克 ;411710;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L564012;1936;1990;x
库奇比豪尔的 贾加特迪普雷德拉 ;411711;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L505191;1936;1990;x
英格拉姆 ;411712;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L1358;1936;1990;x
穆尔加夫卡尔 ;411713;UIR;1936;1990;1990;1990;3;7;0;2;0;5;0;L505148;1936;1990;x
萨菲乌林 ;411714;UIR;1936;1936;1990;1990;3;7;0;0;0;5;1;L160019;1936;1990;x
慕克吉 ;411715;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L505062;1936;1990;x
内姆盖 旺楚克 ;411716;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L460004;1936;1990;x
梅索尔的 沃代亚五世 ;411717;UIR;1936;1936;1936;1936;3;7;0;1;0;5;0;L505207;1936;1990;x
特里劳尼 ;411718;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L320016;1936;1990;x
利夫 ;411719;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L310015;1936;1990;x
拉鲁·才旺多吉 ;411720;UIR;1936;1990;1990;1990;3;7;0;1;0;5;1;L150015;1936;1990;x
奥亚苏尼 拉纳 ;411721;UIR;1936;1936;1936;1990;3;7;0;0;0;5;0;L410008;1936;1990;x
纳瓦卜 汉吉 ;411722;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L564007;1936;1990;x
派齐 ;411723;UIR;1936;1936;1936;1990;3;7;0;0;0;5;0;L505110;1936;1990;x
纳兰德拉 ;411724;UIR;1936;1936;1936;1990;3;7;0;0;0;5;2;L505150;1936;1990;x
叶海亚 艾尔 哈米德 ;411725;UIR;1936;1936;1936;1990;3;7;0;2;0;5;1;L320015;1936;1990;x
巴克尔 ;411726;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L1323;1936;1990;x
斯利姆 ;411727;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L1281;1936;1990;x
科利特 ;411728;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L460018;1936;1990;x
格兰特 ;411729;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L1144;1936;1990;x
查希尔 ;411730;UIR;1936;1990;1990;1990;3;7;0;2;0;5;1;L280020;1936;1990;x
德瓦斯的 图科里尧三世 ;411731;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L505204;1936;1990;x
卡利穆拉 ;411732;UIR;1936;1936;1990;1990;3;7;0;0;0;5;1;L564018;1936;1990;x
瓦哈卜 汗 ;411733;UIR;1936;1936;1936;1936;3;7;0;0;0;5;0;M564047;1936;1990;x
史蒂文斯 ;411734;UIR;1936;1936;1936;1936;3;7;0;1;0;5;1;L460007;1936;1990;x
特拉万科的 拉玛 瓦尔马二世 ;411735;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L505198;1936;1990;x
亚纽 汗 ;411736;UIR;1936;1936;1936;1990;3;7;0;2;0;5;0;L564006;1936;1990;x
加尼 汗 ;411737;UIR;1936;1936;1936;1990;3;7;0;0;0;5;0;L280004;1936;1990;x
古尔德-布拉德福德 ;411738;UIR;1936;1936;1936;1990;3;7;0;1;0;5;0;L1349;1936;1990;x
瓦利 汗 ;411739;UIR;1936;1936;1990;1990;3;7;0;0;0;5;1;L280019;1936;1990;x
舒哈尔 巴哈杜尔 ;411740;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L460008;1936;1990;x
热亨德拉 拉纳 ;411741;UIR;1936;1936;1990;1990;3;7;0;1;0;5;2;L410016;1936;1990;x
雅萨尔默的 巴哈杜尔 科霍恩 ;411742;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L505006;1936;1990;x
旺曲塔钦 ;411743;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L150012;1936;1990;x
纳瓦卜 汉吉 ;411744;UIR;1936;1936;1936;1990;3;7;0;1;0;5;1;L564007;1936;1990;x
达瓦拉 ;411745;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L505032;1936;1990;x
费代里科 ;411746;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L280022;1936;1990;x
科尔哈普尔的 拉贾拉姆二世 ;411747;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L505197;1936;1990;x
奥尔沃的 里士 ;411748;UIR;1936;1990;1990;1990;3;7;0;2;0;5;0;L505199;1936;1990;x
萨拉杰 汗 ;411749;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L280010;1936;1990;x
沙阿 加齐 ;411750;UIR;1936;1936;1936;1936;3;7;0;1;0;5;0;L280012;1936;1990;x
热合曼 汗 ;411751;UIR;1936;1936;1990;1990;3;7;0;0;0;5;1;L505113;1936;1990;x
格桑楚称 ;411752;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L150006;1936;1990;x
桑颇·才旺仁增 ;411753;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L150010;1936;1990;x
阿赫桑 ;411754;UIR;1936;1936;1936;1990;3;7;0;0;0;5;0;L505000;1936;1990;x
伯松 ;411755;UIR;1936;1936;1936;1990;3;7;0;1;0;5;0;L310013;1936;1990;x
克莱顿 ;411756;UIR;1936;1990;1990;1990;3;7;0;2;0;5;1;L310014;1936;1990;x
巴雷特 ;411757;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L505012;1936;1990;x
邦德 ;411758;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L410001;1936;1990;x
达斯 卡塔里 ;411759;UIR;1936;1936;1936;1990;3;7;0;2;0;5;1;L505095;1936;1990;x
巴尔 ;411760;UIR;1936;1936;1990;1990;3;7;0;0;0;5;2;L460017;1936;1990;x
纳瓦纳加尔的 迪格维贾伊欣希 ;411761;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L505186;1936;1990;x
纳瓦卜 马诺瓦尔 ;411762;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;M564014;1936;1990;x
杰福德 ;411763;UIR;1936;1936;1990;1990;3;7;0;0;0;5;1;L505102;1936;1990;x
马莱若特拉的 艾哈迈德 阿里 ;411764;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L505178;1936;1990;x
拉菲奎 ;411765;UIR;1936;1990;1990;1990;3;7;0;0;0;5;2;L505151;1936;1990;x
利夫 ;411766;UIR;1936;1936;1936;1936;3;7;0;2;0;5;1;L310018;1936;1990;x
南达 ;411767;UIR;1936;1936;1936;1990;3;7;0;0;0;5;1;L505106;1936;1990;x
克莱顿 ;411768;UIR;1936;1936;1936;1990;3;7;0;1;0;5;0;L310014;1936;1990;x
达菲尔德 赖特 ;411769;UIR;1936;1936;1936;1936;3;7;0;1;0;5;0;M564007;1936;1990;x
特里劳尼 ;411770;UIR;1936;1990;1990;1990;3;7;0;0;0;5;1;L320016;1936;1990;x
基兰 拉纳 ;411771;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L410004;1936;1990;x
巴夫纳加的 劳尔三世 ;411772;UIR;1936;1990;1990;1990;3;7;0;0;0;5;1;L505210;1936;1990;x
鲁德拉 拉纳 ;411773;UIR;1936;1936;1990;1990;3;7;0;1;0;5;1;L410014;1936;1990;x
阿拉姆 ;411774;UIR;1936;1936;1990;1990;3;7;0;0;0;5;2;L505123;1936;1990;x
苏莱曼 汗 ;411775;UIR;1936;1990;1990;1990;3;7;0;2;0;5;0;L280013;1936;1990;x
凯墨·索南旺堆 ;411776;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L150007;1936;1990;x
拉鲁·才旺多吉 ;411777;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L150008;1936;1990;x
吉尔 ;411778;UIR;1936;1936;1990;1990;3;7;0;2;0;5;0;L505142;1936;1990;x
夏格·朗吉多杰 ;411779;UIR;1936;1936;1990;1990;3;7;0;1;0;5;1;L150013;1936;1990;x
安德拉德 ;411780;UIR;1936;1936;1990;1990;3;7;0;0;0;5;2;L505003;1936;1990;x
帕德马 拉纳 ;411781;UIR;1936;1990;1990;1990;3;7;0;2;0;5;0;L410009;1936;1990;x
阿尔热 辛格 ;411782;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L505126;1936;1990;x
甲多旺堆 ;411783;UIR;1936;1936;1936;1990;3;7;0;0;0;5;1;L150017;1936;1990;x
阿里 米尔 ;411784;UIR;1936;1936;1936;1990;3;7;0;2;0;5;0;L505124;1936;1990;x
巴拉特普的 巴杜尔 ;411785;UIR;1936;1936;1936;1990;3;7;0;1;0;5;0;L505181;1936;1990;x
帕蒂亚拉的 巴哈杜尔 阿利 ;411786;UIR;1936;1990;1990;1990;3;7;0;2;0;5;0;L505007;1936;1990;x
凯墨·索南旺堆 ;411787;UIR;1936;1990;1990;1990;3;7;0;0;0;5;1;L150018;1936;1990;x
达乌德 ;411788;UIR;1936;1936;1936;1990;3;7;0;1;0;5;2;L280021;1936;1990;x
科利特 ;411789;UIR;1936;1990;1990;1990;3;7;0;0;0;5;1;L460018;1936;1990;x
德拉曼 ;411790;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L505030;1936;1990;x
曼纳斯 ;411791;UIR;1936;1990;1990;1990;3;7;0;1;0;5;1;L1369;1936;1990;x
吉布斯 ;411792;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L505141;1936;1990;x
哈林德尔 辛格 ;411793;UIR;1936;1936;1990;1990;3;7;0;0;0;5;0;L505099;1936;1990;x
哈希姆 汗 ;411794;UIR;1936;1936;1990;1990;3;7;0;1;0;5;0;L280007;1936;1990;x
马丁 ;411795;UIR;1936;1936;1936;1990;3;7;0;0;0;5;1;L310019;1936;1990;x
侯赛因 ;411796;UIR;1936;1990;1990;1990;3;7;0;0;0;5;0;L280008;1936;1990;x
卡奇的 米尔扎三世 ;411797;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L505194;1936;1990;x
鲍威尔 ;411798;UIR;1936;1936;1990;1990;3;7;0;2;0;5;1;L1382;1936;1990;x
德万 ;411799;UIR;1936;1990;1990;1990;3;7;0;2;0;5;2;L505136;1936;1990;x
达尔尚 辛格 ;411800;UIR;1936;1990;1990;1990;3;7;0;1;0;5;0;L505135;1936;1990;x
伊斯哈克江 穆那哈吉也夫 ;411801;UIR;1936;1990;1990;1990;3;7;0;0;0;5;1;L160010;1936;1990;x
里甘 ;411802;UIR;1936;1990;1990;1990;3;7;0;2;0;5;0;L1472;1936;1990;x
赛福鼎·艾则孜 ;411803;UIR;1936;1990;1990;1990;3;7;0;1;0;5;1;L160021;1936;1990;x
罗伯茨 ;411804;UIR;1936;1936;1936;1936;3;7;0;0;0;5;0;L1267;1936;1990;x
亚罗什 ;411805;UIR;1936;1990;1990;1990;3;7;0;0;0;5;1;L160032;1936;1990;x
慕克吉 ;411806;UIR;1936;1936;1936;1990;3;7;0;2;0;5;2;L505062;1936;1990;x
