Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
亚当斯 ;60000;USA;1944;1946;1990;1990;3;7;256;2;0;5;0;L60000;1944;1970;x
亚历山大 ;60001;USA;1939;1990;1990;1990;3;4;1;1;0;5;0;L60001;1939;1970;x
阿方特 ;60002;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60002;1943;1946;x
阿尔基尔 ;60003;USA;1943;1990;1990;1990;3;5;32768;1;0;5;2;L60003;1943;1945;x
艾伦 A R ;60004;USA;1941;1944;1990;1990;2;7;128;2;0;5;0;L60004;1941;1970;x
艾伦 F A ;60005;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60005;1942;1946;x
艾伦 R R ;60006;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60006;1941;1970;x
阿尔蒙德 ;60007;USA;1942;1944;1990;1990;2;5;0;2;0;5;0;L60007;1942;1970;x
奥尔索斯 ;60008;USA;1943;1990;1990;1990;3;5;128;1;0;5;0;L60008;1943;1946;x
安德森 ;60009;USA;1940;1990;1990;1990;3;4;0;1;0;5;0;L60009;1940;1942;x
安德森 J B ;60010;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60010;1942;1946;x
安德森 J W ;60011;USA;1941;1990;1990;1990;3;6;64;1;0;5;0;L60011;1941;1945;x
安德勒斯 ;60012;USA;1943;1990;1990;1990;3;4;64;1;0;5;0;L60012;1943;1970;x
安科恩 ;60013;USA;1939;1990;1990;1990;3;4;0;1;0;5;0;L60013;1939;1944;x
阿姆斯 ;60014;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60014;1941;1946;x
阿姆斯特朗 ;60015;USA;1942;1990;1990;1990;3;5;64;1;0;5;0;L60015;1942;1970;x
阿诺德 ;60016;USA;1942;1944;1990;1990;2;6;0;2;0;5;0;L60016;1942;1970;x
阿罗史密斯 ;60017;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60017;1942;1970;x
巴德 ;60018;USA;1942;1990;1990;1990;3;4;0;1;0;5;0;L60018;1942;1946;x
贝尔 ;60019;USA;1930;1990;1990;1990;3;5;64;1;0;5;0;L60019;1930;1946;x
贝尔德 ;60020;USA;1942;1990;1990;1990;3;4;1;1;0;5;0;L60020;1942;1970;x
贝克 ;60021;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60021;1941;1946;x
巴克 ;60022;USA;1940;1990;1990;1990;3;6;64;1;0;5;0;L60022;1940;1947;x
巴纳斯 ;60023;USA;1938;1990;1990;1990;3;5;64;1;0;5;0;L60023;1938;1946;x
巴尼特 ;60024;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60024;1941;1947;x
巴尔 ;60025;USA;1941;1990;1990;1990;3;6;128;1;0;5;0;L60025;1941;1970;x
巴雷特 ;60026;USA;1944;1990;1990;1990;3;5;64;1;0;5;0;L60026;1944;1970;x
巴顿 ;60027;USA;1930;1990;1990;1990;3;5;0;1;0;5;0;L60027;1930;1946;x
巴什 ;60028;USA;1930;1990;1990;1990;3;4;512;1;0;5;0;L60028;1930;1938;x
贝斯里 ;60029;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60029;1942;1970;x
贝丁费尔德 ;60030;USA;1945;1990;1990;1990;3;5;32;1;0;5;0;L60030;1945;1970;x
贝代尔-史密斯 ;60031;USA;1941;1942;1944;1990;1;6;4;3;0;5;0;L60031;1941;1970;x
拜德林登 ;60032;USA;1943;1990;1990;1990;3;5;64;1;0;5;0;L60032;1943;1970;x
贝特勒 ;60033;USA;1940;1990;1990;1990;3;6;0;1;0;5;0;L60033;1940;1970;x
比林斯里亚 ;60034;USA;1940;1990;1990;1990;3;4;2;1;0;5;0;L60034;1940;1943;x
伯克黑德 ;60035;USA;1930;1941;1990;1990;3;4;0;2;0;5;0;L60035;1930;1942;x
比斯尔 ;60036;USA;1943;1990;1990;1990;3;4;64;1;0;5;0;L60036;1943;1946;x
比克斯比 ;60037;USA;1944;1990;1990;1990;3;5;128;1;0;5;0;L60037;1944;1990;x
布莱克莫尔 ;60038;USA;1940;1990;1990;1990;3;4;1;1;0;5;0;L60038;1940;1990;x
布莱克利 ;60039;USA;1940;1990;1990;1990;3;5;128;1;0;5;0;L60039;1940;1946;x
布朗特 ;60040;USA;1942;1990;1990;1990;3;4;4;1;0;5;0;L60040;1942;1947;x
布卢梅尔 ;60041;USA;1940;1990;1990;1990;3;4;256;1;0;5;0;L60041;1940;1942;x
博特纳 ;60042;USA;1942;1990;1990;1990;3;6;5;1;0;5;0;L60042;1942;1970;x
博格斯 ;60043;USA;1939;1990;1990;1990;3;4;1;1;0;5;0;L60043;1939;1942;x
博恩 ;60044;USA;1942;1990;1990;1990;3;6;128;1;0;5;0;L60044;1942;1945;x
博林 ;60045;USA;1939;1945;1990;1990;3;5;0;2;0;5;0;L60045;1939;1970;x
博尔特 ;60046;USA;1930;1930;1942;1990;1;5;0;2;0;5;0;L60046;1930;1970;x
博恩斯蒂尔 吉尔. ;60047;USA;1941;1990;1990;1990;3;5;0;1;0;5;0;L60047;1941;1970;x
博特 ;60048;USA;1942;1945;1990;1990;3;5;0;2;0;5;0;L60048;1942;1970;x
布迪诺 ;60049;USA;1943;1990;1990;1990;3;4;128;1;0;5;0;L60049;1943;1945;x
鲍恩 ;60050;USA;1942;1990;1990;1990;3;6;384;1;0;5;0;L60050;1942;1970;x
鲍利 ;60051;USA;1930;1930;1990;1990;2;6;514;1;0;5;0;L60051;1930;1939;x
鲍曼 ;60052;USA;1942;1990;1990;1990;3;5;32;1;0;5;0;L60052;1942;1970;x
博伊德 ;60053;USA;1938;1990;1990;1990;3;4;0;1;0;5;0;L60053;1938;1970;x
布拉德福德  K.S. ;60054;USA;1941;1990;1990;1990;3;4;0;1;0;5;0;L60054;1941;1946;x
布拉德福德  W.B. ;60055;USA;1941;1990;1990;1990;3;5;4;1;0;5;0;L60055;1941;1970;x
布拉德利  J.L. ;60056;USA;1940;1990;1990;1990;3;7;256;1;0;5;0;L60056;1940;1970;x
布拉德利  O.N. ;60057;USA;1941;1943;1944;1946;1;9;37;5;0;5;0;L60057;1941;1970;x
布拉德肖 ;60058;USA;1941;1990;1990;1990;3;4;2;1;0;5;0;L60058;1941;1970;x
布兰 ;60059;USA;1943;1990;1990;1990;3;4;0;1;0;5;0;L60059;1943;1945;x
布劳恩 ;60060;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60060;1941;1945;x
布里斯 ;60061;USA;1930;1938;1990;1990;2;6;513;2;0;5;0;L60061;1930;1941;x
布雷特 ;60062;USA;1941;1990;1990;1990;3;4;128;1;0;5;0;L60062;1941;1943;x
布鲁尔 ;60063;USA;1941;1990;1990;1990;3;6;128;1;0;5;0;L60063;1941;1970;x
布里顿 ;60064;USA;1943;1990;1990;1990;3;5;32;1;0;5;0;L60064;1943;1947;x
布鲁克斯 ;60065;USA;1942;1946;1990;1990;3;7;128;2;0;5;0;L60065;1942;1970;x
布鲁尔 ;60066;USA;1930;1990;1990;1990;3;4;1;1;0;5;0;L60066;1930;1942;x
布朗 ;60067;USA;1942;1990;1990;1990;3;5;4;1;0;5;0;L60067;1942;1970;x
布鲁斯 ;60068;USA;1938;1942;1990;1990;2;5;128;2;0;5;0;L60068;1938;1970;x
布拉什 ;60069;USA;1930;1990;1990;1990;3;4;0;1;0;5;0;L60069;1930;1945;x
布赖登 ;60070;USA;1937;1990;1990;1990;3;6;576;1;0;5;0;L60070;1937;1944;x
布赫尔 ;60071;USA;1942;1990;1990;1990;3;4;64;1;0;5;0;L60071;1942;1970;x
巴克马斯特 ;60072;USA;1942;1990;1990;1990;3;5;4096;1;0;5;1;L60072;1942;1970;x
巴克纳 ;60073;USA;1940;1944;1990;1990;2;7;20;2;0;5;0;L60073;1940;1945;x
比希勒 ;60074;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60074;1942;1990;x
布尔 ;60075;USA;1939;1943;1990;1990;2;5;0;2;0;5;0;L60075;1939;1970;x
布拉维尼 ;60076;USA;1945;1990;1990;1990;3;4;4;1;0;5;0;L60076;1945;1970;x
伯内尔 ;60077;USA;1942;1990;1990;1990;3;5;2;1;0;5;0;L60077;1942;1970;x
伯雷斯 ;60078;USA;1942;1990;1990;1990;3;5;0;1;0;5;0;L60078;1942;1970;x
巴斯比 ;60079;USA;1941;1990;1990;1990;3;5;64;1;0;5;0;L60079;1941;1946;x
巴特勒 ;60080;USA;1941;1990;1990;1990;3;6;36;1;0;5;0;L60080;1941;1970;x
拜尔斯 ;60081;USA;1943;1947;1990;1990;3;8;256;2;0;5;0;L60081;1943;1970;x
卡贝尔 ;60082;USA;1940;1944;1990;1990;2;7;8192;2;0;5;2;L60082;1940;1946;x
卡菲 ;60083;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60083;1942;1970;x
坎普 ;60085;USA;1941;1990;1990;1990;3;5;128;1;0;5;0;L60085;1941;1946;x
坎贝尔 ;60086;USA;1942;1990;1990;1990;3;4;1;1;0;5;0;L60086;1942;1970;x
坎汉 ;60087;USA;1944;1990;1990;1990;3;6;256;1;0;5;0;L60087;1944;1970;x
卡奈因 ;60088;USA;1942;1944;1990;1990;2;7;32;2;0;5;0;L60088;1942;1970;x
坎农 ;60089;USA;1943;1945;1990;1990;2;5;0;2;0;5;0;L60089;1943;1970;x
凯西 ;60090;USA;1941;1990;1990;1990;3;6;33;1;0;5;0;L60090;1941;1970;x
卡泰 ;60091;USA;1941;1943;1947;1990;2;7;256;3;0;5;0;L60091;1941;1970;x
查菲 ;60092;USA;1937;1990;1990;1990;3;5;0;1;0;5;0;L60092;1937;1941;x
钱伯林 ;60093;USA;1930;1942;1990;1990;2;4;4;2;0;5;0;L60093;1930;1970;x
查普曼 ;60094;USA;1940;1990;1990;1990;3;5;256;1;0;5;0;L60094;1940;1943;x
沙斯 ;60095;USA;1942;1990;1990;1990;3;5;256;1;0;5;0;L60095;1942;1970;x
克里斯蒂安森 ;60096;USA;1942;1990;1990;1990;3;6;4;1;0;5;0;L60096;1942;1970;x
查诺韦恩 ;60097;USA;1930;1990;1990;1990;3;4;2;1;0;5;0;L60097;1940;1942;x
克拉克 ;60098;USA;1941;1942;1944;1990;1;9;4;4;0;5;0;L60098;1941;1970;x
克拉克 ;60099;USA;1944;1990;1990;1990;3;6;128;1;0;5;0;L60099;1944;1970;x
