Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
奥乌罗 伯约恩 ;270000;VEN;1939;1990;1990;1990;3;6;288;0;0;5;0;L270000;1939;1944;x
贝当古 贝洛 ;270001;VEN;1939;1942;1990;1990;2;4;4;1;0;3;0;L270001;1939;1960;x
卡德纳斯 阿里亚斯 ;270002;VEN;1942;1990;1990;1990;3;3;0;0;0;5;0;L270002;1942;1960;x
孔特雷拉斯 比利亚洛沃斯 ;270003;VEN;1944;1946;1990;1990;2;4;4;1;0;3;0;L270003;1944;1960;x
德尔加多 查尔沃德 ;270004;VEN;1944;1945;1990;1990;2;4;1;1;0;4;0;L270004;1944;1950;x
德 拉 皮列 ;270005;VEN;1930;1990;1990;1990;3;3;1;0;0;5;0;L270005;1930;1942;x
埃利亚斯 吉特雷斯 ;270006;VEN;1930;1930;1941;1990;1;4;2;2;0;5;0;L270006;1930;1945;x
费尔南德斯 奥尔蒂斯 ;270007;VEN;1930;1990;1990;1990;3;4;256;0;0;5;0;L270007;1930;1941;x
加西亚 门多萨 ;270008;VEN;1942;1990;1990;1990;3;3;1;0;0;4;0;L270008;1942;1960;x
冈萨雷斯 洛佩斯 ;270009;VEN;1944;1946;1990;1990;2;4;128;2;0;4;0;L270009;1944;1960;x
吉拉尔 菲格罗亚 ;270010;VEN;1939;1942;1990;1990;2;3;4;1;0;4;0;L270010;1939;1946;x
拉腊萨瓦尔 乌格托 ;270011;VEN;1945;1950;1952;1990;1;5;128;2;0;2;0;L270011;1945;1960;x
莱昂尼 奥特罗 ;270012;VEN;1942;1944;1990;1990;2;3;0;1;0;3;0;L270012;1942;1960;x
洛佩斯 孔特雷拉斯 ;270013;VEN;1930;1930;1930;1990;1;6;513;1;0;5;0;L270013;1930;1944;x
洛佩斯 恩里克斯 ;270014;VEN;1930;1990;1990;1990;3;3;64;0;0;4;0;L270014;1930;1940;x
洛佩斯 马里诺 ;270015;VEN;1930;1939;1990;1990;3;4;0;1;0;5;0;L270015;1930;1943;x
洛佩斯 佩雷斯 ;270016;VEN;1942;1990;1990;1990;3;3;256;0;0;4;0;L270016;1942;1947;x
马尔凯洛 洛佩斯 ;270017;VEN;1944;1947;1990;1990;3;4;0;1;0;5;0;L270017;1944;1960;x
梅迪纳 阿加里塔 ;270018;VEN;1930;1930;1939;1941;0;4;2;3;0;3;0;L270018;1930;1945;x
蒙萨尔沃 马雷诺 ;270019;VEN;1942;1990;1990;1990;3;3;0;0;0;4;0;L270019;1942;1947;x
蒙蒂拉 ;270020;VEN;1941;1944;1990;1990;3;3;64;1;0;5;0;L270020;1941;1960;x
