Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
阿巴朗 ;542000;VIE;1939;1990;1990;1990;3;3;128;0;0;5;0;L542000;1939;1999;x
博舍龙·德·布瓦苏迪 ;542001;VIE;1943;1990;1990;1990;3;3;2;0;0;5;0;L542001;1943;1999;x
包岱 ;542002;VIE;1930;1930;1930;1930;0;1;0;0;0;5;0;L542002;1930;1999;x
伯纳迪诺 ;542003;VIE;1941;1990;1990;1990;3;4;256;0;0;5;0;L542003;1941;1999;x
沙瓦纳克 ;542004;VIE;1941;1990;1990;1990;3;3;64;0;0;5;0;L542004;1941;1999;x
德古 ;542005;VIE;1930;1940;1990;1990;2;3;4;1;0;5;0;M542006;1930;1999;x
德·博阿尔纳 ;542006;VIE;1930;1930;1990;1990;2;4;514;1;0;5;0;M542008;1930;1940;x
德·赫尔斯 ;542007;VIE;1940;1990;1990;1990;3;2;1;0;0;5;0;L542007;1940;1999;x
德·拉·波伊佩 ;542008;VIE;1943;1990;1990;1990;3;3;32;0;0;5;0;L542008;1943;1999;x
达克·达特 ;542009;VIE;1944;1990;1990;1990;3;2;1;0;0;5;0;L542009;1944;1999;x
杨文明 ;542010;VIE;1943;1947;1990;1990;3;3;128;1;0;5;0;M542046;1943;1999;x
法布里切特 ;542011;VIE;1930;1990;1990;1990;3;4;514;1;0;5;0;L542011;1930;1999;x
富尔科 ;542012;VIE;1941;1990;1990;1990;3;4;5;0;0;5;0;L542012;1941;1999;x
热尔曼 ;542013;VIE;1940;1990;1990;1990;3;3;4;0;0;5;0;L542013;1940;1999;x
哈塞伊 ;542014;VIE;1943;1990;1990;1990;3;3;32;0;0;5;0;L542014;1943;1999;x
黄明昭 ;542015;VIE;1939;1943;1990;1990;2;4;16;1;0;5;0;L542015;1939;1999;x
耶莱 ;542017;VIE;1940;1943;1990;1990;2;4;256;1;0;5;0;M542037;1940;1999;x
若尔 ;542018;VIE;1930;1939;1940;1990;1;4;64;2;0;5;0;M542021;1930;1999;x
黎考克 ;542019;VIE;1938;1990;1990;1990;3;4;256;0;0;5;0;L542019;1938;1999;x
黎·科尼亚克·德·拉·隆格雷斯 ;542020;VIE;1941;1943;1946;1990;2;5;5;3;0;5;0;L542020;1941;1999;x
黎文金 ;542022;VIE;1944;1990;1990;1990;3;2;1;0;0;5;0;L542022;1944;1999;x
利夫里·勒韦尔 ;542023;VIE;1940;1944;1990;1990;2;4;4;2;0;5;0;L542023;1940;1999;x
芒内 ;542024;VIE;1938;1944;1990;1990;2;4;64;1;0;5;0;L542024;1938;1999;x
倪文正 ;542025;VIE;1945;1990;1990;1990;3;2;128;0;0;5;0;L542025;1945;1999;x
阮高世 ;542026;VIE;1945;1990;1990;1990;3;2;0;0;0;5;0;L542026;1945;1999;x
阮谷孝 ;542027;VIE;1945;1990;1990;1990;3;3;4;0;0;5;0;L542027;1945;1999;x
阮友谷 ;542028;VIE;1942;1947;1990;1990;3;3;2;1;0;5;0;M542043;1942;1999;x
阮庆 ;542029;VIE;1945;1990;1990;1990;3;2;256;0;0;5;0;L542029;1945;1999;x
佩利西耶 ;542030;VIE;1930;1990;1990;1990;3;4;1;0;0;5;0;L542030;1930;1999;x
罗宾 ;542031;VIE;1930;1930;1990;1990;2;3;2;0;0;5;0;M542002;1930;1940;x
滔博寿 ;542032;VIE;1945;1990;1990;1990;3;2;0;0;0;5;0;L542032;1945;1999;x
维尼厄 ;542033;VIE;1940;1990;1990;1990;3;3;128;0;0;5;0;L542033;1940;1999;x
永禄 ;542034;VIE;1944;1990;1990;1990;3;2;1;0;0;5;0;L542034;1944;1999;x
旺文同 ;542036;VIE;1945;1990;1990;1990;3;2;256;0;0;5;0;L542036;1945;1999;x
安水高 ;542037;VIE;1945;1990;1990;1990;3;2;1024;0;0;5;1;L542037;1945;1999;x
伯纳迪诺 ;542038;VIE;1941;1990;1990;1990;3;2;0;0;0;5;1;L542003;1941;1999;x
胡丹权 ;542039;VIE;1941;1946;1990;1990;2;3;1024;1;0;5;1;M542051;1941;1999;x
耶莱 ;542040;VIE;1940;1943;1990;1990;2;3;0;1;0;5;1;M542037;1940;1999;x
黎军 ;542041;VIE;1938;1944;1990;1990;2;3;8192;1;0;5;1;M542042;1938;1999;x
黎武奇 ;542042;VIE;1930;1990;1990;1990;3;3;0;0;0;5;1;L542042;1930;1999;x
阮成智 ;542043;VIE;1943;1990;1990;1990;3;2;2048;0;0;5;1;L542043;1943;1999;x
帕基耶 ;542044;VIE;1930;1930;1930;1990;1;3;4608;1;0;5;1;M542009;1930;1941;x
庄敦督 ;542045;VIE;1945;1990;1990;1990;3;2;0;0;0;5;1;M542052;1945;1999;x
布迪耶 ;532046;VIE;1939;1990;1990;1990;3;3;131072;0;0;5;2;M542053;1939;1999;x
布勒维 ;542047;VIE;1930;1930;1990;1990;2;3;16384;0;0;5;2;M542010;1930;1942;x
布里瑟杜·加洛尼·德·伊斯特里亚 ;542048;VIE;1940;1990;1990;1990;3;3;0;0;0;5;2;L542048;1940;1999;x
德·蒙布伦 ;542049;VIE;1941;1990;1990;1990;3;3;8192;0;0;5;2;L542049;1941;1999;x
黎朗热 ;542050;VIE;1942;1990;1990;1990;3;3;0;0;0;5;2;M542054;1942;1999;x
利夫里·勒韦尔 ;542051;VIE;1940;1944;1990;1990;2;4;65536;1;0;5;2;L542023;1940;1999;x
阮友寿 ;542052;VIE;1930;1930;1990;1990;2;2;4096;0;0;5;2;M542055;1930;1999;x
蓬佩 ;542053;VIE;1941;1990;1990;1990;3;3;0;0;0;5;2;L542053;1941;1999;x
西莫内特 ;542054;VIE;1942;1990;1990;1990;3;3;32768;0;0;5;2;L542054;1942;1999;x
