Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
4 ÌÆ»´Ô´(99) ;501000;CYN;1937;1939;1990;1990;2;4;1;2;0;4;0;L50279;1937;1999;x
3 ´çÐÔÆæ(99) ;501001;CYN;1930;1990;1990;1990;3;3;2;0;0;4;0;L50297;1930;1999;x
4 Íõ¼×±¾(99) ;501002;CYN;1941;1944;1990;1990;3;4;0;1;0;4;0;L50309;1937;1999;x
5 ÔøÔóÉú(99) ;501003;CYN;1945;1990;1990;1990;3;5;2;2;0;4;0;L50291;1938;1999;x
3 Â¬¿£Èª(99) ;501004;CYN;1939;1990;1990;1990;3;3;0;0;0;4;0;L50226;1939;1999;x
5 Â¬ºº(99) ;501005;CYN;1930;1930;1990;1990;2;5;3;3;0;3;0;L50228;1930;1999;x
3 ÁúÔÆ(99) ;501006;CYN;1930;1930;1930;1935;0;3;513;2;0;2;0;L50232;1930;1999;x
4 Ëï¶É(99) ;501007;CYN;1930;1930;1990;1990;1;4;0;2;0;4;0;L50268;1930;1999;x
4 ÕÅ³å(99) ;501008;CYN;1930;1930;1990;1990;2;4;16;1;0;5;0;L501008;1930;1999;x
3 ¸ßÒñ»±(99) ;501009;CYN;1930;1930;1990;1990;2;3;2;0;0;5;0;L501009;1930;1999;x
4 °²¶÷äß(99) ;501010;CYN;1930;1930;1990;1990;2;4;2;1;0;5;0;L501010;1930;1999;x
3 ÁúÔó»ã(99) ;501011;CYN;1930;1990;1990;1990;3;3;0;0;0;5;0;L501011;1930;1999;x
5 Â³µÀÔ´(99) ;501013;CYN;1937;1990;1990;1990;3;5;20;2;0;4;0;L50230;1937;1999;x
1 Â¬ºº(43) ;501016;CYN;1930;1930;1990;1990;2;1;0;0;0;3;2;L50228;1930;1943;x
