U91;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
900100;Head of State;°¬¹şÂõµÂ¡¤¼Ö±È¶û¡¤Èø°ÍºÕ;36;PA;Benevolent Gentleman;Very High;kuwait1;x
900101;Head of Government;°¬¹şÂõµÂ¡¤¼Ö±È¶û¡¤Èø°ÍºÕ;36;PA;Naive Optimist;Very High;kuwait1;x
900102;Foreign Minister;ÄÂÀ­¡¤°ÂË¹Âü¡¤°¢¶û;36;PA;Great Compromiser;Very High;kuwait4;x
900103;Minister of Armament;Ï£À­ÀÕ¡¤°¬¶û;36;SC;Resource Industrialist;Very High;kuwait5;x
900104;Minister of Security;ÄÂÀ­¡¤°ÂË¹Âü¡¤°¢¶û;36;PA;Man of the People;Very High;kuwait4;x
900105;Head of Military Intelligence;°¬¹şÂõµÂ¡¤¼Ö±È¶û¡¤Èø°ÍºÕ;36;PA;Political Specialist;Very High;kuwait1;x
900106;Chief of Staff;°¬¹şÂõµÂ¡¤¼Ö±È¶û¡¤Èø°ÍºÕ;36;PA;School of Mass Combat;Very High;kuwait1;x
900107;Chief of Army;°¢²·¶ÅÀ­¡¤ÈøÀûÄ·¡¤Èø°ÍºÕ;36;PA;Guns and Butter Doctrine;Very High;kuwait2;x
900108;Chief of Navy;°¢²·¶ÅÀ­¡¤ÈøÀûÄ·¡¤Èø°ÍºÕ;36;PA;Open Seas Doctrine;Very High;kuwait2;x
900109;Chief of Air Force;°¢²·¶ÅÀ­¡¤ÈøÀûÄ·¡¤Èø°ÍºÕ;36;PA;Army Aviation Doctrine;Very High;kuwait2;x
900110;Head of Government;°¢²·¶ÅÀ­¡¤ÈøÀûÄ·¡¤Èø°ÍºÕ;39;PA;Corporate Suit;Very High;kuwait2;x
900111;Head of Government;Ï£À­ÀÕ¡¤°¬¶û;36;SC;Corporate Suit;Very High;kuwait5;x
900112;Head of Military Intelligence;Ô¼º²¡¤Ä¦¶û;36;SL;Political Specialist;Very High;kuwait3;x
900113;Chief of Staff;Ô¼º²¡¤Ä¦¶û;36;SL;School of Mass Combat;Very High;kuwait3;x
900114;Chief of Army;Ô¼º²¡¤Ä¦¶û;36;SL;Guns and Butter Doctrine;Very High;kuwait3;x
900115;Chief of Navy;Ô¼º²¡¤Ä¦¶û;36;SL;Open Seas Doctrine;Very High;kuwait3;x
900116;Chief of Air Force;Ô¼º²¡¤Ä¦¶û;36;SL;Army Aviation Doctrine;Very High;kuwait3;x
900117;Foreign Minister;Ğ»ºÕÈø°ÍºÕ;60;SC;Great Compromiser;Very High;M_91_kuwait6;x
900118;Minister of Security;Ğ»ºÕÈø°ÍºÕ;56;SC;Crime Fighter;Very High;M_91_kuwait6;x
