AUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
23001;Head of State;威廉 米克拉斯 ;36;FA;Weary Stiffneck;High;M23001;x
23002;Head of Government;库尔特 舒施尼格 ;36;FA;Silent Workhorse;High;M23002;x
23003;Foreign Minister;埃贡 贝格尔-瓦尔德内格 ;30;FA;Apologetic Clerk;High;M23003;x
23004;Minister of Armament;尤利乌斯 拉布 ;36;FA;Resource Industrialist;Medium;M23004;x
23005;Minister of Security;爱德华 巴尔-巴伦费尔斯 ;30;FA;Man of the People;High;M23005;x
23006;Head of Military Intelligence;威廉 格鲍尔 ;30;FA;Logistics Specialist;Medium;M23006;x
23007;Chief of Staff;阿尔弗雷德 冯 扬萨 ;36;FA;School of Defence;Medium;M23007;x
23008;Chief of Army;威廉 策纳 ;36;FA;Elastic Defence Doctrine;High;M23008;x
23009;Chief of Navy;保罗 冯 海盖迪什 ;36;FA;Decisive Naval Battle Doctrine;High;M23009;x
23010;Chief of Air Force;亚历山大 劳尔 ;30;NS;Army Aviation Doctrine;Medium;M23010;x
23041;Head of State;奥托一世 ;30;PA;Autocratic Charmer;High;M23041;x
23042;Head of State;约瑟夫 布克尔 ;38;FA;Insignificant Layman;High;M23042;x
23043;Head of State;亚瑟 赛斯-因夸特 ;38;NS;Die-hard Reformer;High;M23011;x
23044;Head of State;卡尔 伦纳 ;38;SD;Benevolent Gentleman;High;M23021;x
23045;Head of State;利奥波德 菲格尔 ;45;SC;Pig-headed Isolationist;High;M23045;x
23046;Head of State;奥托 鲍尔 ;38;LE;Insignificant Layman;High;M23031;x
23047;Head of State;约瑟夫 托伊费尔 ;45;ST;Barking Buffoon;High;M23047;x
23048;Head of Government;O. 劳文费尔斯-奥伦高 ;45;PA;Smiling Oilman;High;M23048;x
23049;Head of Government;阿尔伯特 门兹多夫-普伊 ;38;FA;Happy Amateur;High;M23049;x
23050;Head of Government;埃德蒙 格莱兹-霍尔斯特瑙 ;38;NS;Old General;High;M23050;x
23051;Head of Government;威廉 沃尔夫 ;42;NS;Flamboyant Tough Guy;High;M23013;x
23052;Head of Government;路德维格 许尔格特 ;38;SC;Corporate Suit;High;M23052;x
23053;Head of Government;阿道夫 沙尔夫 ;45;SD;Naive Optimist;High;M23022;x
23054;Head of Government;维利 弗兰克 ;38;LE;Happy Amateur;High;M23035;x
23055;Head of Government;约瑟夫 托伊费尔 ;45;ST;Backroom Backstabber;High;M23047;x
23056;Foreign Minister;O. 劳文费尔斯-奥伦高 ;45;PA;General Staffer;High;M23048;x
23057;Foreign Minister;吉多 施密特 ;36;FA;The Cloak N Dagger Schemer;High;M23057;x
23058;Foreign Minister;爱德华 巴尔-巴伦费尔斯 ;38;FA;Iron Fisted Brute;High;M23005;x
23059;Foreign Minister;阿尔伯特 门兹多夫-普伊 ;39;FA;Apologetic Clerk;Medium;M23049;x
23060;Foreign Minister;威廉 沃尔夫 ;38;NS;Ideological Crusader;High;M23013;x
23061;Foreign Minister;埃德蒙 格莱兹-霍尔斯特瑙 ;42;NS;General Staffer;Medium;M23061;x
23062;Foreign Minister;卡尔 格鲁贝尔 ;38;SC;Biased Intellectual;Low;M23023;x
23063;Foreign Minister;利奥波德 菲格尔 ;45;ML;Great Compromiser;Medium;M23045;x
23064;Foreign Minister;阿道夫 沙尔夫 ;45;ML;Biased Intellectual;Medium;M23022;x
23065;Foreign Minister;阿尔弗雷德 克拉尔 ;38;LE;Ideological Crusader;High;M23033;x
23066;Foreign Minister;维利 弗兰克 ;45;ST;Iron Fisted Brute;Medium;M23035;x
23067;Minister of Armament;T. 温克勒-克罗伊特-毛特纳 ;45;PA;Laissez Faires Capitalist;High;M23067;x
23068;Minister of Armament;阿尔伯特 门兹多夫-普伊 ;46;PA;Administrative Genius;Medium;M23049;x
23069;Minister of Armament;约瑟夫 多布雷茨贝格尔 ;36;FA;Laissez Faires Capitalist;High;M23069;x
23070;Minister of Armament;保罗 冯 海盖迪什 ;38;FA;Battle Fleet Proponent;High;M23009;x
23071;Minister of Armament;鲁道夫 诺伊迈尔 ;38;NS;Resource Industrialist;Medium;M23014;x
23072;Minister of Armament;汉斯 菲施博克 ;42;NS;Military Entrepreneur;High;M23072;x
23073;Minister of Armament;阿尔弗雷德 马莱塔 ;44;NS;Tank Proponent;Medium;M23073;x
23074;Minister of Armament;爱德华 海纳尔 ;38;ML;Theoretical Scientist;Medium;M23024;x
23075;Minister of Armament;卡尔 格鲁贝尔 ;42;ML;Air Superiority Proponent;Low;M23023;x
23076;Minister of Armament;卡尔 伦纳 ;45;SC;Strategic Air Proponent;Low;M23021;x
23077;Minister of Armament;卡尔 图皮 ;45;SD;Corrupt Kleptocrat;Low;M23077;x
23078;Minister of Armament;弗里茨 施特金格尔 ;46;SD;Air to Ground Proponent;High;M23078;x
23079;Minister of Armament;路德维格 许尔格特 ;46;SD;Air to Sea Proponent;Medium;M23052;x
23080;Minister of Armament;罗伯特 温特施泰因 ;38;LE;Submarine Proponent;Medium;M23025;x
23081;Minister of Armament;欧文 普施曼 ;45;ST;Infantry Proponent;Medium;M23034;x
23082;Minister of Security;W. 埃伦堡 冯 吕蒂茨 ;45;PA;Efficient Sociopath;High;M23082;x
23083;Minister of Security;库尔特 舒施尼格 ;37;FA;Compassionate Gentleman;High;M23002;x
23084;Minister of Security;康斯坦丁 邓巴 ;38;FA;Man of the People;Medium;M23084;x
23085;Minister of Security;亚瑟 赛斯-因夸特 ;38;NS;Silent Lawyer;High;M23011;x
23086;Minister of Security;汉斯 劳特尔 ;42;NS;Man of the People;High;M23086;x
23087;Minister of Security;埃德蒙 格莱兹-霍尔斯特瑙 ;44;NS;Prince of Terror;Medium;M23050;x
23088;Minister of Security;罗伯特 温特施泰因 ;38;SC;Crooked Kleptocrat;Medium;M23025;x
23089;Minister of Security;卡尔 图皮 ;45;SC;Efficient Sociopath;Low;M23077;x
23090;Minister of Security;弗朗茨 谢贝克 ;45;SD;Compassionate Gentleman;High;M23036;x
23091;Minister of Security;奥托 鲍尔 ;38;LE;Back Stabber;Very Low;M23031;x
23092;Minister of Security;维利 弗兰克 ;45;ST;Crime Fighter;Medium;M23035;x
23093;Head of Military Intelligence;卡尔曼 塞尔 ;45;PA;Political Specialist;Medium;M23093;x
23094;Head of Military Intelligence;康斯坦丁 邓巴 ;30;FA;Naval Intelligence Specialist;Medium;M23084;x
23095;Head of Military Intelligence;卡尔 埃格尔泽 ;38;FA;Logistics Specialist;High;M23095;x
23096;Head of Military Intelligence;威廉 沃尔夫 ;38;NS;Technical Specialist;High;M23013;x
23097;Head of Military Intelligence;亚历山大 劳尔 ;42;NS;Dismal Enigma;Medium;M23010;x
23098;Head of Military Intelligence;罗伯特 温特施泰因 ;38;SC;Technical Specialist;High;M23025;x
23099;Head of Military Intelligence;尤利乌斯 拉布 ;45;SC;Industrial Specialist;Medium;M23004;x
23100;Head of Military Intelligence;弗朗茨 谢贝克 ;45;SD;Political Specialist;High;M23036;x
23102;Head of Military Intelligence;理查德 贝尔纳斯科特 ;45;ST;Technical Specialist;High;M23038;x
23103;Chief of Staff;O. 迈克斯纳 冯 茨魏恩斯塔姆 ;45;PA;School of Defence;Medium;M23103;x
23104;Chief of Staff;瓦尔特 恩斯特 ;36;FA;School of Defence;High;M23104;x
23105;Chief of Staff;鲁道夫 冯 布鲁德曼 ;41;FA;School of Manoeuvre;High;M23105;x
23106;Chief of Staff;埃米尔 希克曼 ;38;NS;School of Manoeuvre;High;M23017;x
23107;Chief of Staff;阿尔弗雷德 胡比基 ;40;NS;School of Psychology;Medium;M23107;x
23108;Chief of Staff;欧根 拜尔 ;42;NS;School of Fire Support;Medium;M23018;x
23109;Chief of Staff;威廉 策纳 ;38;SC;School of Mass Combat;High;M23008;x
23110;Chief of Staff;埃里克 冯 克洛普芬堡 ;45;SC;School of Defence;High;M23039;x
23111;Chief of Staff;阿道夫 沙尔夫 ;45;SD;School of Fire Support;Medium;M23022;x
23112;Chief of Staff;费迪南德 施特拉塞尔 ;38;LE;School of Manoeuvre;High;M23037;x
23114;Chief of Army;埃里克 冯 克洛普芬堡 ;45;PA;Static Defence Doctrine;High;M23039;x
23115;Chief of Army;O. 迈克斯纳 冯 茨魏恩斯塔姆 ;38;FA;Guns and Butter Doctrine;Medium;M23103;x
23116;Chief of Army;理查德 马丁内克 ;41;FA;Elastic Defence Doctrine;Medium;M23116;x
23117;Chief of Army;欧根 拜尔 ;38;NS;Elastic Defence Doctrine;High;M23018;x
23118;Chief of Army;洛塔尔 伦杜利奇 ;42;NS;Armoured Spearhead Doctrine;Medium;M23118;x
23119;Chief of Army;海因里希 格莱斯纳 ;38;SC;Decisive Battle Doctrine;Very Low;M23028;x
23121;Chief of Army;理查德 贝尔纳斯科特 ;38;LE;Static Defence Doctrine;Medium;M23038;x
23123;Chief of Navy;奥托一世 冯 哈布斯堡 ;45;PA;Indirect Approach Doctrine;Very High;M23041;x
23124;Chief of Navy;伊格纳茨 塞佩尔 ;38;FA;Power Projection Doctrine;High;M23124;x
23125;Chief of Navy;埃米尔 希克曼 ;38;NS;Open Seas Doctrine;Low;M23017;x
23126;Chief of Navy;罗伯特 温特施泰因 ;38;SC;Indirect Approach Doctrine;Medium;M23025;x
23128;Chief of Navy;埃里克 冯 克洛普芬堡 ;38;LE;Open Seas Doctrine;High;M23039;x
23129;Chief of Navy;约瑟夫 托伊费尔 ;45;ST;Base Control Doctrine;Medium;M23047;x
23130;Chief of Air Force;W. 埃伦堡 冯 吕蒂茨 ;45;PA;Army Aviation Doctrine;High;M23082;x
23131;Chief of Air Force;奥托 舍贝尔 ;38;FA;Vertical Envelopment Doctrine;High;M23030;x
23133;Chief of Air Force;约瑟夫 布克尔 ;42;NS;Carpet Bombing Doctrine;High;M23042;x
23134;Chief of Air Force;尤利乌斯 伊拉姆 ;38;SC;Air Superiority Doctrine;Low;M23040;x
23135;Chief of Air Force;埃贡 贝格尔-瓦尔德内格 ;42;SC;Carpet Bombing Doctrine;High;M23003;x
23139;Head of Military Intelligence;库尔特 舒施尼格 ;37;FA;Political Specialist;Undying;M23002;x
23140;Chief of Staff;库尔特 舒施尼格 ;36;FA;School of Fire Support;Undying;M23002;x
23141;Head of State;阿尔弗雷德 胡比基 ;45;NS;Stern Imperialist;High;M23107;x
23142;Chief of Air Force;阿图尔 布赖夏-沃捷 ;42;LE;Naval Aviation Doctrine;Low;M23136;x
23143;Head of State;卡尔 伦纳 ;38;SC;Benevolent Gentleman;High;M23021;x
23144;Head of State;特奥多尔 克尔纳 ;51;SC;Weary Stiffneck;High;M23144;x
23145;Head of State;特奥多尔 克尔纳 ;51;SD;Weary Stiffneck;High;M23144;x
23146;Head of Government;利奥波德 菲格尔 ;45;SC;Happy Amateur;High;M23045;x
23147;Head of Government;尤利乌斯 拉布 ;51;SC;Corporate Suit;Medium;M23004;x
23148;Minister of Armament;费迪南德 格拉夫 ;45;SC;Laissez Faires Capitalist;Medium;M23148;x
23149;Minister of Security;约瑟夫 盖勒 ;45;SC;Silent Lawyer;Low;M23149;x
23150;Minister of Security;奥托 查贝克 ;49;SC;Man of the People;Low;M23150;x
23151;Head of Military Intelligence;奥斯卡 黑尔默 ;45;ML;Dismal Enigma;High;M23151;x
23152;Foreign Minister;阿道夫 沙尔夫 ;45;SD;Biased Intellectual;Very High;M23022;x
23153;Head of State;恩格尔伯特·陶尔斐斯;36;FA;Resigned Generalissimo;High;M23153;x
23154;Chief of Staff;阿尔弗雷德;36;NS;School of Mass Combat;High;M_AUS_AlfredProksch;x
23155;Minister of Security;阿尔弗雷德;37;NS;Back Stabber;High;M_AUS_AlfredProksch;x
23156;Minister of Security;西奥多 哈比特;36;NS;Efficient Sociopath;Medium;M_AUS_TheodorHabicht;x
23157;Foreign Minister;DR.安东 特伦;33;FA;Biased Intellectual;High;M_AUS_ARintelen;x
23158;Head of Military Intelligence;DR.安东 特伦;36;FA;Political Specialist;High;M_AUS_ARintelen;x
