AZB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
516001;Head of State;尼扎姆 纳里马诺夫 ;36;LWR;Stern Imperialist;High;M516001;x
516002;Head of Government;法拉 古泽诺夫 ;36;LWR;Backroom Backstabber;High;M516002;x
516003;Foreign Minister;苏莱曼 鲁斯塔姆 ;36;LWR;The Cloak N Dagger Schemer;High;M516003;x
516004;Minister of Armament;伊利亚斯 阿凡迪耶夫 ;36;LWR;Theoretical Scientist;Medium;M516004;x
516005;Minister of Security;阿拉什 布尔布利 ;36;LWR;Compassionate Gentleman;Medium;M516005;x
516006;Head of Military Intelligence;拉苏尔 礼萨 ;36;LWR;Industrial Specialist;Medium;M516006;x
516007;Chief of Staff;马哈茂德 努里 贝尔克兹 ;36;LWR;School of Mass Combat;Medium;M516007;x
516008;Chief of Army;哈利勒 马梅多夫 ;36;LWR;Elastic Defence Doctrine;Medium;M516008;x
516009;Chief of Navy;坎比斯 克拉斯诺夏普卡 ;36;LWR;Open Seas Doctrine;High;M516009;x
516010;Chief of Air Force;古尔根 沃斯坎 卡马良 ;36;LWR;Air Superiority Doctrine;Medium;M516010;x
516011;Head of State;拉杰卜 库尔本齐安 ;36;ML;Barking Buffoon;High;M516011;x
516012;Head of Government;苏莱曼 鲁斯塔姆 ;36;SD;Smiling Oilman;High;M516003;x
516013;Head of Government;阿拉什 布尔布利 ;36;ML;Flamboyant Tough Guy;Medium;M516005;x
516014;Foreign Minister;哈斯拉塔姆 纳里马诺夫 ;36;LWR;General Staffer;High;M516014;x
516015;Foreign Minister;马马德 阿明 拉苏尔萨德 ;36;LWR;Biased Intellectual;High;M516015;x
516016;Foreign Minister;阿拉什 布尔布利 ;36;SD;Great Compromiser;Medium;M516005;x
516017;Foreign Minister;穆罕默德 拉赫曼 ;36;ML;Iron Fisted Brute;Medium;M516017;x
516018;Minister of Armament;迈赫迪 侯赛因 ;36;LWR;Tank Proponent;Medium;M516018;x
516019;Minister of Armament;博士. 马哈茂德 加斯巴拉塔姆 ;36;LWR;Laissez Faires Capitalist;Medium;M516019;x
516020;Minister of Armament;阿明 阿齐兹 ;36;LWR;Infantry Proponent;Medium;M516020;x
516021;Minister of Armament;拉杰卜 库尔本齐安 ;36;SD;Corrupt Kleptocrat;High;M516011;x
516022;Minister of Armament;伊斯梅尔 希哈利 ;36;ML;Military Entrepreneur;High;M516022;x
516023;Minister of Security;尼加尔 拉菲贝利 ;36;LWR;Crime Fighter;Medium;M516023;x
516024;Minister of Security;萨巴 拉赫曼 ;36;LWR;Silent Lawyer;Medium;M516024;x
516025;Minister of Security;拉苏尔 礼萨 ;36;SD;Man of the People;Medium;M516006;x
516026;Minister of Security;米尔扎 易卜拉希莫夫 ;36;ML;Back Stabber;Medium;M516026;x
516027;Head of Military Intelligence;纳里曼 纳里马诺夫 ;36;LWR;Naval Intelligence Specialist;Medium;M516027;x
516028;Head of Military Intelligence;苏尔塔诺夫 霍斯罗夫 埃布克 ;36;SD;Logistics Specialist;Medium;M516028;x
516029;Head of Military Intelligence;拉赫默德 阿齐兹巴约布 ;36;ML;Dismal Enigma;Medium;M516029;x
516030;Chief of Staff;萨梅德 贝 迈赫曼达罗夫 ;36;SD;School of Defence;Medium;M516030;x
516031;Chief of Staff;哈利勒 马梅多夫 ;36;ML;School of Fire Support;Medium;M516008;x
516032;Chief of Army;马哈茂德 努里 贝尔克兹 ;36;SD;Elastic Defence Doctrine;Medium;M516007;x
516033;Chief of Army;苏雷布 哈科普 加斯帕良 ;36;ML;Armoured Spearhead Doctrine;Medium;M516033;x
516034;Chief of Navy;萨梅德 贝 迈赫曼达罗夫 ;36;SD;Base Control Doctrine;High;M516030;x
516035;Chief of Navy;伊斯迈尔 马霍夫 ;36;ML;Indirect Approach Doctrine;High;M516035;x
516036;Chief of Air Force;坎比斯 克拉斯诺夏普卡 ;36;SD;Naval Aviation Doctrine;High;M516009;x
516037;Chief of Air Force;安德罗尼克 阿布拉姆 卡扎良 ;36;ML;Army Aviation Doctrine;High;M516037;x
