BEL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
15001;Head of State;利奥波德 三世 ;34;ML;Benevolent Gentleman;NA;M15001;x
15002;Head of Government;保罗 范 齐兰 ;30;ML;Silent Workhorse;NA;M15002;x
15003;Foreign Minister;保罗 范 齐兰 ;30;ML;Biased Intellectual;Very High;M15002;x
15004;Minister of Armament;阿尔伯特 德韦泽 ;30;ML;Laissez Faires Capitalist;Very High;M15004;x
15005;Minister of Security;欧仁 苏当 ;30;SL;Silent Lawyer;Very High;M15005;x
15006;Head of Military Intelligence;阿尔伯特 德韦泽 ;30;ML;Political Specialist;Very High;M15164;x
15007;Chief of Staff;奥斯卡 库蒙特 ;30;SC;School of Defence;Very High;M15007;x
15008;Chief of Army;维克托 范 斯特赖敦克 德 比克尔 ;30;SC;Static Defence Doctrine;Very High;M15008;x
15009;Chief of Navy;G. 蒂默曼斯 ;30;SC;Indirect Approach Doctrine;Very High;M15009;x
15010;Chief of Air Force;L F E 武泰 ;30;SC;Vertical Envelopment Doctrine;Very High;M15010;x
15030;Head of State;利奥波德 三世 ;36;NS;Benevolent Gentleman;NA;M15001;x
15031;Head of State;卡雷尔 ;44;ML;Benevolent Gentleman;NA;M15031;x
15032;Head of State;朱利恩 拉奥 ;45;ST;Ruthless Powermonger;NA;M15024;x
15034;Head of Government;保罗-亨利 斯帕克 ;36;SD;Ambitious Union Boss;NA;M15034;x
15035;Head of Government;利昂 德格雷尔 ;36;NS;Old General;NA;M15013;x
15036;Head of Government;保罗-埃米尔 杨松 ;37;ML;Silent Workhorse;NA;M15036;x
15037;Head of Government;胡贝特 皮埃洛 ;38;SC;Naive Optimist;NA;M15037;x
15038;Head of Government;卡米尔 海斯曼斯 ;39;SD;Happy Amateur;NA;M15038;x
15040;Head of Government;约瑟夫 雅克莫特 ;44;LE;Political Protege;NA;M15020;x
