BOS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
546001;Head of State;°¢Àï °£·ÒµÏ °¢¼ÓÅµÎ¬Ææ ;36;NS;Stern Imperialist;High;M546001;x
546002;Head of Government;ÄÂº±Ä¬µÂ °¢À­±´¸êÎ¬Ææ ;36;NS;Silent Workhorse;High;M546002;x
546003;Foreign Minister;°ÂË¹Âü ¿âÁĞÅµÎ¬Ææ ;36;NS;The Cloak N Dagger Schemer;High;M546003;x
546004;Minister of Armament;ÄÚÉ³µÂ ÍĞÆÕÆõÆæ ;36;NS;Air to Ground Proponent;Medium;M546004;x
546005;Minister of Security;ÄÂº±Ä¬µÂ ¹ş½Ü·ÒµÏÆæ ;36;NS;Crooked Kleptocrat;Medium;M546005;x
546006;Head of Military Intelligence;Ò×²·À­ĞÀ ·Ñ¿Ë ;36;NS;Political Specialist;Medium;M546006;x
546007;Chief of Staff;¹ş»ù¼Ó ¹ş½Ü¿Ë ;36;NS;School of Fire Support;Medium;M546007;x
546008;Chief of Army;µÏÎ÷µÏÀï¶òË¹ ººÅå¶û ;36;NS;Guns and Butter Doctrine;Medium;M546008;x
546009;Chief of Navy;Íß¶ûÌØ ½ğ²ß¶û ;36;NS;Decisive Naval Battle Doctrine;Medium;M546009;x
546010;Chief of Air Force;Ë¹À­ÎÖÃ×¶û ÍĞÃ×Ææ ;36;NS;Vertical Envelopment Doctrine;Medium;L46061;x
546011;Head of State;°£ÈøÌØ ÅÁÏÄ ÍĞÆÕËşÄá ;36;SC;Resigned Generalissimo;High;M546011;x
546012;Head of State;Ã×Ğª¶û ÓÈÍßÅµÎ¬Ææ ;36;LWR;Barking Buffoon;High;M20056;x
546013;Head of Government;°ÂË¹Âü ×ôÀÕ·Æ¿¨¶ûÅÁÏ£Ææ ;36;SC;Naive Optimist;High;M546013;x
546014;Head of Government;ÑÇÀúÉ½´ó À¼¿ÆÎ¬Ææ ;36;LWR;Political Protege;High;M20026;x
546015;Foreign Minister;ÄÂº±Ä¬µÂ ¿¨ÅåËşÅµÎ¬Ææ ;36;SC;Ideological Crusader;High;M546015;x
546016;Foreign Minister;ÄÂº±Ä¬µÂ ÕÜÂíÂ¬¶¡ ;42;SC;Apologetic Clerk;High;M546016;x
546017;Foreign Minister;ÒÁÎÖ Áø¼ª¿Ë ;36;LWR;Iron Fisted Brute;High;M546017;x
546018;Minister of Armament;°¢µÀ·ò Íß¸ñÄÉ ;41;NS;Battle Fleet Proponent;Medium;M546018;x
546019;Minister of Armament;°¢²·¶ÅÀ­ ÌØÀïÎÄÆæ¿Ë ;36;SC;Administrative Genius;Medium;M546019;x
546020;Minister of Armament;°¢Àï ÀûÍßµÏ¿Ë ;36;LWR;Infantry Proponent;Medium;M546020;x
546021;Minister of Armament;ÄáÑÇ×È ¶Å´ï¿ÆÎ¬Ææ ;41;LWR;Resource Industrialist;Medium;M546021;x
546022;Minister of Security;Ludwig Oehlhafen;41;NS;Crime Fighter;Medium;M546022;x
546023;Minister of Security;ËÕÀ³Âü °£·ÒµÏ ¿­ÄÂÀ­ ;36;SC;Silent Lawyer;Medium;M546023;x
546024;Minister of Security;Ğ»Àï·ò ±´¼ª¿Ë ;36;LWR;Efficient Sociopath;Medium;M546024;x
546025;Minister of Security;·ÑÏ£Ä· °£·ÒµÏ Ë¹ÅÁ»ô ;42;LWR;Compassionate Gentleman;Medium;M546025;x
546026;Head of Military Intelligence;°ÂÍĞ Äá²¨¶ûÌØ ;42;NS;Logistics Specialist;Medium;M546026;x
546027;Head of Military Intelligence;¹şÀïË¹ Ã·¶û´ïÅµÎ¬Ææ ;41;NS;Industrial Specialist;Medium;M546027;x
546028;Head of Military Intelligence;µÂÀ­Ôó¶÷ ËÕ°ÍÆæ¿Ë ;36;SC;Technical Specialist;Medium;M546028;x
546029;Head of Military Intelligence;°£Ã÷ »ô¼¾Ææ ;36;LWR;Dismal Enigma;Medium;M546029;x
546030;Chief of Staff;Ã×»ôÎ¬¶û ÎäÒÁÆõÆæ ;36;SC;School of Defence;Medium;M546030;x
546031;Chief of Staff;Ã×¹şÒÁÂå Â¬»ùÆæ ;36;LWR;School of Mass Combat;Medium;L46020;x
546032;Chief of Army;°£ÈøÌØ ÅÁÏÄ ÍĞÆÕËşÄá ;36;SC;Static Defence Doctrine;Medium;M546011;x
546033;Chief of Army;µÂÀ­Ôú Ã×¹şÒÁÂåÎ¬Ææ ;36;LWR;Elastic Defence Doctrine;Medium;M20012;x
546034;Chief of Navy;¶ÅÂŞ ÑÇ¿ËĞÁ ;36;SC;Indirect Approach Doctrine;High;L46044;x
546035;Chief of Navy;Ô¼ÉªÆÕ ²¼ÂŞ×È ;36;LWR;Base Control Doctrine;High;M20029;x
546036;Chief of Air Force;²¼À¼¿Æ è§ÄªÎ¬Ææ ;36;SC;Air Superiority Doctrine;Medium;L46056;x
546037;Chief of Air Force;Ô¼ÉªÆÕ ²¼ÂŞ×È ;36;LWR;Carpet Bombing Doctrine;Medium;M20028;x
