CSA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
573001;Head of State;肯普斯 朗伯爵  ;36;SC;Popular Figurehead;High;M573001;x
573002;Head of Government;理查德 韦伯斯特 莱什 ;36;SC;Naive Optimist;High;M573002;x
573003;Foreign Minister;兰塞姆 贾德 威廉斯 ;36;SC;Apologetic Clerk;High;M573003;x
573004;Minister of Armament;斯佩萨德 林赛 霍兰 ;36;SC;Air Superiority Proponent;Medium;M573004;x
573005;Minister of Security;保罗 伯尼 约翰逊爵士 ;36;SC;Silent Lawyer;Medium;M573005;x
573006;Head of Military Intelligence;罗伯特 G 谢里 ;36;SC;Industrial Specialist;Medium;M573006;x
573007;Chief of Staff;威廉 S 格雷夫斯 ;36;SC;School of Mass Combat;Medium;M573007;x
573008;Chief of Army;亨利 朱厄特 ;36;SC;Elastic Defence Doctrine;Medium;M573008;x
573009;Chief of Navy;爱德华 I 布尔内 ;36;SC;Indirect Approach Doctrine;Medium;M573009;x
573010;Chief of Air Force;肯尼思 瓦尔克 ;36;SC;Army Aviation Doctrine;Medium;M573010;x
573011;Foreign Minister;萨姆 休斯敦 琼斯 ;41;SC;The Cloak N Dagger Schemer;High;M573011;x
573012;Foreign Minister;克莱德 罗克 霍伊 ;42;SC;Biased Intellectual;High;M573012;x
573013;Foreign Minister;尤金 塔尔梅奇 ;42;SC;Iron Fisted Brute;High;M573013;x
573014;Foreign Minister;约翰 C B 埃林格豪斯 ;43;SC;General Staffer;High;M573014;x
573015;Foreign Minister;詹姆斯 休斯敦 戴维斯 ;45;SC;Ideological Crusader;High;M573015;x
573016;Foreign Minister;昌西 斯帕克斯 ;45;SC;Great Compromiser;High;M573016;x
573017;Minister of Armament;哈里 希尔 麦卡利斯特 ;37;SC;Infantry Proponent;Medium;M573017;x
573018;Minister of Armament;大卫 比布 格雷夫斯 ;37;SC;Laissez Faires Capitalist;Medium;M573018;x
573019;Minister of Armament;卡尔 贝利 ;38;SC;Strategic Air Proponent;Medium;M573019;x
573020;Minister of Armament;尤尼乌斯 M 富特雷尔 ;39;SC;Resource Industrialist;Medium;M573020;x
573021;Minister of Armament;科尔盖特 W 达登 吉尔. ;40;SC;Administrative Genius;Medium;M573021;x
573022;Minister of Armament;伯内特 雷特 梅班克 ;40;SC;Air to Ground Proponent;Medium;M573022;x
573023;Minister of Armament;弗雷德里克 普雷斯顿 科恩 ;41;SC;Air to Sea Proponent;Medium;M573023;x
573024;Minister of Armament;吉姆 南斯 麦科德 ;42;SC;Military Entrepreneur;Medium;M573024;x
573025;Minister of Armament;奥林 德威特 约翰斯顿 ;43;SC;Tank Proponent;Medium;M573025;x
573026;Minister of Armament;阿尔伯特 B 钱德勒 ;45;SC;Battle Fleet Proponent;Medium;M573026;x
573027;Minister of Armament;大卫 肖尔茨 ;46;SC;Submarine Proponent;Medium;M573027;x
