CUB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
33001;Head of State;若泽 巴尔内特-维纳格拉斯 ;36;ML;Insignificant Layman;High;M33001;x
33002;Head of Government;米格尔 戈麦斯-阿里亚斯 ;36;ML;Naive Optimist;High;M33002;x
33003;Foreign Minister;若泽 巴尔内特-维纳格拉斯 ;36;ML;Iron Fisted Brute;Medium;M33001;x
33004;Minister of Armament;卡洛斯 普里奥 ;36;ML;Administrative Genius;Low;M33004;x
33005;Minister of Security;塞尔焦 卡尔博 ;36;ML;Compassionate Gentleman;Medium;M33005;x
33006;Head of Military Intelligence;曼努埃尔 费拉拉 ;36;ML;Dismal Enigma;Medium;M33006;x
33007;Chief of Staff;朱利奥 桑吉利 ;36;ML;School of Defence;Medium;M33007;x
33008;Chief of Army;萨尔瓦多 卡斯塔涅达 卡斯特罗 ;36;ML;Elastic Defence Doctrine;Medium;M33008;x
33009;Chief of Navy;罗德里戈 A 芬特斯 ;36;ML;Open Seas Doctrine;Medium;M33009;x
33010;Chief of Air Force;多明戈 R 德尔 托罗 ;36;ML;Army Aviation Doctrine;High;M33010;x
33031;Head of State;米格尔 戈麦斯-阿里亚斯 ;36;ML;Benevolent Gentleman;High;M33002;x
33032;Head of State;杰拉尔多 马卡多 ;40;ML;Die-hard Reformer;High;M33032;x
33033;Head of State;费代里科 拉雷多 布吕 ;36;SD;Insignificant Layman;High;M33014;x
33034;Head of State;富尔亨西奥 巴蒂斯塔 ;40;SC;Resigned Generalissimo;High;M33034;x
33035;Head of State;拉蒙 格劳 圣 梅尔廷 ;44;PA;Popular Figurehead;High;M33011;x
33036;Head of State;胡安 马丁内斯-比列拉斯 ;36;LWR;Powerhungry Demagogue;High;M33021;x
33037;Head of State;卡洛斯 普里奥 ;44;LWR;Popular Figurehead;High;M33004;x
33038;Head of Government;杰拉尔多 马卡多 ;36;ML;Silent Workhorse;High;M33032;x
33039;Head of Government;爱德华多 奇瓦斯 ;40;ML;Political Protege;High;M33013;x
33040;Head of Government;欧金尼奥 莫利内 卡斯特罗 ;44;ML;Corporate Suit;High;M33040;x
33041;Head of Government;富尔亨西奥 巴蒂斯塔 ;36;SD;Old General;High;M33034;x
33042;Head of Government;卡洛斯 门迭塔 ;40;SC;Flamboyant Tough Guy;High;M33042;x
33043;Head of Government;富尔亨西奥 巴蒂斯塔 ;44;PA;Old General;High;M33034;x
33044;Head of Government;安东尼奥 G 霍尔梅斯 ;36;LWR;Naive Optimist;High;M33022;x
33045;Head of Government;若泽 伊里萨里 ;41;LWR;Political Protege;High;M33023;x
33046;Foreign Minister;乔治 路易斯 埃查尔特 ;36;ML;The Cloak N Dagger Schemer;High;M33046;x
33047;Foreign Minister;爱德华多 奇瓦斯 ;40;ML;Biased Intellectual;High;M33013;x
33048;Foreign Minister;卡洛斯 门迭塔 ;44;ML;Iron Fisted Brute;Medium;M33042;x
33049;Foreign Minister;若泽 曼努埃尔 科尔蒂纳 ;36;SD;The Cloak N Dagger Schemer;Medium;M33049;x
33050;Foreign Minister;胡安 雷莫斯-鲁比奥 ;37;SD;General Staffer;Medium;M33050;x
33051;Foreign Minister;米格尔 坎帕-卡拉韦达 ;39;SD;Ideological Crusader;Medium;M33051;x
33052;Foreign Minister;若泽 曼努埃尔 科尔蒂纳 ;40;SC;The Cloak N Dagger Schemer;Medium;M33049;x
33053;Foreign Minister;若泽 阿古斯丁 马丁内斯 ;42;SC;Biased Intellectual;Medium;M33053;x
33054;Foreign Minister;E. 圣地亚哥 桑托韦尼奥 ;43;SC;Iron Fisted Brute;Medium;M33054;x
33055;Foreign Minister;乔治 马尼亚奇 ;44;SC;Apologetic Clerk;Medium;M33055;x
33057;Foreign Minister;古斯塔沃 奎尔沃 鲁比奥 ;45;PA;Iron Fisted Brute;Medium;M33057;x
33058;Foreign Minister;阿尔贝托 伊诺森特 阿尔瓦雷兹 ;46;PA;Great Compromiser;Medium;M33058;x
33059;Foreign Minister;若泽 伊里萨里 ;36;LWR;Biased Intellectual;Very Low;M33023;x
33060;Foreign Minister;卡洛斯 普里奥 ;44;LWR;Great Compromiser;Medium;M33004;x
33061;Minister of Armament;埃塞基耶尔 加西亚 恩塞纳特 ;36;ML;Administrative Genius;Medium;M33061;x
33062;Minister of Armament;米格尔 戈麦斯-阿里亚斯 ;40;ML;Laissez Faires Capitalist;Medium;M33002;x
33063;Minister of Armament;爱德华多 奇瓦斯 ;44;ML;Theoretical Scientist;Low;M33013;x
33064;Minister of Armament;富尔亨西奥 巴蒂斯塔 ;36;SD;Corrupt Kleptocrat;Medium;M33034;x
33065;Minister of Armament;若泽 奥兰多 费雷尔 ;37;SD;Battle Fleet Proponent;Medium;M33065;x
33066;Minister of Armament;波菲里奥 弗兰卡 ;40;SC;Corrupt Kleptocrat;Medium;M33066;x
33067;Minister of Armament;费代里科 L 布鲁 ;41;SC;Infantry Proponent;Low;M33014;x
33068;Minister of Armament;A 德 阿圭罗-贝唐古 ;43;SC;Air to Ground Proponent;Medium;M33068;x
33069;Minister of Armament;曼努埃尔 费拉拉 ;44;PA;Corrupt Kleptocrat;Medium;M33006;x
33070;Minister of Armament;阿尔贝托 奥法利尔 ;46;PA;Administrative Genius;Medium;M33070;x
33071;Minister of Armament;卡洛斯 普里奥 ;36;LWR;Administrative Genius;High;M33004;x
33072;Minister of Armament;胡安 马丁内斯 比列拉斯 ;40;LWR;Submarine Proponent;Medium;M33021;x
33073;Minister of Armament;米格尔 坎帕-卡拉韦达 ;44;LWR;Air to Ground Proponent;Medium;M33051;x
33074;Minister of Security;欧金尼奥 莫利内 卡斯特罗 ;36;ML;Crooked Kleptocrat;Medium;M33040;x
33075;Minister of Security;杰拉尔多 马卡多 ;40;ML;Efficient Sociopath;Medium;M33032;x
33076;Minister of Security;卡洛斯 埃维亚 ;44;ML;Crime Fighter;High;M33015;x
33077;Minister of Security;P 德 热苏斯 康德利耶 ;36;SD;Back Stabber;Medium;M33077;x
33078;Minister of Security;A 奥德罗-加西亚 ;39;SD;Compassionate Gentleman;Medium;M33078;x
33079;Minister of Security;波菲里奥 弗兰卡 ;40;SC;Crooked Kleptocrat;Medium;M33066;x
33080;Minister of Security;C 德拉 托连特-佩拉萨 ;42;SC;Man of the People;Medium;M33080;x
33081;Minister of Security;吉耶尔莫 波特拉 ;43;SC;Back Stabber;Medium;M33081;x
33082;Minister of Security;富尔亨西奥 巴蒂斯塔 ;44;PA;Crooked Kleptocrat;High;M33034;x
