CYN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
501001;Head of State;ÁúÔÆ ;36;PA;Die-hard Reformer;High;M501001;x
501002;Head of Government;ÁúÔÆ ;36;PA;Political Protege;High;M501001;x
501003;Foreign Minister;ÖÜÖÁÈá ;36;PA;Apologetic Clerk;High;M501003;x
501004;Minister of Armament;ÁõÎÄ»Ô ;36;PA;Battle Fleet Proponent;Medium;M501004;x
501005;Minister of Security;¶¡ÖÎÅÍ ;36;PA;Crime Fighter;Medium;M501005;x
501006;Head of Military Intelligence;Ã×Ğ­Ãú ;36;PA;Political Specialist;Medium;M501006;x
501007;Chief of Staff;ÁúÔÆ ;36;PA;School of Psychology;Medium;M501001;x
501008;Chief of Army;ÁúÔÆ ;36;PA;Guns and Butter Doctrine;Medium;M501001;x
501009;Chief of Navy;Â¬ºº ;36;PA;Open Seas Doctrine;Medium;M501009;x
501010;Chief of Air Force;Â¬ºº ;36;PA;Carpet Bombing Doctrine;Medium;M501009;x
