ECU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
40001;Head of State;费代里科 派斯 奇里沃加 ;36;SL;Stern Imperialist;High;M40001;x
40002;Head of Government;费代里科 派斯 奇里沃加 ;36;SL;Flamboyant Tough Guy;High;M40001;x
40003;Foreign Minister;阿尔贝托 拉雷亚 奇里沃加 ;36;SL;Apologetic Clerk;Medium;M40003;x
40004;Minister of Armament;法比安 德尔 卡斯泰洛 ;36;SL;Laissez Faires Capitalist;Medium;M40004;x
40005;Minister of Security;达维德 弗洛雷斯 ;36;SL;Crime Fighter;Medium;M40005;x
40006;Head of Military Intelligence;奥雷利奥 莫斯克拉 纳瓦埃斯 ;36;SL;Logistics Specialist;Medium;M40006;x
40007;Chief of Staff;贝尼尼奥 安德拉德 弗洛雷斯 ;36;SL;School of Defence;Very Low;M40007;x
40008;Chief of Army;吉尔贝托 恩里克斯 加洛 ;36;SL;Decisive Battle Doctrine;Low;M40008;x
40009;Chief of Navy;胡安 拉蒙 卡斯特罗 ;36;SL;Open Seas Doctrine;Medium;M40009;x
40010;Chief of Air Force;科姆 雷内拉 巴尔巴托 ;36;SL;Army Aviation Doctrine;Medium;M40010;x
40031;Head of State;古斯塔沃 贝塞尔拉 帕斯 ;36;LWR;Insignificant Layman;High;M40021;x
40032;Head of State;恩里克 吉尔 吉尔伯特 ;40;LWR;Autocratic Charmer;High;M40023;x
40033;Head of State;若泽 马里亚 韦拉斯科 伊巴拉 ;41;SD;Benevolent Gentleman;High;M40033;x
40034;Head of State;卡米洛 蓬斯 恩里克斯 ;47;SD;Popular Figurehead;High;M40034;x
40035;Head of State;奥雷利奥 莫斯克拉 纳瓦埃斯 ;38;SL;Die-hard Reformer;High;M40006;x
40036;Head of State;安德烈斯 德 科尔多瓦 涅托 ;39;SL;Weary Stiffneck;High;M40036;x
40037;Head of State;安东尼奥 庞斯 坎普萨诺 ;44;SL;Autocratic Charmer;High;M40037;x
40038;Head of State;卡洛斯 阿罗塞梅纳 托拉 ;47;SL;Resigned Generalissimo;High;M40038;x
40039;Head of State;胡安 德 迪亚兹 梅拉 ;37;SC;Popular Figurehead;High;M40015;x
40040;Head of State;卡洛斯 阿罗约 德尔 里奥 ;41;SC;Powerhungry Demagogue;High;M40040;x
40041;Head of State;伊西德罗 阿约拉 奎瓦 ;45;SC;Barking Buffoon;High;M40041;x
40042;Head of State;卡洛斯 M. 拉雷亚 ;46;SC;Insignificant Layman;High;M40042;x
40043;Head of State;吉尔贝托 恩里克斯 加洛 ;37;PA;Resigned Generalissimo;High;M40008;x
40044;Head of State;曼努埃尔 博雷罗 冈萨雷斯 ;38;PA;Stern Imperialist;High;M40044;x
40045;Head of State;朱利奥 莫雷诺 佩尼亚埃雷拉 ;40;PA;Autocratic Charmer;High;M40045;x
40046;Head of State;贝尼尼奥 安德拉德 弗洛雷斯 ;41;PA;Resigned Generalissimo;High;M40007;x
40047;Head of State;朱利奥 萨莱姆 加莱戈斯 ;44;SD;Resigned Generalissimo;High;M40047;x
40048;Head of State;卡洛斯 曼切诺 卡亚斯 ;47;PA;Pig-headed Isolationist;High;M40048;x
40049;Head of Government;古斯塔沃 贝塞尔拉 帕斯 ;37;LWR;Ambitious Union Boss;High;M40021;x
40050;Head of Government;恩里克 吉尔 吉尔伯特 ;40;LWR;Political Protege;High;M40023;x
40051;Head of Government;若泽 马里亚 韦拉斯科 伊巴拉 ;41;SD;Ambitious Union Boss;High;M40033;x
40052;Head of Government;卡米洛 蓬斯 恩里克斯 ;47;SD;Corporate Suit;High;M40034;x
40053;Head of Government;奥雷利奥 莫斯克拉 纳瓦埃斯 ;38;SL;Backroom Backstabber;High;M40006;x
40054;Head of Government;安德烈斯 德 科尔多瓦 涅托 ;39;SL;Happy Amateur;High;M40036;x
40055;Head of Government;安东尼奥 庞斯 坎普萨诺 ;44;SL;Naive Optimist;High;M40037;x
40056;Head of Government;卡洛斯 阿罗塞梅纳 托拉 ;47;SL;Old Air Marshal;High;M40038;x
40057;Head of Government;胡安 德 迪亚兹 梅拉 ;37;SC;Corporate Suit;High;M40015;x
40058;Head of Government;卡洛斯 阿罗约 德尔 里奥 ;41;SC;Flamboyant Tough Guy;High;M40040;x
