ENG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
1001;Head of State;乔治五世 ;36;ML;Stern Imperialist;High;M1001;x
1002;Head of Government;斯坦利 鲍尔温 ;36;SC;Backroom Backstabber;High;M1002;x
1003;Foreign Minister;安东尼 艾登 ;36;SC;Ideological Crusader;Medium;M1003;x
1004;Minister of Armament;内维尔 张伯伦 ;36;SC;Laissez Faires Capitalist;High;M1004;x
1005;Minister of Security;约翰 西蒙 爵士 ;36;SC;Crime Fighter;High;M1005;x
1006;Head of Military Intelligence;休 辛克莱尔 爵士 ;36;SC;Logistics Specialist;Very High;M1006;x
1007;Chief of Staff;阿奇博尔德 蒙哥马利-马辛本特爵士 ;36;ML;School of Fire Support;Very High;M1007;x
1008;Chief of Army;阿奇博尔德 蒙哥马利-马辛本特爵士 ;36;ML;Static Defence Doctrine;Very High;M1007;x
1009;Chief of Navy;厄恩利 查特菲尔德 爵士 ;36;ML;Decisive Naval Battle Doctrine;High;M1009;x
1010;Chief of Air Force;欧文 博伊德 爵士 ;36;ML;Air Superiority Doctrine;High;M1010;x
1031;Head of State;爱德华八世 ;36;SC;Autocratic Charmer;High;M1011;x
1244;Head of State;爱德华八世 ;36;SD;Autocratic Charmer;High;M1011;x
1032;Head of State;爱德华八世 ;36;FA;Autocratic Charmer;High;M1011;x
1033;Head of State;乔治六世 ;36;SC;Benevolent Gentleman;High;M1033;x
1245;Head of State;乔治六世 ;36;SD;Benevolent Gentleman;High;M1033;x
1036;Head of State;安奈林 贝文 ;36;LWR;Pig-headed Isolationist;High;M1021;x
1037;Head of Government;内维尔 张伯伦 ;36;SC;Naive Optimist;High;M1004;x
1038;Head of Government;温斯顿 丘吉尔 ;36;SC;Flamboyant Tough Guy;High;M1038;x
1040;Head of Government;克莱门特 艾德礼 ;37;SD;Silent Workhorse;High;M1040;x
1042;Head of Government;奥斯瓦尔德 莫斯利 ;36;FA;Flamboyant Tough Guy;High;M1012;x
1043;Head of Government;哈里 波利特 ;36;LWR;Ambitious Union Boss;High;M1022;x
1045;Foreign Minister;哈利法克斯 勋爵 ;38;SC;Apologetic Clerk;Very High;M1045;x
1046;Foreign Minister;约翰 塞尔温 劳埃德 ;44;SC;Biased Intellectual;High;M1046;x
1047;Foreign Minister;埃内斯特 贝文 ;37;SD;The Cloak N Dagger Schemer;High;M1047;x
1048;Foreign Minister;赫伯特 莫里森 ;40;SD;Biased Intellectual;High;M1048;x
1049;Foreign Minister;威廉 乔伊斯 ;36;FA;General Staffer;Low;M1013;x
