EQA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
535001;Head of State;理查德 布吕诺 ;36;SL;Benevolent Gentleman;High;M534003;x
535002;Head of Government;巴泰勒米 博甘达 ;36;SL;Naive Optimist;High;M535002;x
535003;Foreign Minister;马克斯 德 马松 德 圣-费利克斯 ;36;SL;Apologetic Clerk;High;M535003;x
535004;Minister of Armament;安德烈 拉特里耶 ;36;SL;Theoretical Scientist;Medium;M533024;x
535005;Minister of Security;埃米尔 波索 ;36;SL;Efficient Sociopath;Medium;M535005;x
535006;Head of Military Intelligence;让 V L J 沙尔韦 ;36;SL;Industrial Specialist;Medium;M535006;x
535007;Chief of Staff;皮埃尔 德 圣-马尔特 ;36;SL;School of Fire Support;Medium;M535007;x
535008;Chief of Army;皮埃尔 德 圣-马尔特 ;36;SL;Armoured Spearhead Doctrine;Medium;M535007;x
535009;Chief of Navy;亨利 索托 ;36;SL;Open Seas Doctrine;Medium;M535009;x
535010;Chief of Air Force;詹姆斯 丹尼斯 ;36;SL;Air Superiority Doctrine;Medium;M535010;x
535011;Head of State;马克斯 德 马松 德 圣-费利克斯 ;36;SL;Powerhungry Demagogue;High;M535003;x
535012;Head of State;皮埃尔 德 圣-马尔特 ;39;SL;Resigned Generalissimo;High;M535007;x
535013;Head of State;安德烈 拉特里耶 ;42;SL;Stern Imperialist;High;M533024;x
535014;Head of State;亨利 索托 ;42;SL;Autocratic Charmer;High;M535009;x
535015;Head of State;让 V L J 沙尔韦 ;46;SL;Autocratic Charmer;High;M535006;x
535016;Head of State;大卫 达科 ;36;SC;Barking Buffoon;High;M535016;x
535017;Head of Government;让 贝德尔 博卡萨 ;36;SC;Old General;High;M535017;x
535018;Foreign Minister;保罗 阿珀特 ;42;SL;General Staffer;High;M535018;x
535019;Foreign Minister;马塞尔 沃米滕德 ;36;SC;The Cloak N Dagger Schemer;High;M535019;x
535020;Minister of Armament;艾梅 勒佩尔克 ;42;SL;Administrative Genius;Medium;M535020;x
535021;Minister of Armament;马塞勒斯 布里安德 ;36;SC;Resource Industrialist;Medium;M535021;x
535022;Minister of Security;费利克斯 勒克莱尔 ;41;SL;Silent Lawyer;Medium;M535022;x
535023;Minister of Security;阿尔伯特 伊多侯 ;36;SC;Back Stabber;Medium;M535023;x
535024;Head of Military Intelligence;埃德蒙 马让迪 ;43;SL;Logistics Specialist;Medium;M535024;x
535025;Head of Military Intelligence;保罗 阿珀特 ;36;SC;Political Specialist;Medium;M535018;x
535026;Chief of Staff;多米尼克 科塞约 ;36;SC;School of Defence;Medium;M535026;x
535027;Chief of Army;让 贝德尔 博卡萨 ;36;SC;Guns and Butter Doctrine;Medium;M535017;x
535028;Chief of Navy;海莱特 芒加尔 ;36;SC;Base Control Doctrine;Medium;M535028;x
535029;Chief of Air Force;埃内斯特 普鲁福斯特 ;42;SL;Army Aviation Doctrine;Medium;M535029;x
535030;Chief of Air Force;伊曼纽尔 巴金德里 ;36;SC;Naval Aviation Doctrine;Medium;M535030;x
