GUY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
562001;Head of State;戈登 J 莱瑟姆爵士 ;36;ML;Die-hard Reformer;High;M562001;x
562002;Head of Government;弗朗西斯 斯坦利 杰克逊爵士 ;36;ML;Happy Amateur;High;M562002;x
562003;Foreign Minister;杰弗里 斯坦福 诺思科特爵士 ;36;ML;Apologetic Clerk;High;M562003;x
562004;Minister of Armament;拉尔夫 阿尼克 格雷爵士 ;36;ML;Administrative Genius;Medium;M562004;x
562005;Minister of Security;查尔斯 坎贝尔 伍利 ;36;ML;Compassionate Gentleman;Medium;M562005;x
562006;Head of Military Intelligence;爱德华 F. 柯林伍德 ;36;ML;Industrial Specialist;Medium;M562006;x
562007;Chief of Staff;查尔斯 比克伍德 ;36;ML;School of Defence;Medium;M562007;x
562008;Chief of Army;弗雷德里克 奥古斯蒂斯 ;36;ML;Armoured Spearhead Doctrine;Medium;M562008;x
562009;Chief of Navy;H C 比奇洛 ;36;ML;Indirect Approach Doctrine;Medium;M562009;x
562010;Chief of Air Force;H F 伯内特 ;36;ML;Naval Aviation Doctrine;Medium;M562010;x
562011;Head of State;塞韦罗 马利特-普雷沃斯特 ;36;PA;Benevolent Gentleman;High;M562011;x
562012;Head of State;切迪 贾根博士 ;36;LWR;Popular Figurehead;High;M562012;x
562013;Head of Government;弗雷德里克 德勒古 ;36;PA;Corporate Suit;High;M562013;x
562014;Head of Government;福布斯 伯纳姆 ;36;LWR;Political Protege;High;M562014;x
562015;Foreign Minister;查尔斯 约瑟夫 洛吉亚 ;36;PA;The Cloak N Dagger Schemer;High;M562015;x
562016;Foreign Minister;拉斯雷 杰克逊 ;36;LWR;Great Compromiser;High;M562016;x
562017;Minister of Armament;莫里斯 戈登 ;36;PA;Resource Industrialist;Medium;M562017;x
562018;Minister of Armament;戈宾达 甘加博士 ;36;LWR;Theoretical Scientist;Medium;M562018;x
562019;Minister of Security;詹姆斯 克里斯蒂尔克 ;36;PA;Crime Fighter;Medium;M562019;x
562020;Minister of Security;利恩 詹姆斯 ;40;ML;Prince of Terror;Medium;M562020;x
562021;Minister of Security;维贝尔 帕瓦坦 ;36;LWR;Silent Lawyer;Medium;M562021;x
562022;Head of Military Intelligence;威廉 J 费瑟斯通 ;36;PA;Dismal Enigma;Medium;M562022;x
562023;Head of Military Intelligence;C L R 詹姆斯 ;36;LWR;Political Specialist;Medium;M562023;x
562024;Chief of Staff;C F 德鲁 ;36;PA;School of Psychology;Medium;L1111;x
562025;Chief of Staff;金斯利 福里斯特 ;36;LWR;School of Manoeuvre;Medium;M562025;x
562026;Chief of Army;H F L 希尔顿-格林 ;36;PA;Decisive Battle Doctrine;Medium;L1164;x
562027;Chief of Army;克里斯托弗 洛班 ;36;LWR;Guns and Butter Doctrine;Medium;M562027;x
562028;Chief of Navy;亨利 温斯洛 ;36;PA;Base Control Doctrine;Medium;M562028;x
562029;Chief of Navy;托马斯 麦克加里蒂 ;36;LWR;Power Projection Doctrine;Medium;M562029;x
562030;Chief of Air Force;莫蒂默 切斯伍德 ;36;PA;Army Aviation Doctrine;Medium;M562030;x
562031;Chief of Air Force;凯尔 莱特富特 ;36;LWR;Air Superiority Doctrine;Medium;M562031;x
