ICL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
581001;Head of State;斯温 比约恩松 ;36;SL;Stern Imperialist;High;M581001;x
581002;Head of Government;赫尔曼 约纳松 ;36;SL;Smiling Oilman;High;M581002;x
581003;Foreign Minister;奥拉维尔 索尔斯 ;36;ML;Ideological Crusader;High;M581003;x
581004;Minister of Armament;埃纳尔 索尔达松 ;36;SL;Infantry Proponent;Medium;M581004;x
581005;Minister of Security;克努兹 迪比 ;36;SL;Crime Fighter;Medium;M581005;x
581006;Head of Military Intelligence;斯特凡 J. 斯特凡森 ;36;SL;Political Specialist;Medium;M581006;x
581007;Chief of Staff;托基尔 松内 ;36;SL;School of Defence;Medium;M581007;x
581008;Chief of Army;瓦尔特 乌尔里希 ;36;SL;Guns and Butter Doctrine;Medium;M581008;x
581009;Chief of Navy;英瓦尔 保尔马松 ;36;SL;Indirect Approach Doctrine;Medium;M581009;x
581010;Chief of Air Force;雅各布 R.V. 默勒 ;36;SL;Air Superiority Doctrine;Medium;M581010;x
581011;Foreign Minister;斯特凡 J. 斯特凡森 ;42;SD;Great Compromiser;High;M581006;x
581012;Minister of Armament;英瓦尔 保尔马松 ;42;ML;Submarine Proponent;Medium;M581009;x
581013;Minister of Security;雅各布 R.V. 默勒 ;42;SL;Man of the People;Medium;M581010;x
581014;Head of Military Intelligence;约恩 F.T. 洛勒 ;42;SL;Naval Intelligence Specialist;Medium;M581014;x
581015;Chief of Staff;奥古斯特 阿伦德鲁普 ;42;SL;School of Mass Combat;Medium;M581015;x
581016;Chief of Army;凯 哈梅里希 ;42;SL;Decisive Battle Doctrine;Medium;M581016;x
581017;Chief of Navy;保罗 伊普森 ;42;SL;Open Seas Doctrine;Medium;M581017;x
581018;Chief of Air Force;阿斯格 E.V. 格朗让 ;42;SL;Naval Aviation Doctrine;Medium;M581018;x
581019;Head of State;阿斯格尔 阿斯格尔森 ;52;SL;Pig-headed Isolationist;High;M581019;x
581020;Head of Government;奥拉维尔 索尔斯 ;42;ML;Flamboyant Tough Guy;High;M581003;x
581021;Foreign Minister;维尔希奥米尔 托尔 ;42;SL;Apologetic Clerk;High;M581021;x
581022;Head of Government;斯特凡 J. 斯特凡森 ;44;SD;Ambitious Union Boss;High;M581006;x
581023;Minister of Armament;彼得 马格努森 ;44;ML;Submarine Proponent;Medium;M581023;x
581024;Minister of Security;芬尼尔 约恩松 ;44;ML;Back Stabber;Medium;M581024;x
581025;Head of Military Intelligence;英瓦尔 保尔马松 ;44;SL;Naval Intelligence Specialist;Medium;M581009;x
581026;Foreign Minister;比亚尼德 贝内迪克松 ;47;SD;Great Compromiser;High;M581026;x
581027;Minister of Armament;约翰 Th. 约瑟夫松 ;47;SD;Military Entrepreneur;Medium;M581027;x
581028;Minister of Security;比亚尼德 贝内迪克松 ;47;SD;Compassionate Gentleman;Medium;M581026;x
581029;Minister of Armament;比约恩 奥洛夫松 ;49;ML;Battle Fleet Proponent;Medium;M581029;x
581030;Head of Military Intelligence;斯泰因格里米尔 斯坦索尔森 ;49;SD;Industrial Specialist;Medium;M581030;x
581031;Head of Government;斯泰因格里米尔 斯坦索尔森 ;50;SD;Silent Workhorse;High;M581030;x
581032;Minister of Armament;埃斯泰因 约恩松 ;50;SD;Administrative Genius;Medium;M581032;x
581033;Foreign Minister;格维兹门迪尔 古德蒙松 ;53;ML;The Cloak N Dagger Schemer;High;M581033;x
581034;Minister of Security;埃纳尔 阿诺尔森 ;53;ML;Crime Fighter;Medium;M581034;x
