IDC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
543001;Head of State;±£´ó»ÊµÛ ÈîÓÀÈğ ;36;SL;Weary Stiffneck;High;M542001;x
543002;Head of Government;ÎâÍ¥ÑŞ ;36;SL;Political Protege;High;M542018;x
543003;Foreign Minister;ËÎ¶Å·¼ ;36;SL;Apologetic Clerk;High;M542003;x
543004;Minister of Armament;ÈîÎÄĞÄ ;36;SL;Resource Industrialist;Medium;M542004;x
543005;Minister of Security;ºúµÂÖĞ ;36;SL;Man of the People;Medium;M542005;x
543006;Head of Military Intelligence;³Â¼ÎÈğ ;36;SL;Naval Intelligence Specialist;Medium;M542032;x
543007;Chief of Staff;ÀèÈº ;36;SL;School of Fire Support;Medium;M542042;x
543008;Chief of Army;ÑîÎÄÃ÷ ;36;SL;Armoured Spearhead Doctrine;Medium;M542046;x
543009;Chief of Navy;ÈîÎÄÌü ;36;SL;Indirect Approach Doctrine;Medium;M542025;x
543010;Chief of Air Force;ÈîÎÄ´º ;36;SL;Carpet Bombing Doctrine;High;M542023;x
543011;Head of State;²¨¶û²¼ÌØ ;36;ST;Powerhungry Demagogue;High;M541014;x
543012;Head of State;ºúÖ¾Ã÷ ;36;LE;Ruthless Powermonger;High;M542012;x
543013;Head of State;ËÕ·¢Å¬·ë ;36;LWR;Die-hard Reformer;High;M540012;x
543014;Head of State;Î÷Ë÷Íß ÄªÄáÍú ±İÏÂ ;36;SD;Benevolent Gentleman;High;M541001;x
543015;Head of State;ÅµÂŞ¶Ø ËÕÀ­ÂíÀïÌØ ;36;ML;Barking Buffoon;High;M541012;x
543016;Head of State;Î÷ÈøÍú ·ë ;36;SC;Pig-headed Isolationist;High;M540001;x
543017;Head of State;Î÷Ë÷Íß ÄªÄáÅÓ ;36;PA;Popular Figurehead;High;M541003;x
543018;Head of State;Æô¶¨µÛ Èî¸£êÆ ;36;FA;Stern Imperialist;High;M542011;x
543019;Head of State;Î÷ÈøÍú Íß´ïÄÉ ;36;NS;Autocratic Charmer;High;M540011;x
543020;Head of Government;ÇÇÉ­ÅË ;36;ST;Smiling Oilman;High;M541022;x
543021;Head of Government;³¤Õ÷ ;36;LE;Backroom Backstabber;High;M542019;x
543022;Head of Government;¿²²¼À­¶Ø ÎÚÃ° ;36;LWR;Happy Amateur;High;M540019;x
543023;Head of Government;ÅµÂŞ¶Ø Î÷¹şÅ¬¿Ë Ç×Íõ ;36;SD;Old Admiral;High;M541011;x
543024;Head of Government;ËÎË« ;36;ML;Silent Workhorse;High;M541020;x
543025;Head of Government;ÅÁÑÅ¿²Ã° ;36;SC;Corporate Suit;High;M540003;x
543026;Head of Government;Î÷Ë÷Íß Ê©ÀïÂê´ï ;36;PA;Naive Optimist;High;M541021;x
543027;Head of Government;ÎâÍ¥ÑŞ ;36;FA;Flamboyant Tough Guy;High;M542018;x
543028;Head of Government;Åå²îÀ­ Âí¹şÎÚÅÁËş ;36;NS;Old General;High;M540008;x
543029;Foreign Minister;Ó¢ÈøÀû ;36;ST;The Cloak N Dagger Schemer;High;M541027;x
543030;Foreign Minister;·¶ÎÄÍ¬ ;36;LE;Ideological Crusader;High;M542024;x
543031;Foreign Minister;¿­É½ ·áÍşºº ;36;LWR;Iron Fisted Brute;High;M540020;x
543032;Foreign Minister;Î÷Ë÷Íß ÄªÄáÅÓ ;36;SD;Great Compromiser;High;M541003;x
543033;Foreign Minister;ÅËĞÁ ;36;ML;Biased Intellectual;High;M541025;x
543034;Foreign Minister;¿¨´ú ¶ØÈøË÷ÀïÌØ ;36;SC;The Cloak N Dagger Schemer;High;M540021;x
543035;Foreign Minister;¼ªÉ³ ³µ´ï ;36;PA;General Staffer;High;M541026;x
543036;Foreign Minister;ÈîÎÄ´º ;36;FA;Ideological Crusader;High;M542023;x
543037;Foreign Minister;ÎÄÎÌ ÄÉÕ¼°ÍÈû ;36;NS;Iron Fisted Brute;High;M540010;x
543038;Minister of Armament;Å©Ğ» ;36;ST;Corrupt Kleptocrat;Medium;M541033;x
543039;Minister of Armament;ÀèËñ ;36;LE;Military Entrepreneur;Medium;M542030;x
543040;Minister of Armament;ÎÄÎÌ ÄÉÕ¼°ÍÈû ;36;LWR;Infantry Proponent;High;M540010;x
543041;Minister of Armament;Î÷Ë÷Íß ÄªÄáÀÕ ;36;SD;Tank Proponent;Medium;M541004;x
543042;Minister of Armament;ÑîÉ­°² ;36;ML;Battle Fleet Proponent;Medium;M541031;x
543043;Minister of Armament;ËÕÍòÄÉÀ­ ;36;SC;Laissez Faires Capitalist;High;M540009;x
543044;Minister of Armament;ÅµÂŞ¶Ø ÅÁÅ¬ÎÌ ;36;PA;Submarine Proponent;Medium;M541032;x
543045;Minister of Armament;ÀèÎÄ»ô ;36;FA;Theoretical Scientist;Medium;M542027;x
543046;Minister of Armament;ËÕÍòÄÉÀ­ ;36;NS;Administrative Genius;Medium;M540009;x
543047;Minister of Security;²¨¶û²¼ÌØ ;36;ST;Efficient Sociopath;Medium;M541014;x
543048;Minister of Security;ÊÀÂÃ ;36;LE;Silent Lawyer;Medium;M542035;x
543049;Minister of Security;¿­É½ ·áÍşºº ;36;LWR;Prince of Terror;Medium;M540029;x
543050;Minister of Security;Î÷Ë÷Íß ÓÈµÂÍú ;36;SD;Compassionate Gentleman;Medium;M541005;x
543051;Minister of Security;Î÷Ë÷Íß ÄªÄáÀ­ ;36;ML;Crime Fighter;High;M541023;x
543052;Minister of Security;¹Å °¢ÅÉ ;36;SC;Crooked Kleptocrat;Medium;M540034;x
543053;Minister of Security;Èø¼ªÍß ÅûÂ× ;36;PA;Efficient Sociopath;Medium;M541037;x
543054;Minister of Security;ÎâÍ¥Èå ;36;FA;Silent Lawyer;Medium;M542033;x
543055;Minister of Security;Åå²îÀ­ Âí¹şÎÚÅÁËş ;36;NS;Prince of Terror;Medium;M540008;x
543056;Head of Military Intelligence;µÏ°à ;36;ST;Dismal Enigma;Medium;M541043;x
543057;Head of Military Intelligence;ÅË»ÔÀ¨ ;36;LE;Political Specialist;Medium;M542039;x
543058;Head of Military Intelligence;¿²²¼À­¶Ø ÎÚÃ° ;36;LWR;Technical Specialist;Medium;M540019;x
543059;Head of Military Intelligence;É½Óñ³É ;36;SD;Industrial Specialist;Medium;M541006;x
543060;Head of Military Intelligence;Î÷ÎÌ ;36;ML;Dismal Enigma;Medium;M541041;x
543061;Head of Military Intelligence;ÈøÍú ·ë ;36;SC;Political Specialist;Medium;M540037;x
543062;Head of Military Intelligence;Î÷Ë÷Íß ÓÈµÂÍú ;36;PA;Technical Specialist;Medium;M541005;x
543063;Head of Military Intelligence;·¶×æ¹ó ;36;FA;Industrial Specialist;Medium;M542038;x
543064;Head of Military Intelligence;Åà ÈøÄÉÄá¿Õ ;36;NS;Naval Intelligence Specialist;Medium;M540031;x
543065;Chief of Staff;½ğÍú ;36;ST;School of Mass Combat;Medium;M541047;x
543066;Chief of Staff;ÎäÔª¼× ;36;LE;School of Psychology;Medium;M542044;x
543067;Chief of Staff;Æ¤Ö¥ µ±Õ« ;36;LWR;School of Defence;Medium;M540035;x
543068;Chief of Staff;ÅµÂŞ¶Ø Î÷¹şÅ¬¿Ë ;36;SD;School of Manoeuvre;Medium;M541044;x
543069;Chief of Staff;´ºÁÖ ;36;ML;School of Mass Combat;Medium;M541045;x
543070;Chief of Staff;ËÕ·¢Å¬·ë ;36;SC;School of Psychology;Medium;M540041;x
543071;Chief of Staff;Î÷Ë÷Íß ÄªÄáÀÕ ;36;PA;School of Defence;Medium;M541046;x
543072;Chief of Staff;ÈîÓÑ¹È ;36;FA;School of Manoeuvre;Medium;M542043;x
543073;Chief of Staff;¹Å °¢ÅÉ ;36;NS;School of Fire Support;Medium;M540034;x
543074;Chief of Army;ËÎ³É ;36;ST;Guns and Butter Doctrine;Medium;M541051;x
543075;Chief of Army;ºúÖ¾Ã÷ ;36;LE;Elastic Defence Doctrine;Medium;M542047;x
543076;Chief of Army;Íõ±¦ ;36;LWR;Static Defence Doctrine;Medium;M540038;x
