IRQ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
91001;Head of State;加齐一世 伊本 费萨尔 ;30;SC;Autocratic Charmer;High;M91001;x
91002;Head of Government;亚辛 帕夏 阿尔 哈希米 ;30;SC;Naive Optimist;High;M91002;x
91003;Foreign Minister;努里 阿斯 赛义德 ;30;SC;General Staffer;Medium;M91003;x
91004;Minister of Armament;加齐一世 伊本 费萨尔 ;30;SC;Laissez Faires Capitalist;High;M91001;x
91005;Minister of Security;阿里 阿布恩 侯赛因 ;30;SC;Back Stabber;Medium;M91005;x
91006;Head of Military Intelligence;亚辛 帕夏 阿尔 哈希米 ;30;SC;Naval Intelligence Specialist;High;M91002;x
91007;Chief of Staff;贝克尔 西德奇 ;30;SC;School of Defence;Low;M91007;x
91008;Chief of Army;弗雷德里克 G 皮克 ;30;SC;Elastic Defence Doctrine;Medium;M91008;x
91009;Chief of Navy;A R H 奈 ;30;SC;Open Seas Doctrine;Medium;M91009;x
91010;Chief of Air Force;阿里 本 贾瓦德 ;30;SC;Air Superiority Doctrine;Medium;M91010;x
91031;Head of State;加齐一世 伊本 费萨尔 ;30;LWR;Autocratic Charmer;High;M91001;x
91033;Head of State;加齐一世 伊本 费萨尔 ;30;PA;Autocratic Charmer;High;M91001;x
91034;Head of State;加齐一世 伊本 费萨尔 ;30;FA;Autocratic Charmer;High;M91001;x
91035;Head of State;阿米尔 阿尔 伊拉 ;39;LWR;Stern Imperialist;High;M91035;x
91036;Head of State;阿米尔 阿尔 伊拉 ;39;SC;Stern Imperialist;High;M91035;x
91037;Head of State;阿米尔 阿尔 伊拉 ;39;PA;Stern Imperialist;High;M91035;x
91038;Head of State;阿米尔 阿尔 伊拉 ;39;FA;Stern Imperialist;High;M91035;x
91039;Head of State;费萨尔二世 伊本 加齐 ;46;LWR;Benevolent Gentleman;High;M91039;x
91041;Head of State;费萨尔二世 伊本 加齐 ;46;PA;Benevolent Gentleman;High;M91039;x
91042;Head of State;费萨尔二世 伊本 加齐 ;46;FA;Benevolent Gentleman;High;M91039;x
91043;Head of Government;穆萨 阿尔 阿拉米 ;30;SC;Silent Workhorse;High;M91043;x
91044;Head of Government;塔哈 帕夏 阿尔 哈希米 ;41;PA;Happy Amateur;High;M91044;x
91045;Head of Government;拉吉卜 纳沙希比 ;46;SC;Flamboyant Tough Guy;High;M91045;x
91046;Head of Government;阿扎姆 帕夏 ;30;PA;Old General;High;M91046;x
91047;Head of Government;贾米勒 阿尔 米德法伊 ;37;PA;Smiling Oilman;High;M91047;x
91048;Head of Government;努里 阿斯 赛义德 ;38;PA;Old General;High;M91003;x
91049;Head of Government;哈姆迪 阿尔 帕沙希 ;44;PA;Silent Workhorse;High;M91049;x
91050;Head of Government;萨利赫 贾布尔 ;47;PA;Political Protege;High;M91050;x
91051;Head of Government;福西 阿尔 考克吉 ;30;FA;Flamboyant Tough Guy;High;M91014;x
91052;Head of Government;拉希德 阿里 阿尔 盖拉尼 ;40;FA;Smiling Oilman;High;M91011;x
91053;Head of Government;哈吉 阿米尼 阿尔 侯赛尼 ;41;FA;Backroom Backstabber;High;M91013;x
91054;Head of Government;希克马特 苏莱曼 ;30;LWR;Naive Optimist;High;M91054;x
91055;Head of Government;叶海亚 哈姆德赫 ;40;LWR;Backroom Backstabber;High;M91021;x
91056;Head of Government;陶菲克 阿尔 苏韦迪 ;46;LWR;Ambitious Union Boss;High;M91056;x
91057;Head of Government;艾尔沙德 阿尔 奥马里 ;46;LWR;Happy Amateur;High;M91027;x
91058;Foreign Minister;拉吉卜 纳沙希比 ;30;SC;Biased Intellectual;Medium;M91045;x
91059;Foreign Minister;塔哈 帕夏 阿尔 哈希米 ;40;PA;Ideological Crusader;High;M91044;x
91060;Foreign Minister;穆萨 阿尔 阿拉米 ;41;SC;Great Compromiser;Low;M91043;x
91061;Foreign Minister;阿扎姆 帕夏 ;30;PA;Apologetic Clerk;Medium;M91046;x
91062;Foreign Minister;陶菲克 阿尔 苏韦迪 ;37;PA;Apologetic Clerk;Low;M91056;x
91064;Foreign Minister;阿里 乔达特 ;39;PA;The Cloak N Dagger Schemer;Medium;M91064;x
91065;Foreign Minister;贾米勒 阿尔 米德法伊 ;40;PA;Apologetic Clerk;Medium;M91047;x
91066;Foreign Minister;萨利赫 贾布尔 ;41;PA;Ideological Crusader;Medium;M91050;x
91067;Foreign Minister;阿布达拉 阿尔 达姆卢吉 ;42;PA;Iron Fisted Brute;Medium;M91067;x
91068;Foreign Minister;阿布德 阿尔 伊拉 阿尔 哈菲兹 ;42;PA;Great Compromiser;Medium;M91068;x
91069;Foreign Minister;纳斯拉特 阿尔 法里西 ;43;PA;Iron Fisted Brute;Medium;M91069;x
91070;Foreign Minister;塔赫辛 阿尔 阿斯卡里 ;43;PA;Ideological Crusader;Medium;M91070;x
91071;Foreign Minister;马哈茂德 苏比 阿尔 达夫塔利 ;43;PA;Apologetic Clerk;High;M91071;x
91072;Foreign Minister;艾尔沙德 阿尔 奥马里 ;44;PA;General Staffer;Low;M91027;x
91073;Foreign Minister;艾哈迈德 阿卜杜勒 巴基 ;46;PA;The Cloak N Dagger Schemer;Medium;M91073;x
91074;Foreign Minister;穆罕默德 法德尔佛马利 ;46;PA;Biased Intellectual;Medium;M91074;x
91075;Foreign Minister;拉希德 阿里 阿尔 盖拉尼 ;30;FA;The Cloak N Dagger Schemer;High;M91011;x
91076;Foreign Minister;阿里 马哈茂德 阿尔 谢克 ;40;FA;Great Compromiser;Medium;M91019;x
91077;Foreign Minister;哈吉 阿米尼 阿尔 侯赛尼 ;40;FA;Ideological Crusader;High;M91013;x
91078;Foreign Minister;穆萨 贝 阿尔 沙赫班达 ;41;FA;Biased Intellectual;Medium;M91078;x
91080;Foreign Minister;纳吉 阿尔 阿西尔 ;30;PA;Ideological Crusader;Medium;M91080;x
91081;Foreign Minister;希克马特 苏莱曼 ;30;PA;Great Compromiser;Medium;M91054;x
91082;Foreign Minister;陶菲克 阿尔 苏韦迪 ;46;LWR;Apologetic Clerk;Low;M91056;x
91083;Foreign Minister;阿里 蒙塔兹 ;46;LWR;General Staffer;Medium;M91083;x
91084;Foreign Minister;穆罕默德 法德尔佛马利 ;46;LWR;Biased Intellectual;Medium;M91074;x
91085;Foreign Minister;叶海亚 哈姆德赫 ;47;LWR;Iron Fisted Brute;High;M91021;x
91086;Minister of Armament;阿卜杜勒 拉蒂夫 萨拉赫 ;30;SC;Resource Industrialist;High;M91086;x
91087;Minister of Armament;穆萨 阿尔 阿拉米 ;41;SC;Laissez Faires Capitalist;High;M91043;x
91088;Minister of Armament;埃利 莫塞里 ;46;SC;Administrative Genius;Medium;M91088;x
91089;Minister of Armament;努里 阿斯 赛义德 ;30;PA;Infantry Proponent;Medium;M91003;x
91090;Minister of Armament;亚'古布 法拉杰 ;38;PA;Laissez Faires Capitalist;High;M91090;x
91091;Minister of Armament;贾米勒 阿尔 米德法伊 ;41;PA;Theoretical Scientist;Medium;M91047;x
91092;Minister of Armament;罗伯特 H. 布兰德 ;42;PA;Air to Ground Proponent;High;M91092;x
91093;Minister of Armament;贾迈勒 侯赛尼 ;43;PA;Air Superiority Proponent;High;M91093;x
91094;Minister of Armament;陶菲克 阿尔 苏韦迪 ;44;PA;Submarine Proponent;Low;M91056;x
91095;Minister of Armament;阿里 阿布恩 侯赛因 ;46;PA;Corrupt Kleptocrat;High;M91005;x
91096;Minister of Armament;阿卜杜拉 ;46;PA;Military Entrepreneur;Medium;M91028;x
91097;Minister of Armament;阿米尔 阿尔 贾赫德 ;30;FA;Military Entrepreneur;Medium;M91097;x
91098;Minister of Armament;叶海亚 阿尔 纳吉弗 ;37;FA;Submarine Proponent;Medium;M91098;x
91099;Minister of Armament;阿扎姆 帕夏 ;41;FA;Infantry Proponent;Medium;M91046;x
91100;Minister of Armament;福西 阿尔 考克吉 ;40;FA;Corrupt Kleptocrat;Medium;M91014;x
91101;Minister of Armament;哈立德 阿尔 达拉比 ;30;LWR;Theoretical Scientist;Medium;M91030;x
91102;Minister of Armament;安瓦尔 哈提卜 ;46;LWR;Strategic Air Proponent;Medium;M91024;x
91104;Minister of Security;吴拉姆 阿里 阿拉纳 ;40;SC;Compassionate Gentleman;Medium;M91104;x
91105;Minister of Security;拉吉卜 纳沙希比 ;46;SC;Crime Fighter;Medium;M91045;x
91106;Minister of Security;卡迈勒 埃雷卡特 ;30;PA;Crooked Kleptocrat;Medium;M91106;x
91107;Minister of Security;艾哈迈德 阿卜杜勒 巴基 ;37;PA;Man of the People;Medium;M91073;x
91108;Minister of Security;苏莱曼 阿尔 塔吉 ;39;PA;Prince of Terror;Medium;M91108;x
91109;Minister of Security;罗伯特 H. 布兰德 ;41;PA;Silent Lawyer;Medium;M91092;x
91110;Minister of Security;约翰 桑德森-哈尔达内 ;44;PA;Crime Fighter;Medium;M91110;x
91111;Minister of Security;努里 阿斯 赛义德 ;46;PA;Efficient Sociopath;Medium;M91003;x
91112;Minister of Security;贾米勒 阿尔 米德法伊 ;30;FA;Crooked Kleptocrat;Low;M91047;x
91113;Minister of Security;阿里 拉萨克 ;37;FA;Man of the People;Medium;M91113;x
91114;Minister of Security;艾哈迈德 阿米尔 巴迪 ;40;FA;Efficient Sociopath;Medium;M91114;x
91115;Minister of Security;拉希德 阿里 阿尔 盖拉尼 ;41;FA;Prince of Terror;High;M91011;x
91116;Minister of Security;哈吉 阿米尼 阿尔 侯赛尼 ;41;FA;Efficient Sociopath;High;M91013;x
91117;Minister of Security;安瓦尔 哈提卜 ;30;LWR;Man of the People;Medium;M91024;x
91118;Minister of Security;希克马特 苏莱曼 ;41;LWR;Compassionate Gentleman;Medium;M91054;x
91120;Head of Military Intelligence;穆罕默德 阿尔 阿齐尔 ;41;SC;Logistics Specialist;Medium;M91120;x
91121;Head of Military Intelligence;塔哈 帕夏 阿尔 哈希米 ;46;SC;Dismal Enigma;High;M91044;x
91122;Head of Military Intelligence;埃米尔 戈里 ;30;PA;Technical Specialist;Medium;M91122;x
91123;Head of Military Intelligence;贾米勒 阿尔 米德法伊 ;38;PA;Political Specialist;Medium;M91047;x
91124;Head of Military Intelligence;约翰 巴戈特 格拉布 ;41;PA;Logistics Specialist;Medium;M91124;x
91125;Head of Military Intelligence;约翰 桑德森-哈尔达内 ;41;PA;Dismal Enigma;Medium;M91110;x
91126;Head of Military Intelligence;弗朗西斯 P. 沃尔特斯 ;44;PA;Industrial Specialist;Medium;M91126;x
91127;Head of Military Intelligence;阿卜杜拉 ;45;PA;Political Specialist;Medium;M91028;x
91128;Head of Military Intelligence;努里 阿斯 赛义德 ;47;PA;Logistics Specialist;Medium;M91003;x
91129;Head of Military Intelligence;里法伊 阿尔 法德尔 ;30;FA;Political Specialist;Medium;M91129;x
91130;Head of Military Intelligence;拉希德 阿里 阿尔-盖拉尼 ;40;FA;Dismal Enigma;Medium;M91011;x
91131;Head of Military Intelligence;阿扎姆 帕夏 ;40;FA;Logistics Specialist;Medium;M91046;x
91132;Head of Military Intelligence;福西 阿尔 考克吉 ;46;FA;Industrial Specialist;Medium;M91014;x
91133;Head of Military Intelligence;塔哈 阿尔 阿马尼 ;30;LWR;Industrial Specialist;Medium;M91029;x
91134;Head of Military Intelligence;阿布达拉 蒙塔兹 ;40;LWR;Technical Specialist;Medium;M91026;x
91135;Head of Military Intelligence;苏莱曼 阿尔 塔吉 ;41;LWR;Political Specialist;Medium;M91108;x
91136;Head of Military Intelligence;里法伊 阿尔 法德尔 ;46;LWR;Dismal Enigma;Medium;M91129;x
91137;Chief of Staff;弗雷德里克 皮克 ;30;SC;School of Fire Support;Low;M91008;x
91138;Chief of Staff;约翰 巴戈特 格拉布 ;41;SC;School of Psychology;Low;M91124;x
91140;Chief of Staff;努里 阿斯-赛义德 ;37;PA;School of Mass Combat;Medium;M91003;x
91143;Chief of Staff;福西 阿尔 考克吉 ;30;FA;School of Fire Support;Medium;M91014;x
91144;Chief of Staff;贝克尔 西德奇 ;30;LWR;School of Defence;Low;M91007;x
91145;Chief of Staff;艾尔沙德 阿尔 奥马里 ;39;LWR;School of Fire Support;Medium;M91027;x
91147;Chief of Army;约翰 巴戈特 格拉布 ;46;PA;Decisive Battle Doctrine;High;M91124;x
91148;Chief of Army;加齐一世 伊本 费萨尔 ;30;PA;Guns and Butter Doctrine;High;M91001;x
91149;Chief of Army;努里 阿斯 赛义德 ;39;PA;Armoured Spearhead Doctrine;Medium;M91003;x
91151;Chief of Army;阿米尔 阿尔 伊拉 ;44;PA;Static Defence Doctrine;Medium;M91035;x
91152;Chief of Army;费萨尔二世 伊本 加齐 ;45;PA;Static Defence Doctrine;High;M91039;x
91153;Chief of Army;福西 阿尔 考克吉 ;30;FA;Static Defence Doctrine;Medium;M91014;x
91154;Chief of Army;阿卜杜拉 ;41;FA;Elastic Defence Doctrine;Medium;M91028;x
91155;Chief of Army;艾尔沙德 阿尔 奥马里 ;30;LWR;Guns and Butter Doctrine;Medium;M91027;x
91157;Chief of Navy;哈姆迪 阿尔 帕沙希 ;30;PA;Decisive Naval Battle Doctrine;Low;M91049;x
91159;Chief of Navy;贾米勒 阿尔 米德法伊 ;46;PA;Indirect Approach Doctrine;Medium;M91047;x
91160;Chief of Navy;阿里 马哈茂德 阿尔 谢克 ;30;FA;Indirect Approach Doctrine;Medium;M91019;x
91162;Chief of Navy;塔哈 阿尔 阿马尼 ;30;LWR;Decisive Naval Battle Doctrine;Medium;M91029;x
91164;Chief of Air Force;阿兰 罗林森 ;41;SC;Army Aviation Doctrine;Medium;M91164;x
91165;Chief of Air Force;阿米尔 阿尔 伊拉 ;30;PA;Air Superiority Doctrine;Medium;M91035;x
91166;Chief of Air Force;阿卜杜拉 阿尔-特尔 ;40;PA;Naval Aviation Doctrine;Medium;M91166;x
91168;Chief of Air Force;贾米勒 阿尔 米德法伊 ;44;PA;Carpet Bombing Doctrine;Medium;M91047;x
91169;Chief of Air Force;费萨尔二世 伊本 加齐 ;46;PA;Vertical Envelopment Doctrine;High;M91039;x
91170;Chief of Air Force;法赫米 萨'埃德 ;30;FA;Air Superiority Doctrine;Medium;M91020;x
91171;Chief of Air Force;哈立德 阿尔 达拉比 ;30;LWR;Vertical Envelopment Doctrine;Medium;M91030;x
91172;Head of State;拉希德 阿里 阿尔-盖拉尼 ;41;FA;Powerhungry Demagogue;High;M91011;x
91173;Chief of Navy;拉希德 阿里 阿尔-盖拉尼 ;46;FA;Power Projection Doctrine;Medium;M91011;x
91174;Head of Government;希克马特 苏莱曼 ;30;PA;Naive Optimist;High;M91054;x
91175;Head of Government;拉希德 阿里 阿尔 盖拉尼 ;40;PA;Smiling Oilman;High;M91011;x
91176;Head of Government;贾米勒 阿尔 米德法伊 ;41;PA;Smiling Oilman;High;M91047;x
91177;Head of Government;努里 阿斯 赛义德 ;41;PA;Ambitious Union Boss;High;M91003;x
91178;Head of Government;努里 阿斯 赛义德 ;46;PA;Flamboyant Tough Guy;High;M91003;x
91011;Head of State;拉希德 阿里 阿尔-盖拉尼 ;30;FA;Powerhungry Demagogue;High;M91011;x
91012;Head of Government;拉希德 阿里 阿尔-盖拉尼 ;30;FA;Smiling Oilman;High;M91011;x
91021;Head of State;叶海亚 哈姆德赫 ;30;ST;Barking Buffoon;High;M91021;x
91022;Head of Government;叶海亚 哈姆德赫 ;30;ST;Backroom Backstabber;High;M91021;x
91179;Head of Government;穆罕默德 阿斯 萨德尔 ;48;PA;Naive Optimist;High;M91179;x
91180;Head of Government;穆扎希姆 阿尔 巴亚基 ;48;SC;Corporate Suit;High;M91180;x
91181;Head of Government;阿里 乔达特 ;49;PA;Backroom Backstabber;High;M91064;x
91182;Head of Government;陶菲克 阿尔 苏韦迪 ;50;PA;Ambitious Union Boss;High;M91056;x
91183;Head of Government;努尔雷丁 马哈茂德 ;52;PA;Old General;High;M91183;x
91184;Head of Government;穆斯塔法 阿尔 奥马里 ;52;ML;Silent Workhorse;High;M91184;x
91185;Head of Government;穆罕默德 法迪勒 阿尔-贾迈利 ;53;SC;Happy Amateur;High;M91185;x
91186;Head of Military Intelligence;努尔雷丁 马哈茂德 ;45;PA;Logistics Specialist;Medium;M91183;x
91187;Head of State;费萨尔二世 伊本 加齐 ;46;SC;Benevolent Gentleman;High;M91039;x
91188;Chief of Staff;阿卜杜勒·拉赫曼·阿里夫;45;PA;School of Fire Support;High;M_IRQ_Abdul_Rahman_Arif;x
91189;Chief of Army;阿卜杜勒·拉赫曼·阿里夫;48;PA;Decisive Battle Doctrine;High;M_IRQ_Abdul_Rahman_Arif;x
