KOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
578001;Head of State;李承晚 ;36;SC;Autocratic Charmer;Medium;M578001;x
578002;Head of Government;金九 ;36;SC;Flamboyant Tough Guy;Medium;M578002;x
578003;Foreign Minister;金奎植 ;36;SC;Great Compromiser;Medium;M578003;x
578004;Minister of Armament;金昌淑 ;36;SC;Military Entrepreneur;Medium;M578004;x
578005;Minister of Security;曹晚植 ;36;SC;Prince of Terror;Medium;M578005;x
578006;Head of Military Intelligence;赵素昂 ;36;SC;Logistics Specialist;Medium;M578006;x
578007;Chief of Staff;蔡秉德 ;36;SC;School of Defence;Medium;M578007;x
578008;Chief of Army;李青天 ;36;SC;Elastic Defence Doctrine;Medium;M578008;x
578009;Chief of Navy;孙元一 ;36;SC;Decisive Naval Battle Doctrine;Medium;M578009;x
578010;Chief of Air Force;李范奭 ;36;SC;Army Aviation Doctrine;Medium;M578010;x
578011;Head of State;吕运亨 ;36;LWR;Weary Stiffneck;Medium;M578011;x
578012;Head of Government;朴宪永 ;36;LWR;Ambitious Union Boss;Medium;M578012;x
578013;Foreign Minister;金奎准 ;36;LWR;Apologetic Clerk;Medium;M578013;x
578014;Minister of Armament;李东辉 ;36;LWR;Infantry Proponent;Medium;M578014;x
578015;Minister of Security;李南硕 ;36;LWR;Efficient Sociopath;Medium;M578015;x
578016;Head of Military Intelligence;金昌奉 ;36;LWR;Technical Specialist;Medium;M578016;x
578017;Chief of Staff;池青天 ;36;LWR;School of Psychology;Medium;M578017;x
578018;Chief of Army;金元凤 ;36;LWR;Guns and Butter Doctrine;Medium;M578018;x
578019;Chief of Navy;郑东宙 ;36;LWR;Open Seas Doctrine;Medium;M578019;x
578020;Chief of Air Force;李悌淳 ;36;LWR;Naval Aviation Doctrine;Medium;M578020;x
578021;Minister of Armament;林恩寿 ;36;SC;Military Entrepreneur;Medium;M578021;x
578022;Minister of Security;白慈范 ;36;SC;Silent Lawyer;Medium;M578022;x
578023;Head of Military Intelligence;朴正熙 ;36;SC;Political Specialist;Medium;M578023;x
578024;Head of Government;李范奭 ;36;SC;Old Air Marshal;Medium;M578010;x
578025;Head of Government;申性模 ;50;SC;Happy Amateur;Medium;M578025;x
578026;Head of Government;张勉 ;50;SC;Silent Workhorse;Medium;M578026;x
578027;Head of Government;张泽相 ;52;SC;Corporate Suit;Medium;M578027;x
578028;Head of Government;白斗镇 ;52;SC;Backroom Backstabber;Medium;M578028;x
