LEB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
529001;Head of State;埃米尔 埃迪 ;30;SL;Pig-headed Isolationist;High;M529001;x
529002;Head of Government;阿尤布 萨比特 ;30;SL;Old General;High;M529002;x
529003;Foreign Minister;阿布达拉 阿列夫 阿尔-雅菲 ;40;SL;General Staffer;High;M529003;x
529004;Minister of Armament;阿尔弗雷德 纳卡切 ;30;SL;Air to Ground Proponent;Medium;M529004;x
529005;Minister of Security;哈立德 谢哈卜 ;40;SL;Prince of Terror;Medium;M529005;x
529006;Head of Military Intelligence;凯雷丁 阿尔-阿赫达卜 ;30;SL;Technical Specialist;Medium;M529006;x
529007;Chief of Staff;阿德里安 佩尔蒂埃 ;30;SL;School of Manoeuvre;Medium;M529007;x
529008;Chief of Army;阿尔弗雷德 卡佐 ;30;SL;Decisive Battle Doctrine;Medium;M529008;x
529009;Chief of Navy;阿希尔 佩雷蒂 ;30;SL;Power Projection Doctrine;Medium;M529009;x
529010;Chief of Air Force;亨利 苏拉 ;30;SL;Naval Aviation Doctrine;Medium;M529010;x
529011;Head of State;阿尔弗雷德 纳卡切 ;40;SC;Autocratic Charmer;High;M529004;x
529012;Head of State;萨阿德 阿尔-蒙拉 ;43;SL;Ruthless Powermonger;High;M529012;x
529013;Head of State;巴哈拉 阿尔-库利 ;36;SC;Barking Buffoon;High;M529013;x
529014;Head of State;查尔斯 达巴斯 ;36;PA;Die-hard Reformer;High;M529014;x
529015;Head of Government;凯雷丁 阿尔-阿赫达卜 ;37;SL;Naive Optimist;High;M529006;x
529016;Head of Government;哈立德 谢哈卜 ;40;ML;Political Protege;High;M529005;x
529017;Head of Government;阿布达拉 阿列夫 阿尔-雅菲 ;40;ML;Old Admiral;High;M529003;x
529018;Head of Government;阿卜杜拉 巴尤姆 ;39;SL;Silent Workhorse;High;M529018;x
529019;Head of Government;阿尔弗雷德 纳卡切 ;41;SL;Ambitious Union Boss;High;M529004;x
529020;Head of Government;艾哈迈德 达乌德 ;41;SL;Corporate Suit;High;M529020;x
