MAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
539001;Head of State;马塞尔 德 科佩 ;36;SL;Popular Figurehead;High;M538014;x
539002;Head of Government;奥斯瓦尔德 杜兰德 ;36;SL;Ambitious Union Boss;High;M533026;x
539003;Foreign Minister;费迪南德 J.L. 鲁吉耶 ;36;SL;Iron Fisted Brute;High;M539003;x
539004;Minister of Armament;皮埃尔 布瓦松 ;36;SL;Theoretical Scientist;Medium;M534010;x
539005;Minister of Security;马丁 凯拉 ;36;SL;Compassionate Gentleman;Medium;M539005;x
539006;Head of Military Intelligence;克里斯蒂安 莱格雷 ;36;SL;Logistics Specialist;Medium;M539006;x
539007;Chief of Staff;皮埃尔 查尔斯 库奈雷 ;36;SL;School of Fire Support;Medium;M534004;x
539008;Chief of Army;让-路易斯 贝里 ;36;SL;Guns and Butter Doctrine;Medium;M539008;x
539009;Chief of Navy;皮埃尔 蓬沙迪耶 ;36;SL;Open Seas Doctrine;Medium;M539009;x
539010;Chief of Air Force;亨利 图尔泰 ;36;SL;Vertical Envelopment Doctrine;Medium;M539010;x
539011;Head of State;利昂 凯拉 ;38;SL;Resigned Generalissimo;High;M538001;x
539012;Head of State;皮埃尔 布瓦松 ;40;SL;Powerhungry Demagogue;High;M534010;x
539013;Head of State;皮埃尔 查尔斯 库奈雷 ;43;SL;Insignificant Layman;High;M534004;x
539014;Head of State;勒内 V.M. 巴尔特斯 ;46;SL;Pig-headed Isolationist;High;M539014;x
539015;Head of State;马丁 凯拉 ;36;PA;Benevolent Gentleman;High;M539005;x
539016;Head of State;利奥波德 塞达尔 桑戈尔 ;36;LWR;Die-hard Reformer;High;M539016;x
539017;Head of Government;让-路易斯 贝里 ;38;SL;Naive Optimist;High;M539008;x
539018;Head of Government;克里斯蒂安 莱格雷 ;44;SL;Political Protege;High;M539006;x
539019;Head of Government;亨利 德 莫德维 ;45;SL;Corporate Suit;High;M533025;x
539020;Head of Government;费迪南德 J.L. 鲁吉耶 ;36;PA;Backroom Backstabber;High;M539003;x
539021;Head of Government;莫克塔 乌尔德 达达赫 ;36;LWR;Silent Workhorse;High;M539021;x
539022;Foreign Minister;让 德桑蒂 ;38;SL;Biased Intellectual;High;M539022;x
539023;Foreign Minister;奥古斯特 卡尔韦尔 ;42;SL;Apologetic Clerk;High;M539023;x
539024;Foreign Minister;让-路易斯 贝里 ;36;PA;General Staffer;High;M539008;x
539025;Foreign Minister;莫迪博 凯塔 ;36;LWR;Apologetic Clerk;High;M539025;x
539026;Minister of Armament;莫里斯 吉约多 ;39;SL;Tank Proponent;Medium;M539026;x
539027;Minister of Armament;利奥波德 塞达尔 桑戈尔 ;43;SL;Administrative Genius;Medium;M539016;x
539028;Minister of Armament;克里斯蒂安 莱格雷 ;36;PA;Air Superiority Proponent;Medium;M539006;x
539029;Minister of Armament;马马杜 迪亚 ;36;LWR;Battle Fleet Proponent;Medium;M539029;x
539030;Minister of Security;让 克洛埃特 德斯 佩斯鲁切斯 ;42;SL;Prince of Terror;Medium;M539030;x
539031;Minister of Security;保罗 里贝尔 ;45;SL;Efficient Sociopath;Medium;M539031;x
539032;Minister of Security;奥斯瓦尔德 杜兰德 ;36;PA;Back Stabber;Medium;M533026;x
539033;Minister of Security;菲利 达博 西索科 ;43;PA;Crime Fighter;Medium;M539033;x
539034;Minister of Security;马马杜 科纳特 ;36;LWR;Prince of Terror;Medium;M539034;x
539035;Head of Military Intelligence;勒内 V.M. 巴尔特斯 ;43;SL;Political Specialist;Medium;M539014;x
539036;Head of Military Intelligence;马丁 凯拉 ;36;PA;Dismal Enigma;Medium;M539005;x
539037;Head of Military Intelligence;奥瓦 凯塔 ;36;LWR;Industrial Specialist;Medium;M539037;x
539038;Chief of Staff;保罗 莫格兹 ;43;SL;School of Psychology;Medium;M539038;x
539039;Chief of Staff;利昂 凯拉 ;36;PA;School of Defence;Medium;M538001;x
539040;Chief of Staff;阿布达拉 苏马雷 ;36;LWR;School of Fire Support;Medium;M539040;x
539041;Chief of Army;艾梅 泰塞尔 ;42;SL;Decisive Battle Doctrine;Medium;M539041;x
539042;Chief of Army;亨利 维迪尔 ;36;PA;Static Defence Doctrine;Medium;M539042;x
539043;Chief of Army;亨利 罗尔-坦吉 ;36;LWR;Decisive Battle Doctrine;Medium;M539043;x
539044;Chief of Navy;让 德桑蒂 ;36;PA;Indirect Approach Doctrine;Medium;M539022;x
539045;Chief of Navy;奥斯曼 易卜拉欣 萨勒 ;36;LWR;Decisive Naval Battle Doctrine;Medium;M539045;x
539046;Chief of Air Force;伊夫 穆里耶 ;42;SL;Army Aviation Doctrine;Medium;M539046;x
539047;Chief of Air Force;奥古斯特 卡尔韦尔 ;36;PA;Naval Aviation Doctrine;Medium;M539023;x
539048;Chief of Air Force;奥马尔 乌塞努 ;36;LWR;Air Superiority Doctrine;Medium;M539048;x
