MAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
58001;Head of State;äßÒÇ ;36;FA;Popular Figurehead;High;M58001;x
58002;Head of Government;ÕÅ¾°»İ ;36;FA;Happy Amateur;High;M58002;x
58003;Foreign Minister;ÕÅ¾°»İ ;36;FA;Iron Fisted Brute;Medium;M58002;x
58004;Minister of Armament;ÀîÉÜ¸ı ;36;FA;Military Entrepreneur;Medium;M58004;x
58005;Minister of Security;½ğÃûÊÀ;36;FA;Back Stabber;Medium;M58005;x
58006;Head of Military Intelligence;´¨µº·¼×Ó ;36;FA;Political Specialist;Medium;M58006;x
58007;Chief of Staff;¼ªĞË ;36;FA;School of Defence;Medium;M58007;x
58008;Chief of Army;¼ªĞË ;36;FA;Static Defence Doctrine;Medium;M58007;x
58009;Chief of Navy;Ğ»¶û¸Ç À­Ã×ÇĞ·ò ;36;FA;Indirect Approach Doctrine;Medium;M58009;x
58010;Chief of Air Force;ºáÉ½ÕıĞÒ ;36;FA;Vertical Envelopment Doctrine;Medium;M58010;x
58012;Head of State;äßÒÇ ;41;NS;Popular Figurehead;High;M58001;x
58013;Head of State;äßÒÇ ;45;PA;Popular Figurehead;High;M58001;x
58014;Head of Government;Áõ·û³Ï ;37;FA;Naive Optimist;High;M58014;x
58015;Head of Government;ÓÚè¡³Î ;38;FA;Old General;High;M58015;x
58016;Head of Government;°²´ï·åÒ»ÀÉ ;41;NS;Silent Workhorse;High;M58016;x
58017;Head of Government;ËÉÉ½³£´ÎÀÉ ;43;NS;Happy Amateur;High;M58017;x
58018;Head of Government;ĞÂ¶É»§µ¾Ôì ;44;NS;Old Air Marshal;High;M58018;x
58019;Head of Government;³Â¹‚ ;45;PA;Happy Amateur;High;M58019;x
58020;Head of Government;ÖìÕ×İ· ;46;PA;Political Protege;High;M58020;x
58021;Foreign Minister;²ÌÔËÉı ;37;FA;Ideological Crusader;Medium;M58021;x
58022;Foreign Minister;±´×æÚ± ;38;FA;Great Compromiser;Medium;M58022;x
58023;Foreign Minister;·¹ÌïéªĞÛ ;41;NS;Iron Fisted Brute;Medium;M58023;x
58024;Foreign Minister;ÓÀ¾®ËÉÈı ;43;NS;Ideological Crusader;Medium;M58024;x
58025;Foreign Minister;ÀîÉÜ¸ı ;44;NS;Biased Intellectual;Medium;M58004;x
58026;Foreign Minister;»ÆŞ¥À¼ ;45;PA;The Cloak N Dagger Schemer;Very Low;M58026;x
58027;Foreign Minister;äßÒÇ ;46;PA;Great Compromiser;Very High;M58001;x
58028;Minister of Armament;Áõ·û³Ï ;37;FA;Battle Fleet Proponent;Medium;M58014;x
58029;Minister of Armament;Ê¯ºÚËÄÀÉ ;38;FA;Submarine Proponent;Medium;M58029;x
58030;Minister of Armament;½òµºÊÙÒ» ;41;NS;Laissez Faires Capitalist;Medium;M58030;x
58031;Minister of Armament;Ê¯¾®¾Õ´ÎÀÉ ;43;NS;Strategic Air Proponent;Medium;M58031;x
58032;Minister of Armament;Ä¿ºØÌïÖÖÌ«ÀÉ ;44;NS;Air to Ground Proponent;Medium;M58032;x
58033;Minister of Armament;¹ËÎ¬¾û ;45;PA;Corrupt Kleptocrat;Very Low;M58033;x
58034;Minister of Armament;ÂŞÇ®Òò;46;PA;Administrative Genius;Very High;M58034;x
58036;Minister of Security;Ö£Ø¹Ğã ;38;FA;Crime Fighter;Medium;M58036;x
58037;Minister of Security;°²´ï·åÒ»ÀÉ ;41;NS;Prince of Terror;Low;M58016;x
58038;Minister of Security;ÁÖÈ¨Öú ;43;NS;Crime Fighter;Low;M58038;x
58039;Minister of Security;ĞÂ¶É»§µ¾Ôì ;44;NS;Efficient Sociopath;Low;M58018;x
58040;Minister of Security;ÌÆÔÚ¸´ ;45;PA;Crooked Kleptocrat;Very Low;M58040;x
58041;Minister of Security;Îé³¯Êà ;46;PA;Man of the People;Very High;M58041;x
58042;Head of Military Intelligence;Íõ³è»İ ;37;FA;Naval Intelligence Specialist;Medium;M58042;x
58043;Head of Military Intelligence;ÓÚè¡³Î ;38;FA;Dismal Enigma;High;M58015;x
58044;Head of Military Intelligence;Õ«ÌÙ²© ;41;NS;Logistics Specialist;High;M58044;x
58045;Head of Military Intelligence;ËÉÉ½³£´ÎÀÉ ;43;NS;Industrial Specialist;Medium;M58017;x
58046;Head of Military Intelligence;Éî¾®Ó¢Îå ;44;NS;Dismal Enigma;Medium;M58046;x
