NZL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
55001;Head of State;高尔韦子爵 乔治 ;36;SD;Stern Imperialist;High;M55001;x
55002;Head of Government;迈克尔 约瑟夫 萨维奇 ;36;SD;Silent Workhorse;High;M55002;x
55003;Foreign Minister;迈克尔 约瑟夫 萨维奇 ;36;SD;Great Compromiser;Very High;M55002;x
55004;Minister of Armament;沃尔特 纳什 ;36;SD;Resource Industrialist;High;M55004;x
55005;Minister of Security;威廉 帕里 ;36;SD;Compassionate Gentleman;High;M55005;x
55006;Head of Military Intelligence;肯尼思 福尔克斯 ;36;SD;Dismal Enigma;Medium;M55006;x
55007;Chief of Staff;威廉 辛克莱尔-伯加斯 ;36;ML;School of Mass Combat;High;M55007;x
55008;Chief of Army;威廉 辛克莱尔-伯加斯 ;36;ML;Elastic Defence Doctrine;High;M55007;x
55009;Chief of Navy;E R 德兰蒙德 ;36;ML;Base Control Doctrine;High;M55009;x
55010;Chief of Air Force;R A 科克兰 ;36;ML;Air Superiority Doctrine;High;M55010;x
55032;Head of State;高尔韦子爵 乔治 ;36;SC;Stern Imperialist;High;M55001;x
55033;Head of State;纽沃尔男爵 诺顿·路易斯 ;41;SD;Autocratic Charmer;High;M55033;x
55034;Head of State;纽沃尔男爵 诺顿·路易斯 ;41;ML;Autocratic Charmer;High;M55033;x
55035;Head of State;弗赖伯格男爵 伯恩哈德 ;46;SD;Resigned Generalissimo;High;M55035;x
55036;Head of State;弗赖伯格男爵 伯恩哈德 ;46;ML;Resigned Generalissimo;High;M55035;x
55037;Head of Government;亚当 汉密尔顿 ;38;SC;Corporate Suit;High;M55037;x
55038;Head of Government;彼得 弗雷泽 ;40;SD;Political Protege;High;M55038;x
55039;Head of Government;西德尼 霍兰德 ;43;SC;Smiling Oilman;High;M55039;x
55040;Foreign Minister;弗兰克 兰格斯通 ;38;SD;Ideological Crusader;Low;M55040;x
55041;Foreign Minister;彼得 弗雷泽 ;40;SD;Biased Intellectual;Very High;M55038;x
55042;Foreign Minister;沃尔特 纳什 ;45;SD;Apologetic Clerk;High;M55004;x
55043;Foreign Minister;詹姆斯 艾伦 ;38;ML;Great Compromiser;Very High;M55043;x
55044;Foreign Minister;亚当 汉密尔顿 ;38;SC;Apologetic Clerk;Very High;M55037;x
55045;Foreign Minister;威廉 辛克莱尔-伯加斯 ;40;SC;General Staffer;High;M55007;x
55046;Foreign Minister;戈登 考特斯 ;42;SC;The Cloak N Dagger Schemer;High;M55046;x
55047;Foreign Minister;西德尼 霍兰德 ;43;SC;Great Compromiser;Very High;M55039;x
55048;Minister of Armament;丹 沙利文 ;36;SD;Resource Industrialist;High;M55048;x
55049;Minister of Armament;威廉 J 乔丹 ;39;SD;Laissez Faires Capitalist;High;M55049;x
55050;Minister of Armament;L M 伊斯特 ;39;SD;Air to Sea Proponent;High;M55050;x
55051;Minister of Armament;凯思 J 霍尔约克 ;44;SD;Military Entrepreneur;High;M55051;x
55052;Minister of Armament;W E 帕里 ;42;ML;Submarine Proponent;High;M55052;x
55053;Minister of Armament;R A 科克兰 ;36;SC;Air Superiority Proponent;High;M55010;x
55054;Minister of Armament;西德尼 霍兰德 ;38;SC;Laissez Faires Capitalist;High;M55039;x
55055;Minister of Armament;A 德特罗特 内维尔 ;39;SC;Strategic Air Proponent;High;M55055;x
55056;Minister of Armament;W H 斯特拉顿 ;39;SC;Air to Ground Proponent;High;M55056;x
55057;Minister of Armament;弗雷德里克 菲尔德 爵士 ;42;SC;Battle Fleet Proponent;High;M55057;x
55058;Minister of Armament;肯 麦肯齐 ;43;SC;Theoretical Scientist;High;M55058;x
55059;Minister of Armament;爱德华 帕迪克 ;44;SC;Infantry Proponent;High;M55059;x
55060;Minister of Armament;J E 杜根 ;45;SC;Tank Proponent;High;M55060;x
55061;Minister of Security;爱德华 布伦德尔 ;38;SD;Silent Lawyer;High;M55061;x
55062;Minister of Security;罗伯特 森普尔 ;40;SD;Man of the People;High;M55062;x
55063;Minister of Security;詹姆斯 艾伦 ;36;ML;Back Stabber;Very High;M55043;x
55064;Minister of Security;E R 德兰蒙德 ;43;ML;Efficient Sociopath;High;M55009;x
55065;Minister of Security;戈登 考特斯 ;38;SC;Silent Lawyer;High;M55046;x
55066;Minister of Security;亚当 汉密尔顿 ;39;SC;Crime Fighter;High;M55037;x
55067;Minister of Security;西德尼 霍兰德 ;42;SC;Prince of Terror;Very High;M55039;x
55068;Minister of Security;肯尼思 福尔克斯 ;45;SC;Compassionate Gentleman;Medium;M55006;x
55069;Head of Military Intelligence;雨果 费尔波特 ;38;SD;Logistics Specialist;High;M55069;x
55070;Head of Military Intelligence;汤姆 斯坦利 ;43;SD;Political Specialist;Low;M55021;x
55071;Head of Military Intelligence;亚当 汉密尔顿 ;37;SC;Dismal Enigma;High;M55037;x
55072;Head of Military Intelligence;肯 麦肯齐 ;39;SC;Industrial Specialist;High;M55058;x
55073;Head of Military Intelligence;E R 德兰蒙德 ;42;SC;Naval Intelligence Specialist;High;M55009;x
55074;Head of Military Intelligence;J E 杜根 ;42;SC;Technical Specialist;High;M55060;x
55075;Chief of Staff;J E 杜根 ;37;ML;School of Manoeuvre;High;M55060;x
55076;Chief of Staff;罗纳德 帕克 ;40;ML;School of Mass Combat;High;M55076;x
55077;Chief of Staff;爱德华 帕迪克 ;41;ML;School of Defence;High;M55059;x
55078;Chief of Staff;威廉 斯蒂文斯 ;42;ML;School of Fire Support;High;M55078;x
55079;Chief of Staff;N 威尔 ;46;ML;School of Psychology;High;M55079;x
55080;Chief of Army;诺里斯 斯蒂芬 法拉 ;37;ML;Elastic Defence Doctrine;High;M55080;x
55081;Chief of Army;J E 杜根 ;37;ML;Armoured Spearhead Doctrine;High;M55060;x
55082;Chief of Army;J C 尼古拉斯 ;40;ML;Static Defence Doctrine;High;M55082;x
55083;Chief of Army;爱德华 帕迪克 ;41;ML;Decisive Battle Doctrine;High;M55059;x
