PAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
95001;Head of State;阿莫迪奥 阿里亚斯 德拉马德里 ;36;ML;Autocratic Charmer;High;M95001;x
95002;Head of Government;阿莫迪奥 阿里亚斯 德拉马德里 ;36;ML;Corporate Suit;High;M95001;x
95003;Foreign Minister;纳尔奇索 加拉伊 迪亚兹 ;36;SL;Ideological Crusader;Medium;M95003;x
95004;Minister of Armament;丹尼尔 C 平松 ;36;ML;Laissez Faires Capitalist;Medium;M95004;x
95005;Minister of Security;伊格纳西奥 E 门多萨 ;36;SL;Back Stabber;Medium;M95005;x
95006;Head of Military Intelligence;埃塞克尔 费尔南德斯 延 ;36;ML;Dismal Enigma;Medium;M95006;x
95007;Chief of Staff;胡安 雷蒙 ;36;SL;School of Psychology;Medium;M95007;x
95008;Chief of Army;玻利瓦尔 比利亚里诺 ;36;ML;Guns and Butter Doctrine;Medium;M95008;x
95009;Chief of Navy;胡安 A 埃尔南斯 ;36;SL;Decisive Naval Battle Doctrine;Medium;M95009;x
95010;Chief of Air Force;胡安 雷蒙 ;36;ML;Naval Aviation Doctrine;Medium;M95007;x
95031;Head of State;胡安 德莫斯特内斯 阿罗塞玛纳 ;36;SC;Resigned Generalissimo;High;M95031;x
95032;Head of State;阿努尔福 阿里亚斯 德拉马德里 ;40;ML;Popular Figurehead;High;M95032;x
95033;Head of State;里卡尔多 德拉瓜迪亚 ;41;PA;Powerhungry Demagogue;High;M95013;x
95034;Head of State;阿努尔福 阿里亚斯 德拉马德里 ;45;SL;Autocratic Charmer;High;M95034;x
95035;Head of State;恩里克 希门尼斯 布林 ;46;PA;Stern Imperialist;High;M95035;x
95036;Head of Government;卡洛斯 扎瓦拉 ;36;SC;Old Admiral;High;M95036;x
95037;Head of Government;阿努尔福 阿里亚斯 德拉马德里 ;40;ML;Corporate Suit;High;M95032;x
95038;Head of Government;奥古斯托 萨穆埃尔 博伊德 ;41;PA;Ambitious Union Boss;High;M95038;x
95039;Head of Government;曼努埃尔 D 格拉纳多斯 ;45;SL;Silent Workhorse;High;M95039;x
95040;Head of Government;若泽 奥古斯丁 阿朗戈 ;46;PA;Political Protege;High;M95011;x
95041;Foreign Minister;劳尔 德鲁-加西亚 ;36;ML;Biased Intellectual;Medium;M95041;x
95042;Foreign Minister;若泽 勒菲弗 德拉奥萨 ;36;SC;Great Compromiser;Medium;M95042;x
95043;Foreign Minister;纳尔奇索 加拉伊 迪亚兹 ;38;PA;Apologetic Clerk;Medium;M95003;x
95044;Foreign Minister;胡安 德莫斯特内斯 阿罗塞玛纳 ;38;SC;The Cloak N Dagger Schemer;Medium;M95031;x
