PHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
50001;Head of State;曼努埃尔 奎松 ;36;SL;Die-hard Reformer;High;M50001;x
50002;Head of Government;塞尔焦 奥斯梅尼亚 ;36;SL;Silent Workhorse;High;M50002;x
50003;Foreign Minister;昆廷 帕雷德斯 ;36;SL;Apologetic Clerk;Low;M50003;x
50004;Minister of Armament;埃尔皮迪奥 奎里诺 ;36;SL;Laissez Faires Capitalist;Medium;M50004;x
50005;Minister of Security;乔斯 尤洛 ;36;SL;Compassionate Gentleman;Medium;M50005;x
50006;Head of Military Intelligence;贝尼托 N 埃布恩 ;36;SL;Logistics Specialist;High;M50006;x
50007;Chief of Staff;保利诺 桑托斯 ;36;SL;School of Psychology;Medium;M50007;x
50008;Chief of Army;莱昂西奥 S 塔恩 ;36;SL;Guns and Butter Doctrine;Very High;M50008;x
50009;Chief of Navy;圣地亚哥 努瓦尔 ;36;SL;Open Seas Doctrine;Medium;M50009;x
50010;Chief of Air Force;佩拉吉奥 克鲁茨 ;36;SL;Army Aviation Doctrine;Medium;M50010;x
50031;Head of State;埃尔皮迪奥 奎里诺 ;36;SC;Pig-headed Isolationist;High;M50004;x
50032;Head of State;埃米利奥 阿吉纳尔多 ;36;SD;Popular Figurehead;High;M50032;x
50033;Head of State;胡安 苏木隆 ;41;SD;Barking Buffoon;High;M50033;x
50034;Head of State;塞尔焦 奥斯梅尼亚 ;44;SL;Stern Imperialist;High;M50002;x
50035;Head of State;曼努埃尔 罗沙斯 ;45;SL;Resigned Generalissimo;High;M50035;x
50036;Head of Government;埃尔皮迪奥 奎里诺 ;36;SC;Silent Workhorse;High;M50004;x
50037;Head of Government;拉菲尔 利瓦纳格 ;36;SD;Political Protege;High;M50037;x
50038;Head of Government;胡安 苏木隆 ;41;SD;Happy Amateur;High;M50033;x
50039;Foreign Minister;曼努埃尔 奎松 ;37;SL;the cloak n dagger schemer;High;M50001;x
50040;Foreign Minister;华金 埃利萨尔德 ;38;SL;Great Compromiser;High;M50040;x
50041;Foreign Minister;塞尔焦 奥斯梅尼亚 ;39;SL;Iron Fisted Brute;Low;M50002;x
50042;Foreign Minister;曼努埃尔 夸德里诺 ;40;SL;Biased Intellectual;Very Low;M50042;x
50043;Foreign Minister;胡安 苏木隆 ;41;SD;Biased Intellectual;Medium;M50033;x
50044;Foreign Minister;埃尔皮迪奥 奎里诺 ;36;SC;Ideological Crusader;Medium;M50004;x
50045;Foreign Minister;费迪南德 马科斯 ;45;SC;Iron Fisted Brute;Medium;M50013;x
50046;Foreign Minister;埃米利奥 阿吉纳尔多 ;36;SD;Ideological Crusader;Medium;M50032;x
50047;Minister of Armament;安东尼奥 德 拉斯 阿拉斯 ;36;SL;Laissez Faires Capitalist;Low;M50014;x
50048;Minister of Armament;拉菲尔 利瓦纳格 ;36;SD;Submarine Proponent;Medium;M50037;x
50049;Minister of Armament;曼努埃尔 罗沙斯 ;38;SC;Air to Sea Proponent;Medium;M50035;x
50050;Minister of Armament;曼努埃尔 夸德里诺 ;41;SL;Corrupt Kleptocrat;Very Low;M50042;x
50051;Minister of Armament;塞拉芬 福斯托 ;41;SC;Administrative Genius;Medium;M50051;x
50052;Minister of Armament;卡洛斯 P 加西亚 ;41;SD;Battle Fleet Proponent;Medium;M50052;x
50053;Minister of Armament;若泽 G 大卫 ;42;SC;Resource Industrialist;Medium;M50053;x
50054;Minister of Armament;拉蒙 麦格赛赛 ;45;SC;Tank Proponent;Medium;M50054;x
50055;Minister of Armament;迪奥斯达多 P 马卡帕加尔 ;45;SD;Military Entrepreneur;Medium;M50055;x
50056;Minister of Security;帕尔多 德 塔韦拉 ;36;SD;Prince of Terror;Medium;M50056;x
50057;Minister of Security;莱昂西奥 S 塔恩 ;38;SL;Back Stabber;High;M50008;x
50058;Minister of Security;罗曼 阿波利纳里奥 ;39;SL;Man of the People;Medium;M50058;x
50059;Minister of Security;蒂拉诺 卡拉韦萨 ;40;SC;Efficient Sociopath;Low;M50059;x
50060;Minister of Security;泰奥菲洛 西松 ;41;SC;Compassionate Gentleman;Medium;M50060;x
50061;Minister of Security;乔斯 P 劳雷尔 ;41;SC;Silent Lawyer;Medium;M50061;x
50062;Minister of Security;若泽 M 克里索尔 ;42;SD;Crooked Kleptocrat;Low;M50062;x
50064;Minister of Security;阿尔贝托 拉莫斯 ;44;SL;Silent Lawyer;Medium;M50064;x
50065;Minister of Security;塞拉芬 福斯托 ;45;SC;Silent Lawyer;Medium;M50051;x
50066;Minister of Security;若泽 G 卢克班 ;45;SC;Efficient Sociopath;Medium;M50066;x
50067;Minister of Security;拉蒙 奎苏姆宾 ;45;SL;Man of the People;Medium;M50067;x
50068;Chief of Staff;巴西利奥 J 瓦尔德斯 ;39;SC;School of Defence;Low;M50017;x
50069;Chief of Staff;奥古斯托 尤拉多 ;44;SL;School of Mass Combat;Medium;M50069;x
50070;Chief of Staff;奎林托 P 埃万杰利斯塔 ;45;SL;School of Manoeuvre;High;M50070;x
50072;Chief of Army;贝尼托 N 埃布恩 ;37;SL;Decisive Battle Doctrine;High;M50006;x
50073;Chief of Army;维森特 P 利姆 ;39;SL;Elastic Defence Doctrine;Medium;M50073;x
50074;Chief of Army;埃拉克利奥 阿兰诺 ;44;SL;Armoured Spearhead Doctrine;High;M50074;x
50075;Chief of Army;马特奥 M. 卡平平 ;45;SL;Guns and Butter Doctrine;Medium;M50075;x
50076;Chief of Army;拉斐尔 亚兰多尼 ;46;SL;Guns and Butter Doctrine;Medium;M50076;x
50077;Head of Military Intelligence;詹姆斯 威尔逊 ;36;SL;Naval Intelligence Specialist;High;M50077;x
50078;Head of Military Intelligence;莱斯利 艾莱恩 惠勒 ;38;SL;Technical Specialist;High;M50078;x
50079;Head of Military Intelligence;菲德尔 塞贡多 ;39;SL;Logistics Specialist;High;M50079;x
50080;Head of Military Intelligence;贝尼尼奥 拉莫斯 ;42;SL;Political Specialist;Very Low;M50016;x
