PRU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
39001;Head of State;奥斯卡 贝纳维德 拉雷亚 ;36;PA;Resigned Generalissimo;High;M39001;x
39002;Head of Government;曼努埃尔 埃斯特班 罗德里格斯 ;36;PA;Old General;High;M39002;x
39003;Foreign Minister;阿尔贝托 乌略亚 索托马约 ;36;PA;Iron Fisted Brute;Medium;M39003;x
39004;Minister of Armament;埃内斯托 斯克罗思 ;36;PA;Battle Fleet Proponent;Medium;M39004;x
39005;Minister of Security;路易斯 桑切斯 塞罗 ;36;PA;Back Stabber;Medium;M39005;x
39006;Head of Military Intelligence;奥斯卡 吉拉尔迪 ;36;PA;Technical Specialist;Very Low;M39006;x
39007;Chief of Staff;古斯塔沃 希门尼斯 ;36;PA;School of Psychology;Medium;M39007;x
39008;Chief of Army;奥斯卡 贝纳维德 拉雷亚 ;36;PA;Static Defence Doctrine;Medium;M39001;x
39009;Chief of Navy;埃内斯托 斯克罗思 ;36;PA;Open Seas Doctrine;Medium;M39004;x
39010;Chief of Air Force;保罗 德 博迪兹 ;36;PA;Army Aviation Doctrine;Medium;M39010;x
39031;Head of State;奥斯卡 贝纳维德 拉雷亚 ;36;SC;Resigned Generalissimo;High;M39001;x
39032;Head of State;曼努埃尔 普拉多-乌加特切 ;39;SC;Autocratic Charmer;High;M39032;x
39033;Head of State;若泽 巴斯塔曼特-里韦罗 ;45;ML;Benevolent Gentleman;High;M39033;x
39034;Head of State;奥古斯托 莱吉亚 斯韦恩 ;36;LWR;Powerhungry Demagogue;High;M39034;x
39035;Head of State;雷纳尔多 比纳特亚 ;39;SD;Barking Buffoon;High;M39035;x
39036;Head of State;埃洛伊 G 乌雷塔 ;45;SD;Resigned Generalissimo;High;M39036;x
39037;Head of Government;埃内斯托 蒙塔涅 桑切斯 ;36;SC;Smiling Oilman;High;M39037;x
39038;Head of Government;奥古斯托 莱吉亚 斯韦恩 ;36;LWR;Happy Amateur;High;M39034;x
39039;Head of Government;阿道夫 佐尔夫-穆罗 ;39;SC;Naive Optimist;High;M39039;x
