SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
70001;Head of State;克拉伦登勋爵 G H H 威利尔斯 ;36;ML;Stern Imperialist;high;M70001;x
70002;Head of Government;詹姆斯 赫尔佐格 ;36;ML;Old General;high;M70002;x
70003;Foreign Minister;詹姆斯 赫尔佐格 ;36;ML;General Staffer;high;M70002;x
70004;Minister of Armament;尼古拉斯 哈文加 ;36;ML;Laissez Faires Capitalist;high;M70004;x
70005;Minister of Security;扬 C 史末资 ;36;ML;Man of the People;high;M70005;x
70006;Head of Military Intelligence;扬 C 史末资 ;36;ML;Logistics Specialist;high;M70005;x
70007;Chief of Staff;皮埃尔 范 莱茵维尔 ;36;ML;School of Manoeuvre;high;M70007;x
70008;Chief of Army;扬 C 史末资 ;36;ML;Armoured Spearhead Doctrine;high;M70005;x
70009;Chief of Navy;皮埃尔 奥利弗-科诺尔 ;36;ML;Open Seas Doctrine;high;M70009;x
70010;Chief of Air Force;皮埃尔 范 莱茵维尔 ;36;ML;Air Superiority Doctrine;high;M70007;x
70022;Head of State;克拉伦登勋爵 G H H 威利尔斯 ;36;SC;Stern Imperialist;high;M70001;x
70023;Head of State;帕特里克 邓肯 爵士 ;37;ML;Autocratic Charmer;high;M70023;x
70024;Head of State;帕特里克 邓肯 爵士 ;37;SC;Autocratic Charmer;high;M70023;x
70025;Head of State;尼古拉斯 J 德万特 ;43;SC;Insignificant Layman;high;M70025;x
70026;Head of State;尼古拉斯 J 德万特 ;43;ML;Insignificant Layman;high;M70025;x
70027;Head of State;基甸 B 范 左尔 ;47;ML;Pig-headed Isolationist;high;M70027;x
70028;Head of State;基甸 B 范 左尔 ;47;SC;Pig-headed Isolationist;high;M70027;x
70029;Head of Government;D F 马伦 ;36;SC;Flamboyant Tough Guy;high;M70029;x
70030;Head of Government;扬 C 史末资 ;38;ML;Backroom Backstabber;high;M70005;x
70031;Foreign Minister;格尔特 克龙耶 ;36;PA;Iron Fisted Brute;high;M70031;x
70032;Foreign Minister;埃里克 H  拉尔文 ;36;SC;Biased Intellectual;high;M70032;x
70033;Foreign Minister;雷金纳德 布兰克伯格 ;37;SC;Biased Intellectual;high;M70033;x
70034;Foreign Minister;格雷厄姆 波斯纳 ;38;ML;Apologetic Clerk;high;M70034;x
70035;Foreign Minister;扬 C 史末资 ;38;ML;Ideological Crusader;high;M70005;x
70036;Foreign Minister;E G 简森 ;41;ML;Great Compromiser;high;M70036;x
70037;Foreign Minister;皮埃尔 范 莱茵维尔 ;41;SC;General Staffer;high;M70007;x
70038;Foreign Minister;L J 杜 普莱西斯 ;43;PA;Ideological Crusader;high;M70013;x
70039;Foreign Minister;D F 马伦 ;43;SC;The Cloak N Dagger Schemer;high;M70029;x
70040;Minister of Armament;C 德 温伯格 杜托特 ;36;PA;Tank Proponent;high;M70015;x
70041;Minister of Armament;J G 斯特里基多姆 ;37;PA;Resource Industrialist;high;M70041;x
70042;Minister of Armament;詹姆斯 赫尔佐格 ;38;ML;Infantry Proponent;high;M70002;x
70043;Minister of Armament;S P 勒 罗克斯 ;38;ML;Administrative Genius;high;M70043;x
70045;Minister of Armament;H J 范 德尔 波约 ;39;ML;Theoretical Scientist;high;M70045;x
70046;Minister of Armament;W E 马德利 ;39;ML;Administrative Genius;high;M70046;x
70047;Minister of Armament;阿道夫 马伦 ;40;ML;Air to Ground Proponent;high;M70047;x
70048;Minister of Armament;查尔斯 T 特 沃特 ;41;ML;Resource Industrialist;high;M70048;x
70049;Minister of Armament;奥斯瓦德 皮洛 ;41;PA;Military Entrepreneur;high;M70014;x
70050;Minister of Armament;戈尼列斯 范 戈尼列斯 ;42;SC;Submarine Proponent;high;M70050;x
70051;Minister of Armament;皮埃尔 奥利弗-科诺尔 ;43;SC;Battle Fleet Proponent;high;M70009;x
70052;Minister of Armament;P O 绍尔 ;43;SC;Laissez Faires Capitalist;high;M70052;x
70053;Minister of Armament;马力诺斯 范 奥斯特克普 ;45;SC;Air to Sea Proponent;high;M70053;x
70055;Minister of Security;亨德利 F 维活德 ;36;SC;Prince of Terror;high;M70055;x
70056;Minister of Security;N J 范 德尔 莫维 ;36;SC;Compassionate Gentleman;high;M70056;x
70057;Minister of Security;C R 斯沃特 ;37;SC;Silent Lawyer;high;M70057;x
