SLV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
545001;Head of State;埃德勒 冯 霍斯普达兹 ;36;PA;Resigned Generalissimo;high;M545001;x
545002;Head of Government;拉迪斯劳斯 格鲁斯 ;36;PA;Political Protege;high;M545002;x
545003;Foreign Minister;采内 费尔霍尼克 ;36;PA;Great Compromiser;high;M545003;x
545004;Minister of Armament;丹科 乌尔舍克 ;36;PA;Military Entrepreneur;high;M545004;x
545005;Minister of Security;米兰 莱克斯 ;36;PA;Crime Fighter;high;M545005;x
545006;Head of Military Intelligence;尼科 克雷费尔 ;36;PA;Dismal Enigma;high;M545006;x
545007;Chief of Staff;蒂瓦多尔 施通普卡 ;36;PA;School of Defence;high;M545007;x
545008;Chief of Army;约瑟夫 克韦什 ;36;PA;Elastic Defence Doctrine;Medium;M545008;x
545009;Chief of Navy;弗里德里克 洪贝特 ;36;PA;Open Seas Doctrine;Medium;M545009;x
545010;Chief of Air Force;古斯塔夫 卡萨蒂 ;36;PA;Vertical Envelopment Doctrine;Medium;M545010;x
545011;Head of State;亚瑟 冯 斯特劳森堡 ;36;SC;Die-hard Reformer;high;M545011;x
545012;Head of State;阿莱斯 祖潘契奇 ;36;LE;Benevolent Gentleman;high;M545012;x
545013;Head of Government;埃米尔 冯 布拉瑟尔 ;36;SC;Silent Workhorse;high;M545013;x
545014;Head of Government;巴托洛梅 瓦茨克 ;36;LE;Ambitious Union Boss;high;M545014;x
545015;Foreign Minister;斯韦托 赫伦 ;41;PA;Biased Intellectual;high;M545015;x
545016;Foreign Minister;伊兹托克 普雷特纳 ;36;SC;Iron Fisted Brute;high;M545016;x
545017;Foreign Minister;爱德华 特鲁巴尔 ;36;LE;Ideological Crusader;high;M545017;x
545018;Minister of Armament;日瓦丁 科达马兹 ;42;PA;Laissez Faires Capitalist;Medium;M545018;x
545019;Minister of Armament;尤利亚 欧伦德克 ;36;SC;Administrative Genius;Medium;M545019;x
545020;Minister of Armament;加斯帕 索尔克 ;36;LE;Theoretical Scientist;Medium;M545020;x
545021;Minister of Armament;托马斯 格尔拜斯 ;42;LE;Strategic Air Proponent;Medium;M545021;x
545022;Minister of Security;卡雷尔 努内特 ;36;SC;Prince of Terror;Medium;M545022;x
545023;Minister of Security;胡戈 里比奇 ;36;LE;Efficient Sociopath;Medium;M545023;x
