SOM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
575001;Head of State;鲁道夫 格拉齐亚尼 ;36;FA;Insignificant Layman;High;L6084;x
575002;Head of Government;鲁杰罗 圣蒂尼 ;36;FA;Old Air Marshal;High;L6232;x
575003;Foreign Minister;恩里科 马丁尼 ;36;FA;Ideological Crusader;High;M575003;x
575004;Minister of Armament;乔瓦尼 福尔纳里 ;36;FA;Military Entrepreneur;Medium;M575004;x
575005;Minister of Security;卡洛 德 西莫内 ;36;FA;Back Stabber;Medium;L6058;x
575006;Head of Military Intelligence;古斯塔沃 佩森蒂 ;36;FA;Dismal Enigma;Medium;M575006;x
575007;Chief of Staff;拉法埃莱 奥兰多 ;36;PA;School of Fire Support;Medium;L6111;x
575008;Chief of Army;费代里科 罗梅罗 ;36;PA;Elastic Defence Doctrine;Medium;L6127;x
575009;Chief of Navy;洛伦佐 加斯帕里 ;36;PA;Decisive Naval Battle Doctrine;Medium;L6171;x
575010;Chief of Air Force;埃内斯托 迪 费罗 ;36;PA;Naval Aviation Doctrine;Medium;L6206;x
575011;Head of State;阿卜杜拉希 伊萨 马哈茂德 ;44;SC;Popular Figurehead;High;M575011;x
575012;Head of State;亚瑟 劳伦斯爵士 ;39;SL;Barking Buffoon;High;M575012;x
575013;Head of Government;赫伯特 派克-皮斯 ;39;SL;Political Protege;High;M575013;x
575014;Foreign Minister;恩里科 安泽洛蒂 ;44;SC;The Cloak N Dagger Schemer;High;M575014;x
575015;Foreign Minister;道格拉斯 哈尔爵士 ;39;SL;Great Compromiser;High;M575015;x
575016;Foreign Minister;穆罕默德 哈吉 埃加勒 ;45;SL;Iron Fisted Brute;High;M575016;x
575017;Minister of Armament;格雷姆 辛克莱-洛克哈特 ;39;SL;Resource Industrialist;Medium;M575017;x
575018;Minister of Armament;贾巴尔 巴卡 ;45;SL;Tank Proponent;Medium;M575018;x
575019;Minister of Security;莱斯利 桑福德 ;39;SL;Crime Fighter;Medium;M575019;x
575020;Minister of Security;拉希德 阿里 舍马克博士 ;45;SL;Compassionate Gentleman;Medium;M575020;x
575021;Head of Military Intelligence;弗朗切斯科 卡罗塞利 ;44;SC;Political Specialist;Medium;M575021;x
575022;Head of Military Intelligence;亨利 E 菲查伦-霍华德 ;39;SL;Logistics Specialist;Medium;M575022;x
575023;Head of Military Intelligence;格拉尔德 菲舍尔 ;44;SL;Industrial Specialist;Medium;M575023;x
575024;Chief of Staff;A L W 索姆斯 ;39;SL;School of Manoeuvre;Medium;L1283;x
575025;Chief of Army;理查德 麦克里里 ;39;SL;Armoured Spearhead Doctrine;Medium;L1216;x
575026;Chief of Army;穆罕默德 西亚德 巴雷 ;45;SL;Guns and Butter Doctrine;Medium;M575026;x
575027;Chief of Navy;哈罗德 伯勒 ;39;SL;Indirect Approach Doctrine;Medium;L1330;x
575028;Chief of Air Force;罗伯特 奥克斯兰 ;39;SL;Vertical Envelopment Doctrine;Medium;L1466;x
