SPA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
10001;Head of State;米格尔 卡瓦内利亚斯 费雷尔 ;30;FA;Resigned Generalissimo;High;M10001;x
10002;Head of Government;菲德尔 戴维拉 阿隆多 ;30;FA;Political Protege;High;M10002;x
10003;Foreign Minister;弗朗西斯科 德 阿齐兹 塞拉特 博纳斯特雷 ;30;FA;Ideological Crusader;High;M10003;x
10004;Minister of Armament;杰尔曼 吉尔 尤斯特 ;30;FA;Infantry Proponent;High;M10004;x
10005;Minister of Security;米格尔 蓬特 曼索 德 苏尼加 ;30;PA;Crime Fighter;High;M10005;x
10006;Head of Military Intelligence;安杰尔 萨拉斯 拉腊萨瓦尔 ;30;FA;Political Specialist;High;M10006;x
10007;Chief of Staff;菲德尔 戴维拉 阿隆多 ;30;FA;School of Psychology;High;M10002;x
10008;Chief of Army;埃米利奥 莫拉 维达尔 ;30;FA;Decisive Battle Doctrine;Very High;M10008;x
10009;Chief of Navy;弗朗西斯科 莫雷诺 费尔南德斯 ;30;FA;Open Seas Doctrine;High;M10009;x
10010;Chief of Air Force;阿尔弗雷多 金德兰 杜阿尼 ;30;PA;Carpet Bombing Doctrine;High;M10010;x
10032;Head of State;弗朗西斯科 弗朗哥 巴哈蒙德 ;36;PA;Stern Imperialist;High;L3426;x
10034;Head of State;雅维耶 德 博尔冯-帕尔马 ;36;FA;Autocratic Charmer;High;M10034;x
10285;Head of State;胡安三世 ;41;SC;Benevolent Gentleman;High;M10011;x
10039;Head of State;阿方索 十三世 ;36;SC;Insignificant Layman;High;M10039;x
10045;Head of Government;埃米利奥 莫拉 维达尔 ;36;PA;Old General;High;M10008;x
10046;Head of Government;弗朗西斯科 弗朗哥 巴哈蒙德 ;36;PA;Silent Workhorse;High;L3426;x
10048;Head of Government;托马斯 多明格斯 阿雷瓦洛 ;37;FA;Happy Amateur;High;M10048;x
10049;Head of Government;曼努埃尔 法尔 康德 ;41;FA;Political Protege;High;M10049;x
10050;Head of Government;曼努埃尔 埃迪利亚 拉雷 ;44;FA;Smiling Oilman;High;M10050;x
10054;Head of Government;J M 吉尔-罗布尔斯 基尼奥内斯 ;36;PA;Silent Workhorse;High;M10012;x
10055;Head of Government;贡萨洛 凯波 德 利亚诺 ;36;ML;Old General;High;M10055;x
10057;Foreign Minister;弗朗西斯科 戈麦斯-约尔达纳 y 苏扎 ;36;PA;Biased Intellectual;High;M10057;x
10058;Foreign Minister;胡安 路易斯 贝格韦德尔 阿蒂恩萨 ;39;PA;General Staffer;Medium;M10013;x
10059;Foreign Minister;拉蒙 塞拉诺 苏涅尔 ;40;PA;Ideological Crusader;Medium;M10059;x
10060;Foreign Minister;若泽 莱克里卡 埃尔基萨 ;44;PA;The Cloak N Dagger Schemer;High;M10060;x
10061;Foreign Minister;阿尔贝托 M 阿泰尤-阿尔瓦雷兹 ;45;PA;Apologetic Clerk;High;M10061;x
10062;Foreign Minister;雷德兹诺伯爵 托马斯 ;36;FA;Iron Fisted Brute;High;M10048;x
10063;Foreign Minister;恩里克 波拉 德尼埃尔 ;38;FA;Ideological Crusader;Medium;M10063;x
10064;Foreign Minister;雅维耶 德 博尔冯-帕尔马 ;36;FA;General Staffer;High;M10034;x
10066;Foreign Minister;维克托 普拉德拉 ;43;FA;Ideological Crusader;High;M10066;x
10067;Foreign Minister;路易斯 埃尔南多 德 拉腊门迪 ;46;FA;Biased Intellectual;High;M10067;x
10068;Foreign Minister;曼努埃尔 法尔 康德 ;47;FA;The Cloak N Dagger Schemer;High;M10049;x
10071;Foreign Minister;J 德 阿雷尔萨 马丁内斯-罗达斯 ;42;FA;Great Compromiser;High;M10071;x
10072;Foreign Minister;若泽 路易斯 阿雷斯 马格拉 ;39;FA;Iron Fisted Brute;High;M10072;x
10073;Foreign Minister;曼努埃尔 埃迪利亚 拉雷 ;46;FA;Biased Intellectual;High;M10050;x
10074;Foreign Minister;雷蒙多 费尔南德斯 奎斯塔 ;47;FA;The Cloak N Dagger Schemer;High;M10074;x
10075;Foreign Minister;拉米罗 德 马埃斯图 ;36;SC;Ideological Crusader;High;M10075;x
10077;Foreign Minister;弗朗西斯科 德 博尔冯 德 拉 托雷 ;41;SC;General Staffer;Medium;M10077;x
10080;Foreign Minister;哈科沃 菲茨-詹姆斯 斯图尔特 ;45;SC;Biased Intellectual;Medium;M10080;x
10081;Foreign Minister;若泽 扬瓜斯 梅西亚 ;36;SC;Great Compromiser;High;M11150;x
10082;Foreign Minister;克劳迪奥 桑切斯 阿尔沃诺兹 ;36;ML;Ideological Crusader;High;M11072;x
10083;Foreign Minister;若泽 马丁内斯 德 韦拉斯科 ;37;ML;Iron Fisted Brute;Low;M11110;x
10084;Foreign Minister;路易斯 卢西亚 卢西亚 ;38;ML;Biased Intellectual;Low;M11113;x
10085;Foreign Minister;若泽 温格里亚 日默内 ;40;FA;General Staffer;High;M10085;x
10086;Foreign Minister;尼塞托 阿尔卡拉-萨莫拉 ;41;ML;Great Compromiser;High;M11001;x
10087;Foreign Minister;若泽 德 阿雷尔萨 马丁内斯-罗达斯 ;46;ML;The Cloak N Dagger Schemer;High;M10071;x
10088;Minister of Armament;若泽 德 阿雷尔萨 马丁内斯-罗达斯 ;36;PA;Laissez Faires Capitalist;High;M10071;x
10089;Minister of Armament;拉蒙 弗朗哥 巴哈蒙德 ;37;PA;Air Superiority Proponent;Medium;M10089;x
10090;Minister of Armament;菲德尔 戴维拉 阿隆多 ;38;PA;Military Entrepreneur;High;M10002;x
