SWE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
7001;Head of State;古斯塔夫五世 ;36;SC;Pig-headed Isolationist;High;M7001;x
7002;Head of Government;阿克塞尔 佩尔松-布拉姆斯托普 ;36;SL;Happy Amateur;High;M7002;x
7003;Foreign Minister;卡尔 G 韦斯特曼 ;36;SL;Apologetic Clerk;Very High;M7003;x
7004;Minister of Armament;维尔马尔 永达尔 ;36;SL;Tank Proponent;Very High;M7004;x
7005;Minister of Security;托瓦尔德 伯奎斯特 ;36;SL;Compassionate Gentleman;Very High;M7005;x
7006;Head of Military Intelligence;卡洛斯 阿德勒克罗伊茨 ;36;SC;Political Specialist;High;M7068;x
7007;Chief of Staff;奥斯卡 尼格伦 ;36;SC;School of Defence;Medium;M7007;x
7008;Chief of Army;奥斯卡 尼格伦 ;36;SC;Guns and Butter Doctrine;Medium;M7007;x
7009;Chief of Navy;查尔斯 德 尚 ;36;PA;Decisive Naval Battle Doctrine;Very Low;M7009;x
7010;Chief of Air Force;托尔斯滕 弗里斯 ;36;ML;Army Aviation Doctrine;Very High;M7010;x
7031;Head of State;古斯塔夫五世 ;36;SD;Pig-headed Isolationist;High;M7001;x
7033;Head of Government;佩尔 阿尔宾 汉松 ;36;SD;Ambitious Union Boss;High;M7033;x
7034;Head of Government;塔格 埃兰德 ;46;SD;Political Protege;High;M7034;x
7035;Head of Government;格斯塔 巴奇 ;42;ML;Smiling Oilman;High;M7035;x
7036;Head of Government;阿克塞尔 佩尔松-布拉姆斯托普 ;38;SL;Happy Amateur;High;M7002;x
7037;Head of Government;伯蒂尔 奥林 ;45;SL;Corporate Suit;High;M7037;x
7038;Foreign Minister;理查德 桑德勒 ;36;SD;Biased Intellectual;Low;M7038;x
7039;Foreign Minister;克里斯蒂安 云特 ;40;SC;Apologetic Clerk;High;M7039;x
7040;Foreign Minister;厄斯滕 温登 ;45;SD;Great Compromiser;High;M7040;x
7041;Foreign Minister;佩尔 埃德温 舍尔德 ;36;SD;Ideological Crusader;Medium;M7041;x
7042;Foreign Minister;威廉 约兰 伦德维克 ;37;SL;Biased Intellectual;High;M7042;x
7043;Foreign Minister;R 雷森 佐尔曼 ;38;SL;Iron Fisted Brute;High;M7043;x
7044;Foreign Minister;佩尔 E G 因苏兰德 ;39;SL;General Staffer;High;M7044;x
7045;Foreign Minister;格奥尔格 安德伦 ;45;SC;Ideological Crusader;High;M7045;x
7046;Foreign Minister;阿克塞尔 佩尔松-布拉姆斯托普 ;40;SL;The Cloak N Dagger Schemer;Very High;M7002;x
7047;Minister of Armament;恩斯特 维格福什 ;36;SD;Resource Industrialist;Low;M7047;x
7048;Minister of Armament;古斯塔夫 默勒 ;36;SD;Laissez Faires Capitalist;Medium;M7048;x
7049;Minister of Armament;古斯塔夫 卡塞尔 ;37;ML;Administrative Genius;Medium;M7049;x
7050;Minister of Armament;埃里克 帕姆斯蒂纳 ;37;SD;Battle Fleet Proponent;Medium;M7050;x
7051;Minister of Armament;恩斯特 特吕格 ;38;ML;Theoretical Scientist;Medium;M7051;x
7052;Minister of Armament;埃里克 埃纳尔 埃克斯特朗 ;39;ML;Submarine Proponent;Medium;M7052;x
7053;Minister of Armament;格斯塔 巴奇 ;40;ML;Resource Industrialist;Medium;M7035;x
7054;Minister of Armament;厄斯滕 温登 ;41;LWR;Infantry Proponent;Medium;M7054;x
7055;Minister of Armament;伯蒂尔 奥林 ;44;SL;Military Entrepreneur;Medium;M7037;x
7056;Minister of Armament;马丁 斯科格隆 ;40;ML;Laissez Faires Capitalist;High;M7056;x
7057;Minister of Armament;弗里乔夫 多莫 ;45;ML;Administrative Genius;High;M7057;x
7058;Minister of Security;卡尔 施吕特 ;36;SD;Silent Lawyer;High;M7058;x
7059;Minister of Security;古斯塔夫 安德森-拉舍恩 ;40;SL;Compassionate Gentleman;Medium;M7059;x
7060;Minister of Security;阿克塞尔 T 阿德尔斯韦德 ;36;SL;Silent Lawyer;Very High;M7060;x
7061;Minister of Security;安德斯 林德施泰特 ;37;SD;Compassionate Gentleman;Very High;M7061;x
7063;Minister of Security;彼得 G A 维克曼 ;38;ML;Back Stabber;Very High;M7063;x
7064;Minister of Security;理查德 J 桑德勒 ;39;SD;Prince of Terror;Very High;M7038;x
7065;Minister of Security;K G 韦斯特曼 ;40;SL;Crime Fighter;Very High;M7003;x
7066;Minister of Security;阿尔维德 G 里克特 ;40;SD;Man of the People;Very High;M7066;x
7068;Head of Military Intelligence;黑尔格 容 ;42;SC;Political Specialist;Low;M7006;x
7069;Head of Military Intelligence;埃里克 帕姆斯蒂纳 ;39;SC;Naval Intelligence Specialist;Medium;M7050;x
7070;Head of Military Intelligence;奥克 哈默斯基奥德 ;41;SL;Dismal Enigma;High;M7070;x
7072;Chief of Staff;奥洛夫 特内尔 ;37;SC;School of Fire Support;Very High;M7072;x
7073;Chief of Staff;阿克塞尔 拉佩 ;40;SC;School of Manoeuvre;Low;M7073;x
7074;Chief of Staff;萨穆埃尔 奥克海姆 ;41;ML;School of Mass Combat;Medium;M7074;x
7075;Chief of Staff;阿克塞尔 布雷德贝里 ;42;ML;School of Psychology;High;M7075;x
7076;Chief of Staff;卡尔 古斯塔夫 埃伦斯韦德 ;44;SC;School of Manoeuvre;Medium;M7076;x
7077;Chief of Staff;尼尔斯 斯韦德隆德 ;46;ML;School of Psychology;Very High;M7077;x
7079;Chief of Army;佩尔 西尔万 ;37;SC;Static Defence Doctrine;Medium;M7079;x
7080;Chief of Army;奥洛夫 特内尔 ;40;SC;Guns and Butter Doctrine;Very High;M7072;x
7081;Chief of Army;黑尔格 容 ;43;SD;Armoured Spearhead Doctrine;Medium;M7006;x
7082;Chief of Army;阿齐博尔德 道格拉斯 ;43;PA;Decisive Battle Doctrine;Medium;M7017;x
7083;Chief of Army;阿克塞尔 拉佩 ;43;SC;Elastic Defence Doctrine;Very Low;M7073;x
7084;Chief of Army;本特 努登舍尔德 ;43;SD;Decisive Battle Doctrine;Low;M7070;x
7085;Chief of Army;阿克塞尔 布雷德贝里 ;43;SL;Static Defence Doctrine;High;M7075;x
7086;Chief of Navy;埃里克 帕姆斯蒂纳 ;36;SD;Base Control Doctrine;Medium;M7050;x
7087;Chief of Navy;格斯塔 埃伦斯韦德 ;42;ML;Decisive Naval Battle Doctrine;Medium;M7087;x
7088;Chief of Navy;法比安 塔姆 ;44;SC;Open Seas Doctrine;High;M7088;x
7089;Chief of Navy;黑尔格 斯特龙巴克 ;45;SL;Indirect Approach Doctrine;High;M7089;x
7091;Chief of Air Force;本特 努登舍尔德 ;42;ML;Air Superiority Doctrine;High;M7070;x
7092;Chief of Air Force;阿克塞尔 永达尔 ;44;SL;Vertical Envelopment Doctrine;Very High;M7092;x
7011;Head of State;马丁 埃克斯特伦 ;36;NS;Powerhungry Demagogue;High;M7011;x
7012;Head of Government;马丁 埃克斯特伦 ;36;NS;Naive Optimist;High;M7011;x
7013;Foreign Minister;埃里克 冯 罗森 ;36;NS;Ideological Crusader;Very High;M7013;x
7014;Minister of Armament;亚瑟 林登 ;36;NS;Laissez Faires Capitalist;Medium;M7014;x
7015;Minister of Security;斯文 埃丹 ;36;FA;Back Stabber;Very High;M7015;x
7016;Head of Military Intelligence;赫尔曼 尼尔森-埃勒 ;36;NS;Technical Specialist;Very High;M7016;x
7017;Chief of Staff;阿齐博尔德 道格拉斯 ;36;NS;School of Manoeuvre;High;M7017;x
7018;Chief of Army;马丁 埃克斯特伦 ;36;NS;Decisive Battle Doctrine;Very High;M7011;x
7019;Chief of Navy;查尔斯 德 尚 ;36;FA;Decisive Naval Battle Doctrine;Very High;M7009;x
7020;Chief of Air Force;阿克塞尔 于伦克罗克 ;36;PA;Army Aviation Doctrine;Low;M7020;x
7021;Head of State;斯文 林德罗特 ;36;ST;Insignificant Layman;High;M7021;x
7022;Head of Government;斯文 林德罗特 ;36;ST;Happy Amateur;High;M7021;x
7023;Foreign Minister;胡戈 塞伦 ;36;ST;Ideological Crusader;Very High;M7023;x
7024;Minister of Armament;希尔丁 哈格贝里 ;36;ST;Resource Industrialist;Very High;M7024;x
7025;Minister of Security;卡尔 希尔布姆 ;36;LE;Crime Fighter;High;M7025;x
7026;Head of Military Intelligence;C H 赫尔曼松 ;36;ST;Naval Intelligence Specialist;High;M7026;x
7027;Chief of Staff;贡纳尔 约翰松 ;36;ST;School of Mass Combat;Very High;unknown;x
7028;Chief of Army;阿克塞尔 彼得松 ;36;ST;Decisive Battle Doctrine;Very High;unknown;x
7029;Chief of Navy;佩尔 M 埃里克松 ;36;ST;Decisive Naval Battle Doctrine;Very High;unknown;x
7030;Chief of Air Force;克里斯特 雷乌特斯韦德 ;36;LWR;Army Aviation Doctrine;Low;unknown;x
7093;Head of State;古斯塔夫六世 阿道夫 ;50;SD;Benevolent Gentleman;High;M7093;x
7094;Minister of Armament;佩尔 埃德温 舍尔德 ;49;SD;Infantry Proponent;High;M7041;x
7095;Head of State;古斯塔夫六世 阿道夫 ;50;ML;Benevolent Gentleman;High;M7093;x
7096;Head of State;斯文 奥洛夫 林霍尔姆;36;NS;Barking Buffoon;High;M_SWE_Sven_Olov_Lindholm;x
7097;Chief of Air Force;托尔斯滕 拉普;48;SD;Air Superiority Doctrine;High;M_SWE_Torsten_Rapp;x
7098;Chief of Army;尼尔斯 斯韦德隆德 ;50;ML;Armoured Spearhead Doctrine;High;M_SWE_Nils_Swedlund;x 
7099;Minister of Security;比耶 弗洛德;36;NS;Back Stabber;Medium;M_SWE_Birger_Furug錼d;x
7100;Foreign Minister;比耶 弗洛德;33;NS;Apologetic Clerk;Medium;M_SWE_Birger_Furug錼d;x
