U99;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
16008;Chief of Air Force;北洋軍閥 ;11;PA;Beiyang Warlord;Medium;beifang;x
16009;Chief of Air Force;英國 ;11;ML;Undistinguished Suit;Medium;eng;x
16018;Chief of Air Force;南方軍閥 ;11;PA;south warlord;Medium;nanfang;x
16019;Chief of Air Force;法國 ;11;SD;Undistinguished Suit;Medium;fra;x
16028;Chief of Air Force;國民黨 ;11;PA;KMT;Very High;kmt;x
16029;Chief of Air Force;美國 ;11;SL;Undistinguished Suit;Medium;usa;x
16038;Chief of Air Force;共產黨 ;11;ST;CCP;Medium;tg;x
16039;Chief of Air Force;日本 ;11;PA;Undistinguished Suit;Medium;jap;x
16048;Chief of Air Force;大清 ;11;PA;Undistinguished Suit;Medium;daqing;x
16049;Chief of Air Force;蘇聯 ;11;ST;Undistinguished Suit;Very High;sov;x
16059;Chief of Air Force;德國 ;11;NS;Undistinguished Suit;Medium;ger;x
16069;Chief of Air Force;本土勢力;11;PA;Beiyang Warlord;Medium;bentu;x
16078;Chief of Air Force;少數民族 ;11;PA;Undistinguished Suit;Medium;shaoshu;x
16087;Chief of Air Force;列强 ;11;ML;Undistinguished Suit;Medium;lieqiang;x
16094;Foreign Minister;暫缺;11;PA;Undistinguished Suit;Medium;;x
16099;Minister of Armament;暫缺;11;PA;Undistinguished Suit;Medium;;x
16104;Minister of Security;暫缺;11;PA;Undistinguished Suit;Medium;;x
16108;Head of Military Intelligence;暫缺;11;PA;Undistinguished Suit;Medium;;x
16113;Chief of Staff;暫缺;11;PA;Undistinguished Suit;Medium;;x
16118;Chief of Army;暫缺;11;PA;Undistinguished Suit;Medium;;x
16119;Chief of Navy;陸軍管轄;11;PA;Undistinguished Suit;Medium;;x
16120;Chief of Air Force;中央政府;11;PA;central government;Medium;bentu;x
16121;Chief of Air Force;地方軍閥;11;PA;warlord;Medium;;x
