UAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;;Personality;;;x
79410;Head of State;海尔 塞拉西一世 ;36;ST;Stern Imperialist;High;M65001;x
79411;Head of Government;乔莫 肯雅塔 ;36;ST;Silent Workhorse;High;M550015;x
79412;Foreign Minister;马康南 恩德卡丘 ;36;ST;Great Compromiser;High;M65036;x
79413;Foreign Minister;拉斯 库贝德 ;36;ST;General Staffer;Medium;M65017;x
79414;Foreign Minister;克莱门特 朱梅勒 ;36;ST;Apologetic Clerk;High;M78057;x
79415;Foreign Minister;穆罕默德 艾哈迈德 马哈古卜 ;36;ST;Iron Fisted Brute;High;M555016;x
79416;Foreign Minister;帕斯卡尔 利苏巴 ;36;ST;Ideological Crusader;High;M536028;x
79417;Foreign Minister;曼努埃尔 格拉西奥亚 图卢马 ;36;ST;The Cloak N Dagger Schemer;High;M568016;x
79418;Foreign Minister;克特尔内 伊弗鲁 ;36;ST;Biased Intellectual;High;M550019;x
79419;Minister of Armament;尤利乌斯 尼雷尔 ;36;ST;Air to Sea Proponent;High;M550013;x
79420;Minister of Armament;阿波罗 米尔顿 奥博特 ;36;ST;Submarine Proponent;High;M550016;x
79421;Minister of Armament;埃鲁伊 沃尔德 塞拉西 ;36;ST;Military Entrepreneur;Very High;M65003;x
79422;Minister of Armament;约瑟夫 巴米纳 ;36;ST;Air to Ground Proponent;Medium;M574020;x
79423;Minister of Armament;让 弗朗索瓦 杜瓦利埃 ;36;ST;Administrative Genius;Low;M78015;x
79424;Minister of Armament;莫莫洛 杜胡蒂 ;36;ST;Laissez Faires Capitalist;Medium;M69047;x
79425;Minister of Armament;查哈菲 特扎兹 ;36;ST;Air Superiority Proponent;Very High;M65049;x
79426;Minister of Armament;萨拉赫 埃尔祖比尔 ;36;ST;Strategic Air Proponent;Medium;M555020;x
79427;Minister of Armament;阿廖佐里 达法阿拉 博士 ;36;ST;Theoretical Scientist;Medium;M555019;x
79428;Minister of Armament;亚胡 奥科-伊迪蒂 ;36;ST;Battle Fleet Proponent;Medium;M552017;x
79429;Minister of Armament;保罗 伊纳西奥 ;36;ST;Infantry Proponent;Medium;M569018;x
79430;Minister of Armament;阿方斯 马森巴-德巴 ;36;ST;Corrupt Kleptocrat;Medium;M536032;x
79431;Minister of Armament;罗纳德 恩加拉 ;36;ST;Tank Proponent;Medium;M550024;x
79432;Minister of Armament;华金 杜瓦蒂 大卫 科斯塔 ;36;ST;Resource Industrialist;Medium;M568018;x
79433;Minister of Security;亨利 R 格里梅斯 ;36;ST;Crooked Kleptocrat;Medium;M69005;x
79434;Minister of Security;法里克 易卜拉欣 阿布德 ;36;ST;Silent Lawyer;Medium;M555024;x
79435;Minister of Security;穆罕默德 奥卡齐亚布 ;36;ST;Compassionate Gentleman;Medium;M552019;x
79436;Minister of Security;莱昂纳多 桑托斯 西芒 ;36;ST;Crime Fighter;Medium;M569020;x
79437;Minister of Security;恩科拉 姆博莫 ;36;ST;Efficient Sociopath;Medium;M536036;x
79438;Minister of Security;阿尔伯特 伊多侯 ;36;ST;Back Stabber;Medium;M535023;x
79439;Minister of Security;德丹 基马蒂 ;36;ST;Prince of Terror;Medium;M550031;x
79440;Minister of Security;贝内迪克托 基瓦努卡 ;36;ST;Man of the People;Medium;M550030;x
79441;Head of Military Intelligence;菲克雷 塞拉泽 卡塔马 ;36;ST;Logistics Specialist;Very High;M65065;x
79442;Head of Military Intelligence;海尔 塞拉西 古格萨 ;36;ST;Political Specialist;Medium;M65012;x
79443;Head of Military Intelligence;约翰逊 阿尤伊-伊龙西 ;36;ST;Logistics Specialist;Medium;M552021;x
79444;Head of Military Intelligence;卡洛斯 多斯 桑托斯 ;36;ST;Industrial Specialist;Medium;M569023;x
79445;Head of Military Intelligence;塔西修斯 恩加加莱库姆特瓦 ;36;ST;Naval Intelligence Specialist;Medium;M550033;x
79446;Head of Military Intelligence;拉希德 卡瓦瓦 ;36;ST;Technical Specialist;Medium;M550035;x
79447;Chief of Staff;海尔 沃尔德 鲁弗 ;36;ST;School of Mass Combat;Very High;M65072;x
79448;Chief of Staff;哈普特 米卡埃尔 阿加法里 ;36;ST;School of Psychology;Very High;M65071;x
79449;Chief of Staff;查尔斯 马汉戈 ;36;ST;School of Manoeuvre;Medium;M536043;x
79450;Chief of Staff;多米尼克 科塞约 ;36;ST;School of Defence;Medium;M535026;x
79451;Chief of Staff;亨利 朱马拉 ;36;ST;School of Fire Support;Medium;M550039;x
79452;Chief of Army;菲尔贝 尤卢 ;36;ST;Static Defence Doctrine;Medium;M536046;x
79453;Chief of Army;帕特里西奥 努内斯 戈梅斯 ;36;ST;Decisive Battle Doctrine;Medium;M569029;x
79454;Chief of Army;翁盖里 博吉塔 ;36;ST;Armoured Spearhead Doctrine;Medium;M550042;x
79455;Chief of Army;朱马 达塔维 ;36;ST;Elastic Defence Doctrine;Medium;M550043;x
79456;Chief of Army;让 贝德尔 博卡萨 ;36;ST;Guns and Butter Doctrine;Medium;M535017;x
79457;Chief of Navy;德迪亚 济纳奇 纳迪恩 ;36;ST;Power Projection Doctrine;Medium;M65029;x
79458;Chief of Navy;塞萨雷 蓬若 ;36;ST;Open Seas Doctrine;Medium;M569031;x
79459;Chief of Navy;姆布姆 瓦 鲁图恩加 ;36;ST;Decisive Naval Battle Doctrine;Medium;M553041;x
79460;Chief of Navy;达乌迪 沙瓦 ;36;ST;Indirect Approach Doctrine;Medium;M550044;x
79461;Chief of Navy;保罗 芝皮利卡 ;36;ST;Base Control Doctrine;High;M568014;x
79462;Chief of Air Force;梅斯芬 西莱希 ;36;ST;Carpet Bombing Doctrine;Medium;M65089;x
79463;Chief of Air Force;加布里埃尔 佐德 吉拉内 ;36;ST;Army Aviation Doctrine;Medium;M65030;x
79464;Chief of Air Force;伊法尔 伊利舒诺 ;36;ST;Air Superiority Doctrine;Medium;M552029;x
79465;Chief of Air Force;费利克斯 埃布埃 ;36;ST;Vertical Envelopment Doctrine;Medium;M536008;x
79466;Chief of Air Force;伊曼纽尔 巴金德里 ;36;ST;Naval Aviation Doctrine;Medium;M535030;x
