UCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65301;Head of State;林森 ;36;ML;Stern Imperialist;High;M52001;x
65302;Head of Government;蒋介石 ;36;ML;Silent Workhorse;High;M52002;x
65303;Foreign Minister;汪精卫 ;36;ML;Biased Intellectual;Medium;M52041;x
65304;Foreign Minister;张国焘 ;36;ML;Ideological Crusader;High;M51012;x
65305;Foreign Minister;沈醉 ;36;ML;Apologetic Clerk;Very High;M52036;x
65306;Foreign Minister;王世杰 ;36;ML;Iron Fisted Brute;Medium;M52038;x
65307;Foreign Minister;张群 ;36;ML;Great Compromiser;Very High;M52003;x
65308;Foreign Minister;林蔚 ;36;ML;General Staffer;High;M52035;x
65309;Foreign Minister;宋子文 ;36;ML;The Cloak N Dagger Schemer;Medium;M52024;x
65310;Minister of Armament;蒋经国 ;36;ML;Administrative Genius;High;M52055;x
65311;Minister of Armament;白崇禧 ;36;ML;Resource Industrialist;Low;M52045;x
65312;Minister of Armament;徐永昌 ;36;ML;Theoretical Scientist;High;M52046;x
65313;Minister of Armament;邓小平 ;36;ML;Laissez Faires Capitalist;Low;M51038;x
65314;Minister of Armament;黄镇球 ;36;ML;Military Entrepreneur;High;M52047;x
65315;Minister of Armament;陈绍宽 ;36;ML;Battle Fleet Proponent;Medium;M52009;x
65316;Minister of Armament;陈策 ;36;ML;Submarine Proponent;High;M52061;x
65317;Minister of Armament;蔡文治 ;36;ML;Tank Proponent;High;M52050;x
65318;Minister of Armament;俞飞鹏 ;36;ML;Infantry Proponent;High;M52053;x
65319;Minister of Armament;何应钦 ;36;ML;Air Superiority Proponent;High;M52048;x
65320;Minister of Armament;阎锡山 ;36;ML;Corrupt Kleptocrat;Low;M52004;x
65321;Minister of Armament;郭云山 ;36;ML;Air to Ground Proponent;High;M51024;x
65322;Minister of Armament;王叔铭 ;36;ML;Air to Sea Proponent;High;M52054;x
65323;Minister of Armament;陈果夫 ;36;ML;Strategic Air Proponent;Low;M52005;x
65324;Minister of Security;刘斐 ;36;ML;Silent Lawyer;Medium;M52068;x
65325;Minister of Security;吴忠信 ;36;ML;Compassionate Gentleman;High;M52065;x
65326;Minister of Security;谷正轮 ;36;ML;Crime Fighter;Very High;M52067;x
65327;Minister of Security;康泽 ;36;ML;Prince of Terror;Medium;M52072;x
65328;Minister of Security;瓦尔特 斯滕内斯 ;36;ML;Back Stabber;Very High;M52064;x
65329;Minister of Security;蒋经国 ;36;ML;Man of the People;Very High;M52055;x
65330;Minister of Security;陈发科 ;36;ML;Efficient Sociopath;High;M52077;x
65331;Minister of Security;陈果夫 ;36;ML;Crooked Kleptocrat;Very High;M52005;x
65332;Head of Military Intelligence;郑介民 ;36;ML;Technical Specialist;Very High;M52083;x
65333;Head of Military Intelligence;毛人凤 ;36;ML;Logistics Specialist;Very High;M52080;x
65334;Head of Military Intelligence;戴笠 ;36;ML;Political Specialist;Very High;M52063;x
65335;Head of Military Intelligence;姜毅英;36;ML;Dismal Enigma;Very High;M52064;x
65336;Head of Military Intelligence;贺耀祖 ;36;ML;Industrial Specialist;Low;M52079;x
65337;Head of Military Intelligence;杨宣城 ;36;ML;Naval Intelligence Specialist;Very High;M52082;x
65338;Chief of Staff;林蔚 ;36;ML;School of Manoeuvre;High;M52035;x
65339;Chief of Staff;萧毅肃 ;36;ML;School of Fire Support;High;M52092;x
65340;Chief of Staff;白崇禧 ;36;ML;School of Mass Combat;Low;M52045;x
65341;Chief of Staff;钱大钧 ;36;ML;School of Defence;High;M52090;x
65342;Chief of Staff;蒋百里 ;36;ML;School of Psychology;High;M52089;x
65343;Chief of Army;何应钦 ;36;ML;Elastic Defence Doctrine;High;M52058;x
65344;Chief of Army;李宗仁 ;36;ML;Static Defence Doctrine;High;M52031;x
65345;Chief of Army;顾祝同 ;36;ML;Decisive Battle Doctrine;Low;M52097;x
65346;Chief of Army;徐庭瑶 ;36;ML;Armoured Spearhead Doctrine;High;M52098;x
65347;Chief of Army;张学良 ;36;ML;Guns and Butter Doctrine;Low;M52008;x
65348;Chief of Navy;欧阳格 ;36;ML;Open Seas Doctrine;High;M52101;x
65349;Chief of Navy;桂永清 ;36;ML;Decisive Naval Battle Doctrine;Very High;M52104;x
65350;Chief of Navy;陈诚 ;36;ML;Power Projection Doctrine;Very High;M52105;x
65351;Chief of Navy;陈绍宽 ;36;ML;Indirect Approach Doctrine;Medium;M52009;x
65352;Chief of Navy;曾以鼎 ;36;ML;Base Control Doctrine;Medium;M52102;x
65353;Chief of Air Force;黄镇球 ;36;ML;Air Superiority Doctrine;High;M52047;x
65354;Chief of Air Force;沈鸿烈 ;36;ML;Naval Aviation Doctrine;Very High;M52109;x
65355;Chief of Air Force;周至柔 ;36;ML;Army Aviation Doctrine;Very High;M52010;x
65356;Chief of Air Force;钱大钧 ;36;ML;Carpet Bombing Doctrine;Very High;M52090;x
65357;Chief of Air Force;王叔铭 ;36;ML;Vertical Envelopment Doctrine;High;M52054;x
