UPE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65801;Head of State;礼萨 巴列维 ;36;ST;Stern Imperialist;High;M53001;x
65802;Head of Government;马哈茂德 贾姆 ;36;ST;Silent Workhorse;High;M53002;x
65803;Foreign Minister;穆斯塔法 阿迪尔 ;36;ST;Biased Intellectual;Medium;M53042;x
65804;Foreign Minister;米里亚 穆赫辛 汗 ;36;ST;Ideological Crusader;Medium;M53043;x
65805;Foreign Minister;穆扎法尔 阿拉姆 ;36;ST;Apologetic Clerk;Medium;M53045;x
65806;Foreign Minister;阿里 祖海利 ;36;ST;Iron Fisted Brute;Low;M53036;x
65807;Foreign Minister;穆罕默德 赛义德 马拉盖伊 ;36;ST;Great Compromiser;High;M53038;x
65808;Foreign Minister;哈斯拉塔姆 纳里马诺夫 ;36;ST;General Staffer;High;M516014;x
65809;Foreign Minister;阿里 祖海利 ;36;ST;The Cloak N Dagger Schemer;Medium;M53036;x
65810;Minister of Armament;阿努希尔万 塞帕赫博迪 ;36;ST;Administrative Genius;Medium;M53052;x
65811;Minister of Armament;贾费尔 皮谢瓦里 ;36;ST;Resource Industrialist;Medium;M53023;x
65812;Minister of Armament;佐卡 道勒 ;36;ST;Theoretical Scientist;Medium;M53065;x
65813;Minister of Armament;阿尔弗雷德 鲁道夫 齐默尔曼 ;36;ST;Laissez Faires Capitalist;Medium;M53014;x
65814;Minister of Armament;阿卜杜勒礼萨 阿夫哈米 ;36;ST;Military Entrepreneur;Medium;M53008;x
65815;Minister of Armament;赛义德 阿尔-丁 塔巴塔巴'i ;36;ST;Battle Fleet Proponent;Medium;M53012;x
65816;Minister of Armament;加比登 穆斯塔芬 ;36;ST;Submarine Proponent;Medium;M520020;x
65817;Minister of Armament;穆罕默德 纳赫亚瓦尼 ;36;ST;Tank Proponent;Medium;M53062;x
65818;Minister of Armament;米尔扎 里扎 阿尔法 道勒 ;36;ST;Infantry Proponent;Medium;M53057;x
65819;Minister of Armament;莫尔塔扎 亚兹迪 ;36;ST;Air Superiority Proponent;Medium;M53024;x
65820;Minister of Armament;拉杰卜 库尔本齐安 ;36;ST;Corrupt Kleptocrat;High;M516011;x
65821;Minister of Armament;阿齐尔汗 努尔沙亚科夫 ;36;ST;Air to Ground Proponent;Medium;M520004;x
65822;Minister of Armament;艾哈迈德 汗 纳赫亚万 ;36;ST;Air to Sea Proponent;High;M53004;x
65823;Minister of Armament;穆罕默德 巴赫拉米 ;36;ST;Strategic Air Proponent;Medium;M53026;x
65824;Minister of Security;侯赛因 汗 阿拉 ;36;ST;Silent Lawyer;Medium;M53073;x
65825;Minister of Security;穆罕默德 巴赫拉米 ;36;ST;Compassionate Gentleman;Medium;M53026;x
65826;Minister of Security;苏莱曼 米尔扎 ;36;ST;Crime Fighter;Medium;M53022;x
65827;Minister of Security;埃雷 伊斯坎达里 ;36;ST;Prince of Terror;Medium;M53025;x
65828;Minister of Security;阿博哈桑 哈基米 ;36;ST;Back Stabber;Medium;M53078;x
65829;Minister of Security;阿里 曼苏尔 ;36;ST;Man of the People;Medium;M53034;x
65830;Minister of Security;阿列克西 瓦戈夫 ;36;ST;Efficient Sociopath;Medium;M521031;x
65831;Minister of Security;德比勋爵 爱德华 G V S ;36;ST;Crooked Kleptocrat;Medium;M53076;x
