URU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
41001;Head of State;加布里埃尔 特拉 ;36;PA;Powerhungry Demagogue;High;M41001;x
41002;Head of Government;加布里埃尔 特拉 ;36;PA;Smiling Oilman;High;M41001;x
41003;Foreign Minister;若泽 埃斯帕尔特 ;36;PA;Iron Fisted Brute;Medium;M41003;x
41004;Minister of Armament;阿尔弗雷多 巴尔多米尔 ;36;PA;Military Entrepreneur;Medium;M41004;x
41005;Minister of Security;海因茨 格洛肯伯格 ;36;PA;Prince of Terror;Medium;M41005;x
41006;Head of Military Intelligence;克里斯蒂亚诺 皮拉圭 特雷莱斯 ;36;PA;Logistics Specialist;Medium;M41006;x
41007;Chief of Staff;曼努埃尔 海因茨 阿斯普鲁亚 ;36;PA;School of Fire Support;Medium;M41007;x
41008;Chief of Army;乔治 埃洛伊 门多萨 ;36;PA;Static Defence Doctrine;Medium;M41008;x
41009;Chief of Navy;卡洛斯 杰克逊 乌里贝 ;36;PA;Decisive Naval Battle Doctrine;Medium;M41009;x
41010;Chief of Air Force;科姆 阿尔瓦雷兹 贝里索 ;36;PA;Air Superiority Doctrine;Medium;M41010;x
41031;Head of State;阿尔弗雷多 巴尔多米尔 ;38;SC;Resigned Generalissimo;High;M41004;x
41032;Head of State;A 德雷斯 古斯塔沃 ;38;SD;Insignificant Layman;High;M41032;x
41033;Head of State;胡安 德 阿梅萨加 ;43;ML;Benevolent Gentleman;High;M41033;x
41034;Head of State;巴尔塔萨 布伦 ;43;SD;Weary Stiffneck;High;M41034;x
41035;Head of State;托马斯 贝雷塔 甘多尔福 ;47;SL;Die-hard Reformer;High;M41035;x
41036;Head of State;路易斯 孔拉多 巴特列 贝雷斯 ;47;LWR;Popular Figurehead;High;M41036;x
41037;Head of Government;阿尔弗雷多 巴尔多米尔 ;38;SC;Old General;High;M41004;x
41038;Head of Government;A 德雷斯 古斯塔沃 ;38;SD;Happy Amateur;High;M41032;x
41039;Head of Government;胡安 德 阿梅萨加 ;43;ML;Corporate Suit;High;M41033;x
41040;Head of Government;巴尔塔萨 布伦 ;43;SD;Old Admiral;High;M41034;x
41041;Head of Government;托马斯 贝雷塔 甘多尔福 ;47;SL;Flamboyant Tough Guy;High;M41035;x
41042;Head of Government;路易斯 孔拉多 巴特列 贝雷斯 ;47;LWR;Naive Optimist;High;M41036;x
41043;Foreign Minister;阿尔贝托 瓜尼 ;38;SC;The Cloak N Dagger Schemer;Medium;M41043;x
41044;Foreign Minister;巴尔塔萨 布伦 ;38;SD;Biased Intellectual;Medium;M41034;x
41045;Foreign Minister;赫克托 阿尔贝托 赫罗纳 ;43;ML;Iron Fisted Brute;Medium;M41045;x
41046;Foreign Minister;华盛顿 贝尔特伦 ;43;SD;Ideological Crusader;Medium;M41046;x
41047;Foreign Minister;若泽 塞拉托 ;47;SL;Apologetic Clerk;Medium;M41047;x
41048;Foreign Minister;爱德华多 罗德里格斯 拉雷塔 ;47;SD;Great Compromiser;Medium;M41048;x
41049;Foreign Minister;埃米利奥 弗鲁戈尼 ;47;LWR;The Cloak N Dagger Schemer;Medium;M41021;x
41050;Minister of Armament;伊格纳西奥 朱斯特 莫拉莱斯 ;37;PA;Laissez Faires Capitalist;Medium;M41050;x
41051;Minister of Armament;巴伦廷 戈梅 ;38;SC;Strategic Air Proponent;Medium;M41051;x
41052;Minister of Armament;莱奥波尔多 C 阿戈里奥 ;38;SD;Theoretical Scientist;Medium;M41052;x
41053;Minister of Armament;维托里奥 阿马托 马索 ;39;ML;Tank Proponent;Medium;M41053;x
41054;Minister of Armament;乔治 埃利奥 门多萨 ;42;SC;Infantry Proponent;Medium;M41008;x
41055;Minister of Armament;华金 加西亚 桑谢斯 ;43;ML;Air to Ground Proponent;Medium;M41055;x
41056;Minister of Armament;卡洛斯 杰克逊 乌里贝 ;43;SD;Battle Fleet Proponent;Medium;M41009;x
