UTC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;;Personality;;;x
77158;Head of State;尼基塔 赫鲁晓夫 ;36;ML;Stern Imperialist;High;M518001;x
77159;Head of Government;格奥尔基 特特雷斯库 ;36;ML;Silent Workhorse;High;M22002;x
910100;Foreign Minister;格里戈雷 加芬库 ;36;ML;Biased Intellectual;Low;M22071;x
910101;Foreign Minister;约恩 吉古尔图 ;36;ML;Ideological Crusader;Medium;M22047;x
910102;Foreign Minister;尼古拉 彼得雷斯库-科姆内恩 ;36;ML;Apologetic Clerk;Medium;M22070;x
910103;Foreign Minister;格奥尔基 特特雷斯库 ;36;ML;Iron Fisted Brute;Medium;M22002;x
910104;Foreign Minister;伊斯特拉特 米切斯库 ;36;ML;Great Compromiser;Medium;M22005;x
910105;Foreign Minister;维克托 安东内斯库 ;36;ML;General Staffer;Medium;M22007;x
77078;Foreign Minister;米哈伊 安东内斯库 ;36;ML;The Cloak N Dagger Schemer;Low;M22077;x
77079;Minister of Armament;弗吉尔 马奇亚鲁 ;36;ML;Administrative Genius;Medium;M22087;x
77080;Minister of Armament;康斯坦丁 布拉蒂亚努 ;36;ML;Resource Industrialist;High;M22004;x
77081;Minister of Armament;佩特科 斯托亚诺夫 ;36;ML;Theoretical Scientist;Low;M19086;x
77082;Minister of Armament;康斯坦丁 安东尼亚德 ;36;ML;Laissez Faires Capitalist;Low;M22092;x
77083;Minister of Armament;格奥尔基 波托佩亚努 ;36;ML;Military Entrepreneur;High;M22093;x
77084;Minister of Armament;伊万 斯特凡诺夫 ;36;ML;Battle Fleet Proponent;Low;M19034;x
77085;Minister of Armament;罗克 格拉 ;36;ML;Corrupt Kleptocrat;Medium;M32004;x
77086;Minister of Armament;尼古拉 斯托埃内斯库 ;36;ML;Tank Proponent;Medium;M22095;x
77087;Minister of Armament;格奥尔基 多布雷 ;36;ML;Infantry Proponent;High;M22094;x
77088;Minister of Armament;米哈伊尔 邦达伦科 ;36;ML;Air Superiority Proponent;Medium;M518004;x
77089;Minister of Armament;佩特科 库宁 ;36;ML;Air to Ground Proponent;High;M19090;x
77090;Minister of Armament;斯特芬 德尔维涅 ;36;ML;Air to Sea Proponent;Medium;M32020;x
77091;Minister of Armament;伊斯梅尔 加克萨 ;36;ML;Battle Fleet Proponent;Medium;M32029;x
77092;Minister of Armament;伊万 盖迪米特里夫 ;36;ML;Strategic Air Proponent;Low;M19085;x
77093;Minister of Security;伊斯特拉特 米切斯库 ;36;ML;Silent Lawyer;Medium;M22005;x
77094;Minister of Security;尼古拉 勒德斯库 ;36;ML;Compassionate Gentleman;High;M22050;x
77095;Minister of Security;阿曼德 克利内斯库 ;36;ML;Prince of Terror;High;M22043;x
77096;Minister of Security;塞萨雷 瓦伊达-沃伊亚沃德 ;36;ML;Crime Fighter;Medium;M22100;x
77097;Minister of Security;瓦西里 戈迪斯 ;36;ML;Man of the People;Medium;M22104;x
77098;Minister of Security;奥雷尔 阿尔德亚 ;36;ML;Back Stabber;Medium;M22109;x
77099;Minister of Security;约恩 彼得罗维切斯库 ;36;ML;Efficient Sociopath;Low;M22015;x
77100;Minister of Security;米海洛 科洛钦斯基 ;36;ML;Crooked Kleptocrat;Medium;M518039;x
77101;Head of Military Intelligence;海伦尼 沃克雷斯库 ;36;ML;Dismal Enigma;Medium;M22113;x
