UZB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
526001;Head of State;奥斯曼 尤苏波夫 ;36;LE;Barking Buffoon;High;M526001;x
526002;Head of Government;阿克马尔 伊克拉莫夫 ;36;LE;Naive Optimist;High;M526002;x
526003;Foreign Minister;费祖拉 霍贾耶夫 ;36;LE;Iron Fisted Brute;High;M526003;x
526004;Minister of Armament;阿卜杜瓦利 穆米诺夫 ;36;LE;Tank Proponent;Medium;M526004;x
526005;Minister of Security;阿卜杜贾巴尔 阿卜杜勒拉赫曼诺夫 ;36;LE;Back Stabber;Medium;M526005;x
526006;Head of Military Intelligence;吉拉 I 准科夫斯加亚 ;36;LE;Logistics Specialist;Medium;M526006;x
526007;Chief of Staff;泰金别克 绍基罗夫 ;36;LE;School of Fire Support;Medium;M526007;x
526008;Chief of Army;阿卜杜马诺卜 斯特列什涅夫 ;36;LE;Armoured Spearhead Doctrine;Medium;M526008;x
526009;Chief of Navy;弗拉季斯拉夫 多罗宁 ;36;LE;Base Control Doctrine;Medium;M526009;x
526010;Chief of Air Force;伊斯特万 M 祖巴 ;36;LE;Carpet Bombing Doctrine;Medium;M526010;x
526011;Head of State;约尔达什贝 奥格卢 巴巴耶夫 ;36;SD;Insignificant Layman;High;M526011;x
526012;Head of State;波沃尼兹 尤索波夫 ;36;PA;Weary Stiffneck;High;M526012;x
526013;Head of Government;法卡特 努鲁季诺夫 ;36;SD;Corporate Suit;High;M526013;x
526014;Head of Government;阿卜杜拉希姆 马尔捷米亚诺夫 ;36;PA;Silent Workhorse;High;M526014;x
526015;Foreign Minister;阿利舍尔 奥戈罗多夫 ;36;LE;The Cloak N Dagger Schemer;High;M526015;x
526016;Foreign Minister;阿什卡尔 毛希丁诺夫 ;36;SD;Ideological Crusader;High;M526016;x
526017;Foreign Minister;阿利沙尔 叶米尔 ;36;SD;The Cloak N Dagger Schemer;High;M526017;x
526018;Foreign Minister;尼古拉 奇恰戈夫 ;36;PA;Apologetic Clerk;High;M526018;x
526019;Foreign Minister;阿利舍尔 伊万诺夫 ;36;PA;Great Compromiser;High;M526019;x
526020;Minister of Armament;比尔 菲利波夫 ;36;LE;Laissez Faires Capitalist;Medium;M526020;x
526021;Minister of Armament;根纳季 达维多夫 ;36;LE;Air to Ground Proponent;Medium;M526021;x
526022;Minister of Armament;法克里丁 杰韦茨基 ;36;SD;Military Entrepreneur;Medium;M526022;x
526023;Minister of Armament;哈米德 多罗德尼岑 ;36;SD;Strategic Air Proponent;Medium;M526023;x
526024;Minister of Armament;巴布尔 伊帕季耶夫 ;36;PA;Air Superiority Proponent;Medium;M526024;x
526025;Minister of Armament;巴哈丁 戈尔恰科夫 ;36;PA;Military Entrepreneur;Medium;M526025;x
526026;Minister of Security;因诺肯季 格拉西莫夫 ;36;LE;Crime Fighter;Medium;M526026;x
526027;Minister of Security;尼扎姆 东杜科夫 ;36;LE;Compassionate Gentleman;Medium;M526027;x
526028;Minister of Security;亚明 德米特里耶夫 ;36;SD;Efficient Sociopath;Medium;M526028;x
526029;Minister of Security;鲍里斯 德米特里耶夫斯基 ;36;SD;Compassionate Gentleman;Medium;M526029;x
526030;Minister of Security;马马杜利 丁内 ;36;PA;Silent Lawyer;Medium;M526030;x
526031;Minister of Security;萨利姆 叶夫格托尔夫 ;36;PA;Man of the People;Medium;M526031;x
526032;Head of Military Intelligence;米哈伊尔 杜布科夫 ;36;LE;Technical Specialist;Medium;M526032;x
526033;Head of Military Intelligence;伊比 多巴特金 ;36;SD;Dismal Enigma;Medium;M526033;x
526034;Head of Military Intelligence;阿夫拉姆 戈利岑 ;36;SD;Logistics Specialist;Medium;M526034;x
526035;Head of Military Intelligence;哈姆扎 多勃雷宁 ;36;PA;Logistics Specialist;Medium;M526035;x
526036;Head of Military Intelligence;费利克斯 多罗任斯基 ;36;PA;Dismal Enigma;Medium;M526036;x
526037;Chief of Staff;富尔卡特 德拉琴克 ;36;SD;School of Mass Combat;Medium;M526037;x
526038;Chief of Staff;巴布尔 伊帕季耶夫 ;36;PA;School of Manoeuvre;Medium;M526038;x
526039;Chief of Army;尼古拉 古科夫 ;36;SD;Static Defence Doctrine;Medium;M526039;x
526040;Chief of Army;纳哲 杜丁 ;36;PA;Elastic Defence Doctrine;Medium;M526040;x
526041;Chief of Navy;奥斯曼 德马 ;36;SD;Indirect Approach Doctrine;Medium;M526041;x
526042;Chief of Navy;萨利姆 伊巴迪诺夫 ;36;PA;Open Seas Doctrine;Medium;M526042;x
526043;Chief of Air Force;根纳季 格沃尼科夫 ;36;SD;Vertical Envelopment Doctrine;Medium;M526043;x
526044;Chief of Air Force;巴布尔 伊帕季耶夫 ;36;PA;Air Superiority Doctrine;Medium;M526038;x
