VIC;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
57001;Head of State;菲利普 贝当 ;36;PA;Resigned Generalissimo;High;M57001;x
57002;Head of Government;让-弗朗索瓦 达尔朗 ;36;PA;Old Admiral;High;M57002;x
57003;Foreign Minister;保罗 博杜安 ;36;PA;Iron Fisted Brute;Medium;M57003;x
57004;Minister of Armament;马吕斯 贝利埃 ;36;PA;Laissez Faires Capitalist;Medium;M57004;x
57005;Minister of Security;约瑟夫 巴泰勒米 ;36;PA;Silent Lawyer;Medium;M57005;x
57006;Head of Military Intelligence;勒内 布斯凯 ;36;PA;Technical Specialist;Medium;M57006;x
57007;Chief of Staff;夏尔 安齐热 ;36;PA;School of Defence;Medium;M57007;x
57008;Chief of Army;马克西姆 魏刚 ;36;PA;Elastic Defence Doctrine;Medium;M57008;x
57009;Chief of Navy;让-弗朗索瓦 达尔朗 ;36;PA;Decisive Naval Battle Doctrine;Low;M57002;x
57010;Chief of Air Force;让 马里埃 贝尔热雷 ;36;PA;Army Aviation Doctrine;Medium;M57010;x
57011;Head of Government;皮埃尔 赖伐尔 ;42;PA;Flamboyant Tough Guy;Medium;M57011;x
57012;Foreign Minister;让-弗朗索瓦 达尔朗 ;41;PA;General Staffer;Low;M57002;x
57013;Foreign Minister;查尔斯 安德烈 魏斯 ;41;PA;Iron Fisted Brute;Low;M57013;x
57014;Foreign Minister;阿尔伯特 托马斯 ;41;PA;The Cloak N Dagger Schemer;Low;M57014;x
57015;Foreign Minister;皮埃尔 赖伐尔 ;42;PA;Apologetic Clerk;Medium;M57011;x
57016;Foreign Minister;加布里埃尔 阿诺托 ;42;PA;Ideological Crusader;Medium;M57016;x
57017;Foreign Minister;亨利 德 茹弗内尔 ;43;PA;Biased Intellectual;Medium;M57017;x
57018;Foreign Minister;阿恩 勒罗伊 ;43;PA;Great Compromiser;Medium;M57018;x
57019;Minister of Armament;图利奥 弗朗哥 弗朗哥 ;41;PA;Resource Industrialist;Medium;M57019;x
57020;Minister of Armament;吕西安 拉卡兹 ;41;PA;Military Entrepreneur;Medium;M57020;x
57021;Minister of Armament;罗伯特 哈斯 ;42;PA;Laissez Faires Capitalist;Medium;M57021;x
57022;Minister of Armament;斯蒂芬 奥芬 ;42;PA;Air to Sea Proponent;Medium;M57022;x
57023;Minister of Armament;保罗 潘勒韦 ;43;PA;Administrative Genius;Medium;M57023;x
57024;Minister of Armament;保罗 芒图 ;43;PA;Theoretical Scientist;Medium;M57024;x
57025;Minister of Security;让-弗朗索瓦 达尔朗 ;40;PA;Back Stabber;Low;M57002;x
57026;Minister of Security;爱德华 赫里奥特 ;41;PA;Silent Lawyer;Low;M57026;x
57027;Minister of Security;皮埃尔 赖伐尔 ;42;PA;Prince of Terror;Medium;M57011;x
57028;Minister of Security;马里乌斯 维普勒 ;42;PA;Man of the People;Medium;M57028;x
57029;Minister of Security;勒内 布斯凯 ;42;PA;Compassionate Gentleman;Medium;M57006;x
57030;Minister of Security;拉斐尔 阿利贝尔 ;43;PA;Crime Fighter;Medium;M57030;x
57031;Minister of Security;古弗雷 德 拉普拉德勒 ;43;PA;Efficient Sociopath;Medium;M57031;x
57032;Head of Military Intelligence;皮埃尔 赖伐尔 ;42;PA;Political Specialist;Medium;M57011;x
57033;Chief of Staff;让-弗朗索瓦 达尔朗 ;41;PA;School of Psychology;Low;M57002;x
57034;Chief of Staff;尤金 布里杜 ;42;PA;School of Mass Combat;Medium;M57034;x
57035;Chief of Army;尤金 布里杜 ;41;PA;Decisive Battle Doctrine;Medium;M57034;x
57036;Chief of Navy;让 埃斯特瓦 ;42;PA;Indirect Approach Doctrine;Medium;M57036;x
57037;Chief of Navy;让 马里 阿布里亚尔 ;43;PA;Open Seas Doctrine;Medium;M57037;x
57038;Chief of Air Force;莫里斯 扬内克因 ;42;PA;Carpet Bombing Doctrine;Medium;M57038;x
57039;Head of State;亨利 德 茹弗内尔 ;45;PA;Insignificant Layman;High;M57017;x
57040;Head of Military Intelligence;古弗雷 德 拉普拉德勒 ;45;PA;Industrial Specialist;Medium;M57031;x
57041;Minister of Security;拉斐尔 阿利贝尔 ;39;FA;Silent Lawyer;High;M_VIC_Raphael_Alibert;x
57042;Minister of Armament;奥列尔 莫尔德莱 ;36;FA;Resource Industrialist;High;M_FRA_Olier_Mordrel;x
57043;Minister of Armament;莫里斯 德洛奈 ;40;NS;Theoretical Scientist;Medium;M_FRA_Mauice_Delaunay;x
57044;Minister of Armament;马塞尔 迪特 ;38;FA;Laissez Faires Capitalist;High;M_FRA_Marcel_Deat;x
57045;Minister of Security;路易 达基耶尔 德佩尔贝 ;36;FA;Corrupt Kleptocrat;Low;M_VIC_Louis_Darquier_de_Pellepoix;x
57046;Minister of Security;约瑟夫 达尔南德 ;36;NS;Prince of Terror;High;M_VIC_Joseph_Darnand;x
57047;Minister of Armament;让 比舍洛纳 ;39;FA;Administrative Genius;Medium;M_VIC_Jean_Bichelonne;x
57048;Head of State;雅克 多里奥 ;36;FA;Resigned Generalissimo;High;M_VIC_Jacques_Doriot;x
57049;Chief of Staff;雅克 多里奥 ;36;FA;School of Fire Support;High;M_VIC_Jacques_Doriot2;x
57050;Minister of Armament;于贝尔 拉加代勒 ;42;FA;Resource Industrialist;Medium;M_VIC_Hubert_Lagardelle;x
57051;Minister of Security;乔治 卢斯托诺-拉科 ;39;FA;Back Stabber;Medium;M_VIC_Georges Loustaunau_Lacauey;x
57052;Foreign Minister;费尔南 德 布里农 ;36;FA;Ideological Crusader;Medium;M_VIC_Fernand_de_Brinon;x
57053;Minister of Armament;亨利 多尔热 ;38;FA;Infantry Proponent;Medium;M_VIC_Henri_Dorges;x
57054;Head of Government;查尔斯 莫拉斯 ;36;FA;Happy Amateur;Very High;M_VIC_Charles_Maurras;x
57055;Head of Military Intelligence;费尔南 德 布里农 ;36;FA;Political Specialist;Medium;M_VIC_Fernand_de_Brinon;x
57056;Chief of Army;安德烈 贝勒 ;54;PA;Elastic Defence Doctrine;High;M_VIC_Andre_Bayle;x
57057;Chief of Staff;安德烈 贝勒 ;49;PA;School of Mass Combat;High;M_VIC_Andre_Bayle;x
57058;Minister of Armament;路易 雷诺 ;42;PA;Resource Industrialist;Low;M_VIC_Renault_Louis;x
57059;Foreign Minister;罗伯特 布拉西亚 ;40;NS;Biased Intellectual;High;M_VIC_Brasillach_Robert;x
57060;Foreign Minister;雷巴特 吕西安 ;42;NS;The Cloak N Dagger Schemer;Medium;M_FRA_Rebatet_Lucien;x
57061;Foreign Minister;莫里斯 普约 ;36;FA;The Cloak N Dagger Schemer;Medium;M_FRA_Pujo_Maurice;x
57062;Foreign Minister;查尔斯 莫拉斯 ;36;FA;Biased Intellectual;Very high;M_VIC_Charles_Maurras;x
57063;Minister of Security;沙维尔 瓦莱特 ;37;NS;Back Stabber;Low;M_FRA_Xavier_Vallat;x
57064;Chief of Staff;沙维尔 瓦莱特 ;41;NS;School of Defence;Low;M_FRA_Xavier_Vallat;x
57065;Chief of Navy;让-玛丽 查尔斯 阿布里亚尔 ;40;FA;Decisive Naval Battle Doctrine;Medium;M_FRA_Jean-MCAbrial;x
57066;Chief of Navy;让 德古 ;38;NS;Indirect Approach Doctrine;High;M_FRA_JeanDecoux;x
57067;Chief of Navy;查尔斯 柏拉图 ;40;FA;Decisive Naval Battle Doctrine;Medium;M_FRA_CharlesPlaton;x
57068;Minister of Security;让 德古 ;41;NS;Crime Fighter;High;M_FRA_JeanDecoux;x
57069;Foreign Minister;菲利普 厄特 ;40;FA;Ideological Crusader;High;M_VIC_PhilippeHenriot;x
57070;Minister of Security;菲利普 厄特 ;44;FA;Efficient Sociopath;High;M_VIC_PhilippeHenriot;x
57071;Chief of Air Force;马塞尔 迪特 ;40;FA;Air Superiority Doctrine;High;M_FRA_Marcel_Deat;x
57081;Chief of Air Force;简 C. 罗姆特 ;38;PA;Air Superiority Doctrine;Medium;M_VIC_JeanRomatet;x
57082;Minister of Armament;弗朗索瓦 莱西德科斯 ;38;PA;Resource Industrialist;Medium;M_VIC_Fran鏾isLehideux;x
57083;Foreign Minister;加斯东 亨利-海耶 ;40;FA;Great Compromiser;High;M_VIC_GastonHaye;x
57084;Minister of Armament;皮埃尔 费尔曼 帕尔古 ;38;NS;Military Entrepreneur;High;M_VIC_PierrePucheu;x
57085;Chief of Staff;马塞尔 布加尔德 ;36;FA;Static Defence Doctrine;Medium;M_FRA_MarcelBucard;x
57086;Minister of Security;亨利 张伯伦 ;43;FA;Back Stabber;Medium;M_FRA_HenriChamberlin;x
57087;Chief of Army;马塞尔 布加尔德 ;45;FA;Guns and Butter Doctrine;Medium;M_FRA_MarcelBucard;x
