YEM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
93001;Head of State;叶海亚 阿尔 哈米德 ;36;PA;Stern Imperialist;High;M93001;x
93002;Head of Government;叶海亚 阿尔 哈米德 ;36;PA;Smiling Oilman;High;M93001;x
93003;Foreign Minister;叶海亚 阿尔 哈米德 ;36;PA;General Staffer;Very High;M93001;x
93004;Minister of Armament;艾哈迈德 阿尔 哈米德 ;36;PA;Corrupt Kleptocrat;High;M93004;x
93005;Minister of Security;叶海亚 阿尔 哈米德 ;36;PA;Prince of Terror;Very High;M93001;x
93006;Head of Military Intelligence;艾哈迈德 阿尔 哈米德 ;36;PA;Dismal Enigma;High;M93004;x
93007;Chief of Staff;叶海亚 阿尔 哈米德 ;36;PA;School of Defence;Very High;M93001;x
93008;Chief of Army;艾哈迈德 阿尔 哈米德 ;36;PA;Armoured Spearhead Doctrine;High;M93004;x
93009;Chief of Navy;曼苏尔 阿尔 巴德尔 ;36;PA;Power Projection Doctrine;Low;M93009;x
93010;Chief of Air Force;曼苏尔 阿尔 巴德尔 ;36;PA;Army Aviation Doctrine;Low;M93009;x
93011;Foreign Minister;R J 麦克尼尔 库申登 ;39;SC;Great Compromiser;Medium;M93011;x
93013;Minister of Armament;亚历山大 洛夫迪 ;40;SC;Infantry Proponent;High;M93013;x
93014;Minister of Armament;亨利 R 多布斯 ;41;SC;Resource Industrialist;High;M93014;x
93015;Minister of Armament;A H C 里弗斯 ;42;SC;Administrative Genius;High;M93015;x
93017;Minister of Security;莱昂纳德 A 莱尔 ;38;SC;Silent Lawyer;High;M93017;x
93018;Minister of Security;曼苏尔 阿尔 巴德尔 ;45;PA;Crooked Kleptocrat;High;M93009;x
93019;Head of Military Intelligence;塞西尔 巴林顿 赫斯特 ;40;SC;Technical Specialist;High;M93019;x
93020;Chief of Staff;R 蒙哥马利-克莱夫斯 ;39;SC;School of Mass Combat;Very High;M93020;x
93021;Chief of Staff;阿布德 阿尔 侯赛尼 ;45;PA;School of Fire Support;Very High;M93021;x
93022;Chief of Army;R 蒙哥马利-克莱夫斯 ;39;SC;Guns and Butter Doctrine;High;M93020;x
93023;Chief of Army;特德 波因特 ;42;SC;Decisive Battle Doctrine;High;M93023;x
93024;Chief of Army;阿布德 阿尔 侯赛尼 ;45;PA;Elastic Defence Doctrine;High;M93021;x
93025;Chief of Navy;伊恩 特里劳尼 ;40;SC;Open Seas Doctrine;Low;M93025;x
93026;Chief of Air Force;特德 波因特 ;40;SC;Air Superiority Doctrine;Low;M93023;x
93027;Chief of Air Force;阿里 哈留克 ;45;PA;Vertical Envelopment Doctrine;Low;M93027;x
