AUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
600;戴姆勒汽车公司 ;T12;6;1930;1999;mechanics;industrial_engineering;general_equipment;TECHNICAL_EFFICIENCY;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
603;斯泰尔汽车公司 ;T603;6;1930;1999;mechanics;general_equipment;training;MANAGEMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
602;奔驰有限公司 ;T602;4;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
601;希尔腾贝格尔公司 ;T601;5;1930;1999;aeronautics;technical_efficiency;AIRCRAFT_TESTING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
610;维也纳工业大学 ;T610;4;1930;1999;mathematics;chemistry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
608;埃尔文·薛丁格 ;T608;6;1939;1999;nuclear_physics;mathematics;CHEMISTRY;MANAGEMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
609;国防部 ;T609;5;1945;1999;infantry_focus;ARTILLERY;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
605;约翰·库伯纳 ;T605;3;1930;1999;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
607;洛塔尔 伦杜利克 ;T607;5;1930;1999;small_unit_tactics;decentralized_execution;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
604;亚历山大·勒尔 ;T604;6;1930;1999;bomber_tactics;CENTRALIZED_EXECUTION;TRAINING;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
606;尤利乌斯 伊拉姆 ;T606;4;1930;1999;fighter_tactics;SMALL_TASKFORCE_TACTICS;TRAINING;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x




