AVI;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
614300;Air Viet Nam;T_VIE_Air_Viet_Nam;2;1930;1950;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614301;Air Viet Nam;T_VIE_Air_Viet_Nam;3;1950;1970;aeronautics;technical_efficiency;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614302;An Hao Paper Factory;T_VIE_Nha_Trang_Maritime_Academy;4;1961;1970;chemistry;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614303;Ba Son Shipyard;T_VIE_Ba_Son_Shipyard;2;1930;1954;naval_engineering;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614304;Ba Son Shipyard;T_VIE_Ba_Son_Shipyard2;4;1954;1970;technical_efficiency;naval_engineering;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614305;Cam Tiem Power Plant;T_VIE_Cam_Tiem_Power_Plant;1;1930;1946;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614306;Cam Tiem Power Plant;T_VIE_Cam_Tiem_Power_Plant;3;1946;1954;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614307;Da Lat Military Academy;T_VIE_Da_Lat_Military_Academy;3;1930;1954;centralized_execution;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614308;David Lilienthal;T_VIE_David_Lilienthal;6;1963;1970;management;mathematics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614309;Do Cao Tri;T_VIE_Do_Cao_Tri;3;1955;1970;small_unit_tactics;combined_arms_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614310;Ho Tan Quyen;T_VIE_Ho_Tan_Quyen;5;1955;1963;seamanship;naval_training;small_taskforce_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614311;Indochina Bank;T_VIE_Indochina_Bank;1;1930;1954;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614312;Indochina University;T_VIE_Indochina_University;1;1930;1946;management;chemistry;mathematics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614313;Indochina University;T_VIE_Indochina_University;2;1946;1956;management;chemistry;mathematics;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614314;Indochine Raiload Company;T_VIE_Indochine_Raiload_Company;1;1930;1946;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614315;Indochine Raiload Company;T_VIE_Indochine_Raiload_Company;3;1946;1954;mechanics;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614316;MAAG Viet Nam;T_VIE_MAAG_Viet_Nam;4;1950;1960;artillery;training;general_equipment;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614317;Mining and Plantation Industry Facility;T_VIE_Mining_and_Plantation_Industry_Facility;1;1930;1946;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614318;Mining and Plantation Industry Facility;T_VIE_Mining_and_Plantation_Industry_Facility;3;1946;1954;industrial_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614319;Nguyen Van Hinh;T_VIE_Nguyen_Van_Hinh;2;1936;1955;decentralized_execution;piloting;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
614320;Nha Trang Maritime Academy;T_VIE_Nha_Trang_Maritime_Academy;2;1930;1952;small_taskforce_tactics;naval_engineering;naval_training;seamanship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
