BEL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
700;科克里尔 ;T700;6;1930;1999;naval_engineering;technical_efficiency;general_equipment;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
701;费尔雷 ;T701;5;1930;1999;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
702;FN赫斯塔尔公司 ;T702;5;1930;1999;mechanics;artillery;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
703;吉华集团 ;T703;6;1930;1999;chemistry;general_equipment;industrial_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
704;雷纳德航空 ;T704;4;1930;1945;aeronautics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
705;雷诺汽车 ;T705;6;1930;1999;mechanics;industrial_engineering;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
706;索尔维碱业 ;T706;7;1930;1999;chemistry;industrial_engineering;mathematics;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
707;维克斯-阿姆斯特朗 ;T707;8;1930;1999;mechanics;aeronautics;technical_efficiency;artillery;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
708;让-巴普蒂斯特·皮龙 ;T708;5;1939;1957;small_unit_tactics;individual_courage;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
709;尤勒斯·伊斯雷坦特 ;T709;3;1930;1999;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
710;维克多·德·比克尔 ;T710;4;1930;1945;centralized_execution;infantry_focus;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
711;皇家铸炮厂 ;T711;5;1930;1999;artillery;mechanics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
712;克拉贝科铸钢厂 ;T712;6;1930;1999;industrial_engineering;chemistry;management;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
713;拉·布鲁乔伊斯 ;T713;5;1930;1999;mechanics;electronics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
714;联合矿业 ;T714;7;1930;1999;industrial_engineering;management;chemistry;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
