CAL;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
10300;旧金山伯利恒钢铁公司 ;T10300;5;1930;1999;naval_engineering;technical_efficiency;naval_artillery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10301;加利福尼亚科技协会 ;T10301;4;1930;1999;mathematics;mechanics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10302;加利福尼亚造船厂 ;T10302;6;1930;1999;naval_engineering;technical_efficiency;naval_artillery;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10303;潘德顿基地 ;T10303;6;1930;1999;artillery;general_equipment;naval_engineering;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10304;加利福尼亚克莱斯勒汽车公司 ;T10304;7;1930;1999;mechanics;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10305;劳伦斯-伯克利国家实验室 ;T10305;6;1930;1999;nuclear_physics;nuclear_engineering;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10306;洛克希德 ;T10306;6;1930;1999;aeronautics;technical_efficiency;electronics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10307;北美航空 ;T10307;7;1930;1999;aeronautics;technical_efficiency;electronics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10308;南太平洋铁路公司 ;T10308;5;1930;1999;mechanics;general_equipment;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10309;加利福尼亚美孚石油公司 ;T117;8;1930;1999;industrial_engineering;chemistry;management;general_equipment;electronics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10310;斯坦福大学 ;T10310;5;1930;1999;electronics;mathematics;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10311;西太平洋铁路公司 ;T10311;5;1930;1999;mechanics;general_equipment;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10312;普西迪基地 ;T10312;6;1930;1999;small_unit_tactics;decentralized_execution;training;combined_arms_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10313;加利福尼亚海事学院 ;T10313;6;1930;1999;naval_training;seamanship;management;naval_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10314;圣迭戈海军基地 ;T10314;7;1930;1999;submarine_tactics;seamanship;naval_training;carrier_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
10315;莫洛克空军基地 ;T10315;5;1930;1999;aircraft_testing;bomber_tactics;fighter_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
